PUBLISHER_NAME;PUBLISHER_FILENAME;PUBLISHER_MODE;PUBLISHER_URL;PUBLISHER_PAGES;PUBLISHER_PAGES_NR;PUBLISHER_RESULTS_NODE;PUBLISHER_RESULTS_REGEX;PUBLISHER_RESULTS_ADDCODE_YESNO;PUBLISHER_RESULTS_ADDITIONAL_CODE;PUBLISHER_RESULTS_PER_PAGE;PUBLISHER_PAGE_URL_BEFORE;PUBLISHER_PAGE_URL_AFTER;PUBLISHER_PAGE_I;JOURNALNAME_CSS;JOURNALNAMES_ADDCODE_YESNO;JOURNALNAMES_ADDITIONAL_CODE;JOURNAL_URL_NODES;JOURNALURL_ADDCODE_YESNO;JOURNALURL_ADDITIONAL_CODE;JOURNALURL_PASTE;COMMENT;OTHER
NAME;ABBR;RSelenium or not;first url;MULTIPLE or SINGLE;UNKNOWN or total number of pages;html to fetch results number;for stringr::str_extract of results number;1 or 0;additional regex? Gsub? To fetch results nr;e.g. 15;"url before ""i""";"url after ""i""";"either ""i"" or ""i-1"" or ""LETTERS""";such as div > a;1 or 0;e.g. stringr::str_extract;e.g. div > a;1 or 0;e.g. stringr::str_extract;"e.g. ""https://cambridge.uk/journal""";;
Universitaetsverlag Potsdam;unipotsdam;rvest;https://shop.verlag.uni-potsdam.de/zeitschriften/;single;single;;;0;;;;;;div.zeitschriften-link > a;0;;div.zeitschriften-link > a;0;;;error due to an outdated https-certificate;
AME Publishing Company;ame_groups;rvest;https://www.amegroups.cn/app/sciJournals-en-US;single;single;;;0;;;;;;div.jss11 > i > a;0;;div.jss11 > i > a;0;;;fine;
Annual Reviews;annual_reviews;rvest;https://www.annualreviews.org/action/showPublications;single;single;;;0;;;;;;div.ar-browse-item > a > div.text-container > div > span > div.title;0;;div.ar-browse-item > a;0;;https://www.annualreviews.org;fine;
Duke University Press;duke;rvest;https://read.dukeupress.edu/journals/pages/Browse_by_Title;single;single;;;0;;;;;;ul.browse-by-title a;0;;ul.browse-by-title a;0;;https://read.dukeupress.edu;error: something wrong with underlying data;
Editorial Universidad Nacional de Colombia;unal;rvest;https://revistas.unal.edu.co/;single;single;;;0;;;;;;div.journals ul div.body a;0;;div.journals ul div.body a;0;;;fine;
International Scholars Journals;isj;rvest;https://internationalscholarsjournals.org/journals/;single;single;;;0;;;;;;dl.journals > dd > a > span:first-child;0;;dl.journals > dd > a;0;;https://internationalscholarsjournals.org/;fine;
Termedia;termedia;rvest;https://www.termedia.pl/Journals;single;single;;;0;;;;;;div.prodsFeedList > table a;1;"journalnames <- gsub(""IF.[0-9].[0-9]{2,4}"", """", journalnames)";div.prodsFeedList > table a;0;;https://www.termedia.pl/;fine;
ACM;acm;RSelenium;https://dl.acm.org/journals;single;single;;;0;;;;;;h4 > a > .browse-title;0;;h4 > a;0;;https://dl.acm.org;fine;
Allerton Press;allerton;rvest;https://www.pleiades.online/en/journals/catalog/publisher/3/;single;single;;;0;;;;;;div.book_item_text > h3;0;;div.book_item_link > div:nth-child(1) > a;0;;https://www.pleiades.online;fine;
APA;apa;rvest;https://www.apa.org/pubs/journals/browse?query=Title:*&type=journal;single;single;;;0;;;;;;section.sresults > ul > li > a;0;;section.sresults > ul > li > a;0;;https://www.apa.org;fine;
ASCE;asce;rvest;https://ascelibrary.org/journals?pageSize=20&startPage=0;MULTIPLE;UNKNOWN;h3.blockTitle > .resultNumber;.*;0;;20;https://ascelibrary.org/journals?pageSize=20&startPage=;;i-1;div.rightSide > h2.itemTitle > a;0;;div.rightSide > h2.itemTitle > a;0;;https://ascelibrary.org;fine;
Austin Publishing Group;austin;rvest;https://austinpublishinggroup.com/open-access-journals.html;single;single;;;0;;;;;;div.all-journals-list > ul > li > a;1;journalnames <- journalnames[nchar(journalnames) > 2];div.all-journals-list > ul > li > a;1;journalurl <- journalurl[nchar(journalurl) > 2];https://austinpublishinggroup.com;fine;
BMJ;bmj;rvest;https://journals.bmj.com/;single;single;;;0;;;;;;ul.accordion-panel > li.journal-title > a;1;"journalnames <- gsub(""TJ"", """", journalnames)";li.journal-title > a;0;;;fine;
Common Ground Research Networks;cgn;rvest;https://cgnetworks.org/journals/titles;single;single;;;0;;;;;;div.main > ul > li > a > em;0;;div.main > ul > li > a;0;;;fine;OMIT_URL_UNIQUE
De Gruyter;degruyter;rvest;;MULTIPLE;11;;;0;;;https://www.degruyter.com/browse?pageSize=100&sort=datedescending&type_2=journal&page=;;i;.typography-body.font-header.fw-4.color-black.f-3.ln-2;0;;.typography-body.font-header.fw-4.color-black.f-3.ln-2 > a;1;journalurl[[i]] <- ifelse(grepl('^//', journalurl[[i]]), paste0('https:', journalurl[[i]]), paste0('https://www.degruyter.com', journalurl[[i]]));;fine;SESSION_REQUIRED
Dovepress;dovepress;rvest;https://www.dovepress.com/browse_journals.php;single;single;;;0;;;;;;div.a-z li > a;0;;div.a-z li > a;0;;https://www.dovepress.com/;fine;
EDPSciences;edp;RSelenium;https://publications.edpsciences.org/fr#!s=current&l=en;single;single;;;0;;;;;;h3 > a;0;;h3 > a;0;;;fine;
Fabrizio Serra;fabrizioserra;rvest;http://www.libraweb.net/periodalf.php;single;single;;;0;;;;;;h3+a > b:nth-child(1);0;;h3+a;0;;http://www.libraweb.net/;fine;
Universitetsforlaget;forlaget;rvest;https://www.universitetsforlaget.no/tidsskrift#a-x;single;single;;;0;;;;;;div.xxlarge-4 > div.convert-block > ul > li > a;0;;div.xxlarge-4 > div.convert-block > ul > li > a;0;;;fine;
Hans Publishers;hans;rvest;https://www.hanspub.org/JournalsbyTitle.htm;single;single;;;0;;;;;;div.mediabox > ul > li a.journallb;0;;div.mediabox > ul > li a.journallb;0;;https:;fine;
IEEE;ieee;RSelenium;;MULTIPLE;3;;;0;;;https://ieeexplore.ieee.org/browse/periodicals/title?rowsPerPage=100&pageNumber=;;i;h2;0;;h2 > a;0;;https://ieeexplore.ieee.org;fine;(some problem with fulldata <- do.call, pertaining to publisher and Sys.Date())
IGI Global Publishing;igi;rvest;https://www.igi-global.com/search/?ctid=2&dt=complete-listing%2ccurrently-available;MULTIPLE;UNKNOWN;#ctl00_ctl00_cphMain_cphSection_lblResultCount;(?<=: ).*$;0;;25;https://www.igi-global.com/search/?ctid=2&dt=complete-listing%2ccurrently-available&pg=;;i;#titleLink;0;;a#Link;0;;https://www.igi-global.com;fine;
iMedPub;imed;rvest;https://www.imedpub.com/journals.php;single;single;;;0;;;;;;div.card-body > ul > li;0;;div.card-body > ul > li > a;0;;;fine;OMIT_ALL_UNIQUE
Intellect Books;intellect;rvest;;MULTIPLE;7;;;0;;;https://www.intellectbooks.com/journals/all-titles?page=;;i;span.book-item-title;0;;a.book-item-link;0;;https://www.intellectbooks.com;fine;
IOP Publishing;iop;rvest;https://ioppublishing.org/publications/our-journals/;single;single;;;0;;;;;;;;;;;;;COMPLICATED (CROSSREF CODE DUE TO ISSN-ONLY);
IOS Press;ios;rvest;https://www.iospress.nl/catalogue/journals/;MULTIPLE;UNKNOWN;#block-rocketship-theme-starter-content > article > div > div.layout--rs-content.layout.layout-section.layout--label-body > div > div > div > div > div > div > details > div > div > div > div:nth-child(3) > div > div > ul > li:nth-child(4) > a > span.facet-item__count;[[:digit:]]+;0;;12;https://www.iospress.com/catalog?f%5B0%5D=type%3Ajournal&page=;;i-1;div.content h2 > a;0;;div.content h2 > a;0;;https://www.iospress.com;fine;
John Hopkins University Press;jhu;rvest;https://www.press.jhu.edu/journals/browse;single;single;;;0;;;;;;div.view-content > div.views-row > a;0;;div.view-content > div.views-row > a;0;;https://www.press.jhu.edu;fine;
John Benjamins;jb;rvest;https://benjamins.com/catalog/serials/current;single;single;;;0;;;;;;h1.bktitle > a;1;"journalnames <- gsub(""\n"", "":"", journalnames); journalnames <- stringr::str_squish(journalnames)";h1.bktitle > a;0;;https://benjamins.com/;fine;
Cambridge University Press;cup;rvest;https://www.cambridge.org/core/what-we-publish/journals;single;single;;;0;;;;;;ul.listings div.large-8 a.title;0;;ul.listings > li > div.row > div.large-8 > a;0;;https://www.cambridge.org;fine;
Brill;brill;rvest;https://brill.com/browse?et=journal&pageSize=10&sort=datedescending;MULTIPLE;UNKNOWN;#resultTotal;.*;0;;100;https://brill.com/browse?et=journal&pageSize=100&sort=datedescending&page=;;i;div.typography-body.text-headline.color-primary > a.c-Button--link;0;;div.typography-body.text-headline.color-primary > a.c-Button--link;0;;https://brill.com;fine;SESSION_REQUIRED
Emerald;emerald;rvest;;MULTIPLE;32;;;0;;;https://www.emeraldgrouppublishing.com/products/journals/find-a-journal?searchfor=&tid=All&starts_with=&field_open_access_value_1=0&sort_by=title&page=;;i-1;div.journal-grid__title;0;;div.journal-grid__link > a;0;;https://www.emeraldgrouppublishing.com;fine;
Frontiers;frontiers;RSelenium;https://www.frontiersin.org/journals?domain=all;single;single;;;0;;;;;;;;;;;;;COMPLICATED (COMPOSITE NAMES);
Hindawi;hindawi;rvest;https://www.hindawi.com/journals/;single;single;;;0;;;;;;#journalSection h3;0;;#journalSection a.sc-htpNat;0;;https://www.hindawi.com;fine;
Royal Society of Chemistry;rsc;rvest;https://www.rsc.org/journals-books-databases/about-journals/journals-a-z/;single;single;;;0;;;;;;figcaption;0;;figcaption a;0;;https://www.rsc.org;fine;
SAGE;sage;rvest;;MULTIPLE;13;;;0;;;https://journals.sagepub.com/action/showPublications?pageSize=100&startPage=;;i-1;#browsePublicationsForm > table td > a;0;;#browsePublicationsForm > table td > a;0;;https://journals.sagepub.com;fine;
MDPI;mdpi;rvest;https://www.mdpi.com/about/journals;single;single;;;;;;;;;.journal-name-cell > a > div;0;;.journal-name-cell > a;0;;https://www.mdpi.com;fine;
InderScience;inderscience;rvest;https://www.inderscience.com/;single;single;;;;;;;;;a.dropdown-item;0;;a.dropdown-item;0;;;fine;
Wolters Kluwer;lww;RSelenium;https://journals.lww.com/pages/journals.aspx;single;single;;;0;;;;;;h3.lp-a-z-journals__card-title;0;;a.lp-a-z-journals__card-body;0;;;fine;
Karger;karger;rvest;https://www.karger.com/Journal/IndexListAZ;single;single;;;0;;;;;;#mainContent div.destinations > ul > li;1;journalnames <- stringr::str_squish(journalnames);#mainContent div.destinations > ul > li > a;0;;https://www.karger.com/;fine;
KeAi;keai;rvest;http://www.keaipublishing.com/en/journals/;single;single;;;0;;;;;;ul.list-unstyled > li.mb-1 > a;0;;ul.list-unstyled > li.mb-1 > a;0;;https://www.keaipublishing.com;fine;
Akademiai Kiado;kiado;rvest;https://akademiai.hu/9/journals/;single;single;;;0;;;;;;li.last > h4 > a;0;;li.last > h4 > a;0;;;fine;
