PUBLISHER_NAME	PUBLISHER_FILENAME	PUBLISHER_MODE	PUBLISHER_URL	PUBLISHER_PAGES	PUBLISHER_PAGES_NR	PUBLISHER_RESULTS_NODE	PUBLISHER_RESULTS_REGEX	PUBLISHER_RESULTS_ADDCODE_YESNO	PUBLISHER_RESULTS_ADDITIONAL_CODE	PUBLISHER_RESULTS_PER_PAGE	PUBLISHER_PAGE_URL_BEFORE	PUBLISHER_PAGE_URL_AFTER	PUBLISHER_PAGE_I	JOURNALNAME_CSS	JOURNALNAMES_ADDCODE_YESNO	JOURNALNAMES_ADDITIONAL_CODE	JOURNAL_URL_NODES	JOURNALURL_ADDCODE_YESNO	JOURNALURL_ADDITIONAL_CODE	JOURNALURL_PASTE	COMMENT	OTHER
NAME	ABBR	RSelenium or not	first url	MULTIPLE or SINGLE	UNKNOWN or total number of pages	html to fetch results number	for stringr::str_extract of results number	1 or 0	additional regex? Gsub? To fetch results nr	e.g. 15	"url before ""i"""	"url after ""i"""	"either ""i"" or ""i-1"" or ""LETTERS"""	such as div > a	1 or 0	e.g. stringr::str_extract	e.g. div > a	1 or 0	e.g. stringr::str_extract	"e.g. ""https://cambridge.uk/journal"""	NA	NA
Universitaetsverlag Potsdam	unipotsdam	rvest	https://shop.verlag.uni-potsdam.de/zeitschriften/	single	single	NA	NA	0	NA	NA	NA	NA	NA	div.zeitschriften-link > a	0	NA	div.zeitschriften-link > a	0	NA	NA	error due to an outdated https-certificate	NA
AME Publishing Company	ame_groups	rvest	https://www.amegroups.cn/app/sciJournals-en-US	single	single	NA	NA	0	NA	NA	NA	NA	NA	div.jss11 > i > a	0	NA	div.jss11 > i > a	0	NA	NA	fine	NA
Annual Reviews	annual_reviews	rvest	https://www.annualreviews.org/action/showPublications	single	single	NA	NA	0	NA	NA	NA	NA	NA	div.ar-browse-item > a > div.text-container > div > span > div.title	0	NA	div.ar-browse-item > a	0	NA	https://www.annualreviews.org	fine	NA
Duke University Press	duke	rvest	https://read.dukeupress.edu/journals/pages/Browse_by_Title	single	single	NA	NA	0	NA	NA	NA	NA	NA	ul.browse-by-title a	0	NA	ul.browse-by-title a	0	NA	https://read.dukeupress.edu	error: something wrong with underlying data	NA
Editorial Universidad Nacional de Colombia	unal	rvest	https://revistas.unal.edu.co/	single	single	NA	NA	0	NA	NA	NA	NA	NA	div.journals ul div.body a	0	NA	div.journals ul div.body a	0	NA	NA	fine	NA
International Scholars Journals	isj	rvest	https://internationalscholarsjournals.org/journals/	single	single	NA	NA	0	NA	NA	NA	NA	NA	dl.journals > dd > a > span:first-child	0	NA	dl.journals > dd > a	0	NA	https://internationalscholarsjournals.org/	fine	NA
Termedia	termedia	rvest	https://www.termedia.pl/Journals	single	single	NA	NA	0	NA	NA	NA	NA	NA	div.prodsFeedList > table a	1	"journalnames <- gsub(""IF.[0-9].[0-9]{2,4}"", """", journalnames)"	div.prodsFeedList > table a	0	NA	https://www.termedia.pl/	fine	NA
ACM	acm	RSelenium	https://dl.acm.org/journals	single	single	NA	NA	0	NA	NA	NA	NA	NA	h4 > a > .browse-title	0	NA	h4 > a	0	NA	https://dl.acm.org	fine	NA
Allerton Press	allerton	rvest	https://www.pleiades.online/en/journals/catalog/publisher/3/	single	single	NA	NA	0	NA	NA	NA	NA	NA	div.book_item_text > h3	0	NA	div.book_item_link > div:nth-child(1) > a	0	NA	https://www.pleiades.online	fine	NA
