"doaj_publishers","Freq"
"Elsevier",372
"BMC",321
"Sciendo",301
"Hindawi Limited",229
"MDPI AG",215
"SpringerOpen",209
"Wolters Kluwer Medknow Publications",207
"SAGE Publishing",174
"Taylor & Francis Group",163
"Wiley",140
"Dove Medical Press",101
"Universitas Negeri Semarang",92
"De Gruyter",75
"Frontiers Media S.A.",72
"Oxford University Press",60
"Universidade de São Paulo",49
"Ubiquity Press",48
"Nature Publishing Group",47
"Universidad Complutense de Madrid",45
"Universitas Gadjah Mada",44
"PAGEPress Publications",44
"Universitas Udayana",43
"Copernicus Publications",40
"University of Bologna",39
"Pensoft Publishers",37
"Consejo Superior de Investigaciones Científicas",37
"AOSIS",37
"University of Brawijaya",36
"Universidad Nacional de Colombia",35
"Universidad de Chile",34
"Emerald Publishing",34
"Universidade Estadual de Campinas",33
"KeAi Communications Co. Ltd.",32
"Cambridge University Press",32
"Universidade Federal de Santa Catarina",29
"Universidad Nacional de La Plata",29
"Universidad de Costa Rica",29
"Tehran University of Medical Sciences",29
"Lodz University Press",29
"EDP Sciences",29
"Conselho Nacional de Pesquisa e Pós-graduação em Direito (CONPEDI)",29
"Universitas Negeri Malang",28
"Università degli Studi di Milano",27
"Termedia Publishing House",27
"Karger Publishers",27
"Universidade Federal de Minas Gerais",26
"Universidade do Estado do Rio de Janeiro",25
"Galenos Yayinevi",25
"Firenze University Press",25
"BMJ Publishing Group",25
"Vilnius University Press",24
"Universitas Indonesia",24
"Universidade de Brasília",24
"Universidad de Buenos Aires",24
"Muhammadiyah University Press",24
"KeAi",24
"University Library System, University of Pittsburgh",23
"Universitas Negeri Yogyakarta",23
"Universidad de Granada",23
"Universitat de Barcelona",22
"Universidad de Murcia",22
"V. N. Karazin Kharkiv National University",21
"Universitas Airlangga",21
"Universidade Federal de Goiás",21
"Shiraz University of Medical Sciences",21
"Mashhad University of Medical Sciences",21
"University of Tehran",20
"University of Isfahan",20
"Universidad Nacional, Costa Rica",20
"Peoples’ Friendship University of Russia (RUDN University)",20
"Groupe d’Etudes et de Recherches pour le Français Langue Internationale (GERFLINT)",20
"eScholarship Publishing, University of California",20
"Coimbra University Press",20
"Wolters Kluwer",19
"Universidade Federal do Rio Grande do Sul",19
"Universidade Federal do Rio de Janeiro",19
"Universidad Nacional Autónoma de México",19
"Ediciones Universidad de Salamanca",19
"Diponegoro University",19
"Allameh Tabataba'i University Press",19
"AIMS Press",19
"Universidad de Antioquia",18
"Open Library of Humanities",18
"Universitat Autònoma de Barcelona",17
"Universitas Negeri Surabaya",17
"Universidad Nacional de Córdoba",17
"Shahid Beheshti University of Medical Sciences",17
"Karolinum Press",17
"JMIR Publications",17
"Zibeline International",16
"Scandinavian University Press/Universitetsforlaget",16
"European Medical Journal",16
"European Alliance for Innovation (EAI)",16
"Universitas Pendidikan Indonesia",15
"Universidade Estadual Paulista",15
"Universidad Nacional de Educación a Distancia (UNED)",15
"Universidad de Alicante",15
"Exeley Inc.",15
"Universidade Federal Fluminense",14
"Universidade Federal de Pernambuco",14
"Universidade Federal da Grande Dourados",14
"Universidade Estadual de Londrina",14
"Shahid Sadoughi University of Medical Sciences",14
"Institut Agama Islam Negeri (IAIN) Curup",14
"Hindawi-Wiley",14
"Alzahra University",14
"Universitas Pasundan",13
"Universitas Negeri Jakarta",13
"Universitas Muhammadiyah Yogyakarta",13
"Universidade Federal do Paraná",13
"The Institution of Engineering and Technology",13
"Pontifícia Universidade Católica de São Paulo",13
"Pontificia Universidad Católica del Perú",13
"Polish Academy of Sciences",13
"Michigan Publishing",13
"LLC ""CPC ""Business Perspectives""",13
"Islamic Azad University",13
"IOP Publishing",13
"IEEE",13
"Bogor Agricultural University",13
"Adis, Springer Healthcare",13
"Vilnius Gedinimas Technical University",12
"Universitat de València",12
"Universidade Federal do Rio Grande do Norte",12
"Universidade Federal do Ceará",12
"Universidade Federal de Uberlândia",12
"Universidade Federal da Paraíba",12
"Universidade Estadual de Maringá",12
"Universidad Nacional del Litoral",12
"Universidad Externado de Colombia",12
"Universidad Distrital Francisco José de Caldas",12
"Universidad Autónoma de Madrid ",12
"UCL Press",12
"Moscow State University of Psychology and Education",12
"KeAi Communications Co., Ltd.",12
"UTS ePRESS",11
"Università degli Studi di Torino",11
"Universidade Federal do Maranhão",11
"Universidade Federal da Bahia",11
"Universidade de São Paulo (USP)",11
"Universidad Santo Tomás",11
"Universidad Nacional de Mar del Plata",11
"Edizioni Ca’ Foscari",11
"Czech Academy of Agricultural Sciences",11
"Center for Open Access in Science, Belgrade, Serbia",11
"Atlantis Press",11
"University of Bucharest",10
"Universitas Semarang",10
"Universitas PGRI Madiun",10
"Universitas Padjadjaran",10
"Universitas Islam Negeri Syarif Hidayatullah Jakarta",10
"Universitas Islam Negeri Sunan Kalijaga Yogyakarta",10
"Universitas Ahmad Dahlan",10
"Universidade Nove de Julho",10
"Universidade Federal de Santa Maria",10
"Universidad Pedagógica y Tecnológica de Colombia ",10
"Universidad de la República",10
"Universidad de Cádiz",10
"Tabriz University of Medical Sciences",10
"Stellenbosch University",10
"PsychOpen",10
"Pontificia Universidad Javeriana",10
"KNUKiM Publishing Centre",10
"KARE Publishing",10
"Istanbul University",10
"German Medical Science GMS Publishing House",10
"Ferdowsi University of Mashhad",10
"Editorial Ciencias Médicas",10
"Columbia University Libraries",10
"Cappelen Damm Akademisk NOASP",10
"Berghahn Books",10
"ABV-press",10
"University of Edinburgh",9
"University of Alberta",9
"Universitat Politècnica de València",9
"Universitas Negeri Medan",9
"Universitas Muhammadiyah Purwokerto",9
"Universitas Muhammadiyah Metro",9
"Universitas Islam Bandung",9
"Universitas Diponegoro",9
"Universidade Federal do Tocantins",9
"Universidade Federal de Viçosa",9
"Universidade Federal de Sergipe",9
"Universidade Federal de Santa Maria (UFSM) ",9
"Universidade de Santa Cruz do Sul",9
"Universidad del Valle",9
"Universidad de Valladolid",9
"Universidad de Guadalajara",9
"Universidad de Córdoba",9
"Syiah Kuala University",9
"Septentrio Academic Publishing",9
"Petra Christian University",9
"PC Technology Center",9
"Hipatia Press",9
"Ankara University",9
"Znanstvena založba Filozofske fakultete Univerze v Ljubljani (Ljubljana University Press, Faculty of Arts)",8
"Wydawnictwo Naukowe Uniwersytetu Szczecinskiego",8
"World Scientific Publishing",8
"Univerzita Karlova, Filozofická fakulta",8
"Universitat Pompeu Fabra",8
"Universitas Merdeka Malang",8
"Universitas Medan Area",8
"Universitas Islam Negeri Sunan Ampel Surabaya",8
"Universitas Andalas",8
"Università del Salento",8
"Universidade Federal Fluminense (UFF)",8
"Universidade Federal do Espírito Santo",8
"Universidade Federal de Pelotas",8
"Universidade Estadual do Ceará",8
"Universidade do Vale do Rio dos Sinos",8
"Universidade do Porto",8
"Universidad Politécnica de Valencia",8
"Universidad Politécnica de Madrid ",8
"Universidad Nacional de Rosario",8
"Universidad de Los Andes",8
"The MIT Press",8
"The International Academic Forum",8
"Servicios Academicos Intercontinentales",8
"Sekolah Tinggi Agama Islam Negeri (STAIN) Kudus",8
"Scandinavian University Press (Universitetsforlaget)",8
"Politeknik Negeri Bali",8
"Mykolas Romeris University",8
"Kerman University of Medical Sciences",8
"Jenderal Soedirman University",8
"Institute of Slavic Studies, Polish Academy of Sciences",8
"Hamadan University of Medical Sciences",8
"Georg Thieme Verlag KG",8
"EMH Swiss Medical Publishers Ltd.",8
"Editora da Pontifícia Universidade Católica do Rio Grande do Sul (EDIPUCRS)",8
"BRILL",8
"Amaltea Medical Publishing House",8
"Utrecht University Library Open Access Journals (Publishing Services)",7
"Uniwersytet Mikolaja Kopernika",7
"Universitas Sebelas Maret",7
"Universitas Lambung Mangkurat",7
"Universitas Darussalam Gontor",7
"Università di Napoli Federico II",7
"Università degli Studi di Cagliari",7
"Universidade Federal do Rio Grande",7
"Universidade Federal de São Carlos",7
"Universidade Federal de Juiz de Fora",7
"Universidade Estadual de Ponta Grossa",7
"Universidade do Estado de Santa Catarina",7
"Universidad Nacional Mayor de San Marcos",7
"Universidad Nacional del Nordeste",7
"Universidad Industrial de Santander",7
"Universidad del Rosario",7
"Universidad de Sevilla",7
"Universidad de Málaga",7
"Thieme Medical Publishers, Inc.",7
"Stockholm University Press",7
"Shahid Chamran University of Ahvaz",7
"Purdue University Press",7
"Public Library of Science (PLoS)",7
"Pontifícia Universidade Católica de Minas Gerais",7
"Pontificia Universidad Católica de Chile",7
"Penza State University Publishing House",7
"Payame Noor University",7
"Oslo and Akershus University College of Applied Sciences",7
"Novus forlag",7
"Nicolaus Copernicus University in Torun",7
"New Prairie Press",7
"Mary Ann Liebert",7
"Linköping University Electronic Press",7
"Islamic Azad University, Tabriz Branch",7
"Indonesian Institute of Sciences",7
"Imam Sadiq University",7
"Health and Medical Publishing Group",7
"Hasanuddin University",7
"Growing Science",7
"Georgia Southern University",7
"Future Medicine Ltd",7
"Escola Bahiana de Medicina e Saúde Pública",7
"El Colegio de México, A.C.",7
"Editura Universitatii din Oradea",7
"Colegio Oficial de Psicólogos de Madrid",7
"Alexandru Ioan Cuza University of Iasi",7
"Adam Mickiewicz University, Poznan",7
"Volgograd State University",6
"Vesnu Publications ",6
"University of Windsor",6
"Universitetsforlaget",6
"Universitas Negeri Makassar",6
"Universitas Muhammadiyah Ponorogo",6
"Universitas Muhammadiyah Magelang",6
"Universitas Mercu Buana Yogyakarta",6
"Universitas Kristen Satya Wacana",6
"Universitas Islam Negeri Ar-Raniry",6
"Universidade Tecnológica Federal do Paraná",6
"Universidade Federal de Santa Catarina (UFSC)",6
"Universidade Federal de Alagoas",6
"Universidade Estadual Paulista Júlio de Mesquita Filho",6
"Universidade Estadual do Oeste do Paraná",6
"Universidad Pontificia Comillas",6
