"publisher","journals","reviews"
"Springer Nature",3270,"1677357"
"Elsevier",2663,"1170147"
"Taylor & Francis",2537,"511701"
"Wiley",1827,"1686159"
"Routledge",1287,"132405"
"SAGE Publishing",1149,"496764"
"De Gruyter",901,"15665"
"Institute of Electrical and Electronics Engineers Inc. (IEEE)",863,"635163"
"Springer",603,"41347"
"Wolters Kluwer Health",449,"180315"
"Oxford University Press",351,"146612"
"Inderscience Publishers",315,"9041"
"OMICS Publishing Group",310,"7757"
"Emerald Group Publishing",303,"71945"
"SciELO",294,"85022"
"Cambridge University Press",292,"53426"
"Hindawi",291,"31481"
"MDPI",275,"914353"
"Egyptian Knowledge Bank",259,"7472"
"Bentham Science Publishers",249,"20146"
"Scientific Research Publishing (SCIRP)",246,"5911"
"Wolters Kluwer Health | Lippincott",241,"136140"
"IGI Global",209,"5343"
"Thieme Publishing Group",161,"52058"
"Karger Publishers",145,"9374"
"Informa Healthcare",140,"8451"
"Brill Publishers",133,"2990"
"MedCrave Group",132,"3198"
"Nature Publishing Group",125,"76474"
"SCIENCEDOMAIN international",120,"48401"
"Medknow Publications",119,"13048"
"W.B. Saunders Ltd",119,"10702"
"Academic Journals",112,"13209"
"IOP Publishing",108,"190958"
"World Scientific Publishing",105,"10581"
"iMedPub",105,"1039"
"Allied Academies",104,"4493"
"Association for Computing Machinery (ACM)",100,"11154"
"Dove Medical Press Ltd.",97,"19530"
"American Psychological Association",90,"56946"
"Mary Ann Liebert Inc.",90,"12881"
"Sciendo",89,"4995"
"IOS Press",86,"5681"
"Academic Press",80,"1371"
"American Chemical Society",70,"88796"
"BMJ Publishing Group",65,"62529"
"Science Press",64,"1990"
"AME Publishing Company",60,"5785"
"Royal Society of Chemistry",55,"269310"
"University of Chicago Press",52,"4513"
"American Society of Mechanical Engineers(ASME)",50,"5527"
"Copernicus Publications",47,"5181"
"Pensoft Publishers",41,"8031"
"ECronicon",40,"1943"
"Future Science Group",37,"11588"
"ICE Publishing",36,"3503"
"American Society of Civil Engineers (ASCE)",35,"12336"
"MIT Press Journals",35,"1472"
"EDP Sciences",34,"2373"
"Palgrave Macmillan",33,"1364"
"Begell House",31,"1091"
"Mosby Inc.",29,"10276"
"AVES",29,"4780"
"Edizioni Minerva Medica",29,"1886"
"Cell Press",28,"6334"
"Higher Education Press",28,"1443"
"MA Healthcare Ltd",27,"7931"
"Termedia Publishing House",27,"5854"
"IEEE Communications Society",27,"1374"
"CSIRO Publishing",26,"17667"
"Churchill Livingstone",26,"6822"
"Urban und Fischer Verlag Jena",26,"2832"
"Canadian Science Publishing",25,"17000"
"Kowsarmedical Publishing",25,"8218"
"Baishideng Publishing Group",25,"7452"
"European Geosciences Union",25,"3046"
"Human Kinetics Publishers",24,"3588"
"American Institute of Physics (AIP)",23,"18774"
"Science Publications",23,"1303"
"KARE Publisher",23,"1224"
"JMIR Publications",22,"6147"
"International Knowledge Press",22,"2671"
"AIMS Press",22,"1488"
"Hogrefe Publishing",22,"1450"
