"scopus_publishers","Freq"
"Elsevier",3920
"Springer Nature",3411
"Taylor & Francis",2998
"Wiley-Blackwell",1971
"SAGE",935
"Wolters Kluwer Health",566
"Emerald",480
"Walter de Gruyter",462
"Brill",459
"Cambridge University Press",397
"Oxford University Press",387
"IEEE",335
"Karger",268
"Hindawi",249
"Inderscience",246
"Bentham",232
"Thieme",175
"Pleiades Publishing",166
"Multidisciplinary Digital Publishing Institute (MDPI)",145
"Mary Ann Liebert",143
"World Scientific",134
"Science Press",112
"IOS Press",105
"Royal Society of Chemistry",98
"Institute of Physics Publishing",94
"University of Chicago Press",88
"APA",86
"Akademiai Kiado",86
"John Benjamins Publishing Company",84
"American Chemical Society",80
"Johns Hopkins University Press",79
"IGI Global Publishing",77
"BMJ Publishing Group",76
"Dove Medical Press",73
"Izdatel'stvo Nauka",71
"ACM",67
"ASCE",66
"Annual Reviews Inc.",60
"Entomological Society of Canada",57
"Frontiers Media S.A.",55
"IEE",54
"Polska Akademia Nauk",52
"EDP Sciences",52
"Edizioni Minerva Medica",52
"Common Ground Research Networks",52
"Duke University Press",50
"University of California Press",49
"University of Toronto Press",46
"American Medical Association",46
"Edinburgh University Press",42
"CSIRO",41
"Copernicus",41
"Begell House",40
"American Institute of Physics",39
"Nakladatelske Stredisko CLSJE Purkyne",38
"Libertas Academica",38
"Intellect Publishers",38
"Future Medicine Ltd.",37
"CSIC Consejo Superior de Investigaciones Cientificas",37
"Hogrefe Publishing",36
"ASME",35
"Rila Publications",34
"Penn State University Press",34
"PagePress",34
"Universidad Nacional Autonoma de Mexico",32
"Peeters Publishers",32
"Institution of Engineering and Technology",32
"Universidad Complutense de Madrid",31
"MIT Press",31
"L'Expansion Scientifique Francaise",31
"Scientific Publishers",30
"Libbey",30
"Carl Hanser Verlag",30
"Polish Academy of Sciences",29
"Human Kinetics Publishers Inc.",29
"Editura Academiei Romane/Publishing House of the Romanian Academy",29
"Asian Network for Scientific Information",29
"Equinox Publishing Ltd",28
"ICE Publishing Ltd.",27
"Berghahn",27
"Universidade de Sao Paulo",26
"Universidad Nacional de Colombia",26
"Advanstar Communications Inc.",26
"Societa Editrice Il Mulino",25
"OpenJournals Publishing AOSIS (Pty) Ltd",25
"Liverpool University Press",25
"American Society for Microbiology",25
"Zhonghua Yixeuehui Zazhishe/Chinese Medical Association Publishing House",24
"Via Medica",24
"Termedia Publishing House Ltd.",24
"Presses Universitaires de France",24
"McGraw Hill",24
"Intellect Ltd.",24
"Indiana University Press",24
"Brepols Publishers",24
"Acta Medica Belgica",24
"Ubiquity Press",23
"Pensoft Publishers",23
"Morgan & Claypool Publishers",23
"II Pensiero Scientifico Editore srl",23
"University of Zagreb",22
"American Physical Society",22
"Internet Scientific Publications",21
"Gustav Fischer Verlag",21
"E. Schweizerbart'sche Verlagsbuchhandlung",21
"Academic Journals Inc.",21
"World Health Organization",20
"Universitat de Barcelona",20
"Tehran University of Medical Sciences",20
"Springer Publishing Company",20
"American Scientific Publishers",20
"American Physiological Society",20
"West Publishing Co.",19
"PennWell Publishing Co.",19
"Now Publishers Inc.",19
"Nova Science Publishers Inc.",19
"Lavoisier",19
"Kowsar Publishing Company",19
"Franco Angeli Edizioni",19
"Slack, Inc.",18
"Raven Press",18
"Quintessence Publishing Company",18
"Philosophy Documentation Center",18
"Izdatel'stvo Meditsina Publishers",18
"Gauthier-Villars",18
"Franz Steiner Verlag",18
"De Boeck",18
"WSEAS Press",17
"Firenze University Press",17
"European Mathematical Society Publishing House",17
"Dustri-Verlag Dr. Karl Feistle",17
"Chinese Medical Association",17
"American Institute of Mathematical Sciences",17
"University of Hawaii Press",16
"Society for Industrial and Applied Mathematics",16
"SAE",16
"Penton Media, Inc.",16
"NRC Research Press",16
"Editura Medicala",16
"Editorial Ciencias Medicas",16
"DMG world Media Ltd",16
"American Meteorological Society",16
"American Mathematical Society",16
"AME Publishing Company",16
"Akademie Ved Ceske Republiky",16
"World Textile Publications Ltd",15
"Wichtig Publishing",15
"US Department of Health and Human Services",15
"Scientific and Technical research Council of Turkey - TUBITAK/Turkiye Bilimsel ve Teknik Arastirma Kurumu",15
"Panstwowe Wydawnictwo Naukowe",15
"Pacini Editore SpA",15
"OMICS Publishing Group",15
"Japan Society of Mechanical Engineers/Nihon Kikai Gakkai",15
"Institution of Engineers (India)",15
"Higher Education Press",15
"Harwood Academic Publishers",15
"Fabrizio Serra Editore",15
"Dietrich Steinkopff Verlag",15
"Consultants Bureau",15
"CIC Edizioni International s.r.l.",15
"Chinese Academy of Sciences",15
"Allen Press",15
"Zhongguo Kexue Zazhishe/Science in China Press",14
"Vilnius Gediminas Technical University",14
"Universidad de Chile",14
"Techno Press",14
"Swets & Zeitlinger",14
"SPE",14
"Radcliffe Group Ltd",14
"Pontificia Universidad Javeriana",14
"Panstwowy Zaklad Wydawnictw Lekarskich",14
"Johann Ambrosius Barth",14
"Cognizant Communication Corporation",14
"B.C. Decker Inc.",14
"University of Pennsylvania Press",13
"Touch Medical Media",13
"Thomas Telford Services Ltd",13
"Science Publications",13
"Science and Engineering Research Support Society",13
"Pontificia Universidad Catolica de Chile",13
"Optical Society of America",13
"Old City Publishing Inc.",13
"National'na Akademiya Nauk Ukrainy",13
"Maik Nauka/Interperiodica Publishing",13
"Jagiellonian University Press",13
"Harvard University Press",13
"Hans Huber AG",13
"e-Century Publishing Corporation",13
"Deutscher Fachverlag GmbH",13
"AVES Ibrahim Kara",13
"American Society for Testing and Materials",13
"American Institute of Aeronautics and Astronautics",13
"American Accounting Association",13
"Allied Academies",13
"WIT Press",12
"Urban und Vogel Medien und Medizin Verlagsgesellschaft mbH",12
"Universidade Estadual Paulista (UNESP)",12
"Universidad del Zulia",12
"Slack Incorporated",12
"Saint Petersburg State University",12
"Royal College of Nursing Publishing Co.",12
"Medwell",12
"Meditsina Publishers",12
"Mark Allen Publishing Ltd.",12
"Le Jacq Communications, Inc.",12
"International Press of Boston, Inc.",12
"Institute for Operations Research and the Management Sciences",12
"Il Mulino publishing house",12
"Human Sciences Press",12
"Estonian Academy Publishers",12
"Arthur L. Davis Publishing Agency Inc",12
"Aran Ediciones SA",12
"American Bar Association",12
"Universidade Federal do Parana",11
"Universidade Estadual de Maringa",11
"U.S. National Center for Health Statistics",11
"Trans Tech Publications Ltd",11
"The Royal Society",11
"SPIE",11
"Slovak Academy of Sciences",11
"Slovak Academic Press Ltd.",11
"Royal Society of Medicine",11
"Primedia Business Magazines & Media Inc.",11
"National Research University Higher School of Economics",11
"Jaypee Brothers Medical Publishers (P) Ltd",11
"Institute of Mathematical Statistics",11
"Geological Society of America",11
"Geological Society",11
"G Braun Buchverlag",11
"Czech Academy of Agricultural Sciences",11
"Cygnus Business Media Inc.",11
"Cold Spring Harbor Laboratory Press",11
"Chemical Society",11
"Academic Journals",11
"Verlag Eugen Ulmer GmbH",10
"University of Wisconsin Press",10
"University of North Carolina Press",10
"University of Illinois Press",10
"Universitat Autonoma de Barcelona",10
"Universidade Federal do Rio Grande do Sul",10
"Universidad de Antioquia",10
"Thomson American Health Consultants Inc.",10
"The British Psychological Society",10
"Schwabe and Co. AG",10
"Russian Academy of Sciences",10
"Portfolio Management Research",10
"PJD Publications Ltd.",10
"Paperloop",10
"Naukova Dumka",10
"Nauka Publishers",10
"Michigan State University Press",10
"Kyushu University",10
"Krause & Pachernegg GmbH",10
"King Saud University",10
"IWA Publishing",10
"Istanbul University",10
"Igaku-Shoin Ltd.",10
"Henry Stewart Publications",10
"Hacettepe University",10
"Guilford Press",10
"Fischer Medical Publications",10
"Editions ESKA",10
"Casa Editrice Leo S. Olschki",10
"Cahners Pub. Co.",10
"Business News Publishing Co.",10
"Bauverlag BV Gmbh",10
"American Hospital Association",10
"American Association for the Advancement of Science",10
"Akademie Verlag",10
"ZRC SAZU, Zalozba ZRC",9
"Wissenschaftliche Verlagsgesellschaft",9
"Wageningen Academic Publishers",9
"USDA Forest Service",9
"Urban und Schwarzenberg",9
"University of Malaya",9
"Universidade Federal do Rio de Janeiro",9
"Universidad Nacional de Educacion a Distancia (UNED)",9
"Universidad de los Andes",9
"Tomsk State University",9
"Tohoku University",9
"Tech Science Press",9
"Society of Manufacturing Engineers",9
"Shiraz University of Medical Sciences",9
"Public Library of Science",9
"Praise Worthy Prize",9
"North American Publishing Co.",9
"National Health information",9
"Miller Freeman",9
"Mattioli 1885 SpA",9
"Mashhad University of Medical Sciences",9
"Librairie Droz SA",9
"Kyoto University",9
"KeAi Publishing Communications Ltd.",9
"Islamic Azad University",9
"Hirzel Verlag",9
"Hippokrates Verlag",9
"GERFLINT (Groupe d'Etudes et de Recherches pour le Francais Langue Internationale)",9
"Excerpta Medica",9
"Cliggott Publishing Co.",9
"CIC Edizioni Internazionali s.r.l.",9
"Ceska Lekarska Spolecnost J.E. Purkyne/Czech Medical Association",9
"Bohn Stafleu van Loghum B.V",9
"BioScientifica Ltd.",9
"American Nuclear Society",9
"American Association for Cancer Research",9
"Almgvist & Wiksells",9
"Addleton Academic Publishers",9
"Academia Sinica",9
"Zhongguo Kexueyuan",8
"World Bank Group",8
"Vydavatelstvi Karolinum",8
