"Publishers","Journals"
"Elsevier",2784
"Springer",1765
"Wiley",1726
"Routledge",1584
"Peter Lang International Academic Publishers",1410
"SAGE Publications",1199
"Springer Verlag",979
"Taylor and Francis",867
"De Gruyter",751
"Hindawi",509
"Emerald",476
"Cambridge University Press",456
"Oxford University Press (OUP)",443
"Medknow Publications",394
"Inderscience",388
"Brill Academic Publishers",383
"Lippincott, Williams &amp; Wilkins",355
"BMC",323
"Scientific Research Publishing",250
"Institute of Electrical and Electronics Engineers",237
"SpringerOpen",231
"John Wiley and Sons",227
"MDPI",217
"MAIK Nauka/Interperiodica",211
"World Scientific Publishing",161
"IGI Global",144
"Thieme Gruppe",143
"Information Resources Management Association",142
"Karger Publishers",136
"Dove Medical Press",135
"Wiley Open Access",135
"Bentham Science Publishers",132
"Hans Publishers",125
"Fabrizio Serra editore",124
"Intellect",120
"Philosophy Documentation Center",119
"Taylor &amp; Francis Open Access",114
"IOS Press",110
"Academic Press",99
"Wiley Periodicals",99
"Frontiers Media",98
"American Psychological Association",97
"Wiley-VCH Verlag",97
"IOP Publishing",94
"Mary Ann Liebert",94
"Nova Science Publishers",94
"University of Chicago Press",94
"Royal Society of Chemistry",93
"Johns Hopkins University Press",91
"Austin Publishing Group",88
"Bentham Open",87
"Nature Research",85
"John Benjamins Publishing",82
"Common Ground Research Networks",79
"PAGEpress",79
"BMJ Publishing Group",77
"Science and Education Publishing",76
"Academic Journals",75
"EDP Sciences",74
"JSciMed Central",73
"Copernicus Publications",71
"Akadémiai Kiadó",69
"Ubiquity Press",69
"Universitetsforlaget",68
"Wiley-Liss",68
"Nomos Verlagsgesellschaft",67
"American Bar Association",66
"American Chemical Society",66
"Universitätsverlag Potsdam",66
"Berkeley Electronic Press",62
"Urban and Fischer",61
"Springer Nature [academic journals on nature.com]",60
"Association for Computing Machinery (ACM)",57
"Duke University Press",57
"Nicolaus Copernicus University in Torun",55
"Universidad Nacional de Colombia",54
"De Gruyter Open",53
"International Scholars Journals Publishing Corporation",53
"Sciendo",53
"Universitas Diponegoro",52
"North-Holland",50
"Pensoft Publishers",50
"Termedia Publishing",50
"Hogrefe",49
"Palgrave Macmillan",49
"Equinox Publishing",48
"Annual Reviews",47
"Edinburgh University Press",47
"University of California Press",47
"Universidad de Murcia",46
"AOSIS",45
"Begell House",45
"Indiana University Press",45
"Alma Mater Studiorum - Università di Bologna",44
"Bohn Stafleu van Loghum",44
"Canadian Center of Science and Education (CCSE)",43
"Universidade Federal de Santa Catarina",43
"University Library System, University of Pittsburgh",43
"Baishideng Publishing Group",42
"Berghahn Journals",42
"British Psychological Society",42
"Hemeroteca Científica Catalana",42
"ICE Publishing",42
"Open Access Publishing London",42
"Tehran University of Medical Sciences",42
"University of Toronto Press",42
"Birkhäuser Verlag",41
"Mark Allen Healthcare",41
"University of Illinois Press",41
"David Publishing",40
"Universitas Negeri Semarang",40
"Allerton Press",39
"ME Sharpe",38
"MIT Press",38
"Macrothink Institute",38
"SCIENCEDOMAIN International",38
