"journal","url","publisher","date"
"African Annals of Thoracic and Cardiovascular Surgery","https://academicjournals.org/journal/AATCVS","Academic Journals",2022-08-11
"African Journal of Agricultural Research","https://academicjournals.org/journal/AJAR","Academic Journals",2022-08-11
"African Journal of Bacteriology Research","https://academicjournals.org/journal/JBR","Academic Journals",2022-08-11
"African Journal of Biochemistry Research","https://academicjournals.org/journal/AJBR","Academic Journals",2022-08-11
"African Journal of Biotechnology","https://academicjournals.org/journal/AJB","Academic Journals",2022-08-11
"African Journal of Business Management","https://academicjournals.org/journal/AJBM","Academic Journals",2022-08-11
"African Journal of Cellular Pathology","https://academicjournals.org/journal/AJCPath","Academic Journals",2022-08-11
"African Journal of Educational Management, Teaching and Entrepreneurship Studies","https://academicjournals.org/journal/AJEMATES","Academic Journals",2022-08-11
"African Journal of Environmental Science and Technology","https://academicjournals.org/journal/AJEST","Academic Journals",2022-08-11
"African Journal of Food Science","https://academicjournals.org/journal/AJFS","Academic Journals",2022-08-11
"African Journal of Health Sciences and Technology","https://academicjournals.org/journal/AJHST","Academic Journals",2022-08-11
"African Journal of History and Culture","https://academicjournals.org/journal/AJHC","Academic Journals",2022-08-11
"African Journal of Marketing Management","https://academicjournals.org/journal/AJMM","Academic Journals",2022-08-11
"African Journal of Mathematics and Computer Science Research","https://academicjournals.org/journal/AJMCSR","Academic Journals",2022-08-11
"African Journal of Medical and Health Sciences","https://academicjournals.org/journal/AJMHS","Academic Journals",2022-08-11
"African Journal of Microbiology Research","https://academicjournals.org/journal/AJMR","Academic Journals",2022-08-11
"African Journal of Oral Health Sciences","https://academicjournals.org/journal/AJOHS","Academic Journals",2022-08-11
"African Journal of Pharmacy and Pharmacology","https://academicjournals.org/journal/AJPP","Academic Journals",2022-08-11
"African Journal of Plant Science","https://academicjournals.org/journal/AJPS","Academic Journals",2022-08-11
"African Journal of Political Science and International Relations","https://academicjournals.org/journal/AJPSIR","Academic Journals",2022-08-11
"African Journal of Pure and Applied Chemistry","https://academicjournals.org/journal/AJPAC","Academic Journals",2022-08-11
"Al-Mahram International Journal","https://academicjournals.org/journal/AIJ","Academic Journals",2022-08-11
"Biotechnology and Molecular Biology Reviews","https://academicjournals.org/journal/BMBR","Academic Journals",2022-08-11
"Botswana Journal of Economics","https://academicjournals.org/journal/BOJE","Academic Journals",2022-08-11
"Clinical Reviews and Opinions","https://academicjournals.org/journal/CRO","Academic Journals",2022-08-11
"Educational Research and Reviews","https://academicjournals.org/journal/ERR","Academic Journals",2022-08-11
"International Journal of Biodiversity and Conservation","https://academicjournals.org/journal/IJBC","Academic Journals",2022-08-11
"International Journal of Biotechnology and Molecular Biology Research","https://academicjournals.org/journal/IJBMBR","Academic Journals",2022-08-11
"International Journal of Computer Engineering Research","https://academicjournals.org/journal/IJCER","Academic Journals",2022-08-11
"International Journal of Educational Administration and Policy Studies","https://academicjournals.org/journal/IJEAPS","Academic Journals",2022-08-11
"International Journal of English and Literature","https://academicjournals.org/journal/IJEL","Academic Journals",2022-08-11
"International Journal of Fisheries and Aquaculture","https://academicjournals.org/journal/IJFA","Academic Journals",2022-08-11
"International Journal of Genetics and Molecular Biology","https://academicjournals.org/journal/IJGMB","Academic Journals",2022-08-11
"International Journal of Library and Information Science","https://academicjournals.org/journal/IJLIS","Academic Journals",2022-08-11
"International Journal of Livestock Production","https://academicjournals.org/journal/IJLP","Academic Journals",2022-08-11
"International Journal of Medicine and Medical Sciences","https://academicjournals.org/journal/IJMMS","Academic Journals",2022-08-11
"International Journal of Nursing and Midwifery","https://academicjournals.org/journal/IJNM","Academic Journals",2022-08-11
"International Journal of Nutrition and Metabolism","https://academicjournals.org/journal/IJNAM","Academic Journals",2022-08-11
"International Journal of Peace and Development Studies","https://academicjournals.org/journal/IJPDS","Academic Journals",2022-08-11
"International Journal of Physical Sciences","https://academicjournals.org/journal/IJPS","Academic Journals",2022-08-11
"International Journal of Plant Physiology and Biochemistry","https://academicjournals.org/journal/IJPPB","Academic Journals",2022-08-11
"International Journal of Psychology and Counselling","https://academicjournals.org/journal/IJPC","Academic Journals",2022-08-11
"International Journal of Science and Technology Education Research","https://academicjournals.org/journal/IJSTER","Academic Journals",2022-08-11
"International Journal of Sociology and Anthropology","https://academicjournals.org/journal/IJSA","Academic Journals",2022-08-11
"International Journal of Vocational and Technical Education","https://academicjournals.org/journal/IJVTE","Academic Journals",2022-08-11
"International Journal of Water Resources and Environmental Engineering","https://academicjournals.org/journal/IJWREE","Academic Journals",2022-08-11
"International NGO Journal","https://academicjournals.org/journal/INGOJ","Academic Journals",2022-08-11
"ISABB Journal of Biotechnology and Bioinformatics","https://academicjournals.org/journal/ISABB-JBB","Academic Journals",2022-08-11
"ISABB Journal of Food and Agricultural Sciences","https://academicjournals.org/journal/ISABB-JFAS","Academic Journals",2022-08-11
"ISABB Journal of Health and Environmental Sciences","https://academicjournals.org/journal/ISABB-JHE","Academic Journals",2022-08-11
"Journal of Accounting and Taxation","https://academicjournals.org/journal/JAT","Academic Journals",2022-08-11
"Journal of African Studies and Development","https://academicjournals.org/journal/JASD","Academic Journals",2022-08-11
"Journal of Agricultural Biotechnology and Sustainable Development","https://academicjournals.org/journal/JABSD","Academic Journals",2022-08-11
"Journal of Agricultural Extension and Rural Development","https://academicjournals.org/journal/JAERD","Academic Journals",2022-08-11
"Journal of AIDS and HIV Research","https://academicjournals.org/journal/JAHR","Academic Journals",2022-08-11
"Journal of Bioinformatics and Sequence Analysis","https://academicjournals.org/journal/JBSA","Academic Journals",2022-08-11
"Journal of Biophysics and Structural Biology","https://academicjournals.org/journal/JBSB","Academic Journals",2022-08-11
"Journal of Brewing and Distilling","https://academicjournals.org/journal/JBD","Academic Journals",2022-08-11
"Journal of Cancer Research and Experimental Oncology","https://academicjournals.org/journal/JCREO","Academic Journals",2022-08-11
"Journal of Cell and Animal Biology","https://academicjournals.org/journal/JCAB","Academic Journals",2022-08-11
"Journal of Cell Biology and Genetics","https://academicjournals.org/journal/JCBG","Academic Journals",2022-08-11
"Journal of Cereals and Oilseeds","https://academicjournals.org/journal/JCO","Academic Journals",2022-08-11
"Journal of Chemical Engineering and Materials Science","https://academicjournals.org/journal/JCEMS","Academic Journals",2022-08-11
"Journal of Civil Engineering and Construction Technology","https://academicjournals.org/journal/JCECT","Academic Journals",2022-08-11
"Journal of Clinical Immunology and Immunopathology Research","https://academicjournals.org/journal/JCIIR","Academic Journals",2022-08-11
"Journal of Clinical Medicine and Research","https://academicjournals.org/journal/JCMR","Academic Journals",2022-08-11
