"journal","url","publisher","date"
"Journal of Veterinary Science and Animal Husbandry (JVSAH; ISSN:2348-9790)","http://www.annexpublishers.com/journals/journal-of-veterinary-science-animal-husbandry/jhome.php","Annex Publishers",2022-08-11
"Journal of Materials Science and Nanotechnology (JMSN; ISSN:2348-9812)","http://www.annexpublishers.com/journals/journal-of-materials-science-and-nanotechnology/jhome.php","Annex Publishers",2022-08-11
"Journal of Pharmaceutics & Drug Development (JPDD; ISSN:2348-9782)","http://www.annexpublishers.com/journals/journal-of-pharmaceutics-and-drugs-development/jhome.php","Annex Publishers",2022-08-11
"Journal of Forensic Science & Criminology (JFSC; ISSN:2348-9804)","http://www.annexpublishers.com/journals/journal-of-forensic-science-and-criminology/jhome.php","Annex Publishers",2022-08-11
"Journal of Case Reports and Studies (JCRS; ISSN:2348-9820)","http://www.annexpublishers.com/journals/journal-of-case-reports-and-studies/jhome.php","Annex Publishers",2022-08-11
"Journal of Nutrition and Health Sciences (JNH; ISSN:2393-9060)","http://www.annexpublishers.com/journals/journal-of-nutrition-and-health/jhome.php","Annex Publishers",2022-08-11
"Journal of Cancer Science and Clinical Oncology (JCS; ISSN:2394-6520)","http://www.annexpublishers.com/journals/journal-of-cancer-science/jhome.php","Annex Publishers",2022-08-11
"Journal of Proteomics and Genomics (JPG; ISSN:2576-7690)","http://www.annexpublishers.com/journals/journal-of-proteomics-and-genomics/jhome.php","Annex Publishers",2022-08-11
"Journal of Computational Systems Biology (JCSB; ISSN:2455-7625)","http://www.annexpublishers.com/journals/journal-of-computational-systems-biology/jhome.php","Annex Publishers",2022-08-11
"Clinical and Experimental Research in Cardiology (JCERC; ISSN:2394-6504)","http://www.annexpublishers.com/journals/journal-of-clinical-and-experimental-research-in-cardiology/jhome.php","Annex Publishers",2022-08-11
"Journal of Biochemistry and Biophysics (JBB; ISSN:2576-7623)","http://www.annexpublishers.com/journals/journal-of-biochemistry-and-biophysics/jhome.php","Annex Publishers",2022-08-11
"Journal of Immunology and Infectious Diseases (JIID; ISSN:2394-6512)","http://www.annexpublishers.com/journals/journal-of-immunology-and-infectious-diseases/jhome.php","Annex Publishers",2022-08-11
"Journal of Nanoscience & Technology (JNT)","http://www.annexpublishers.com/journals/journal-of-nanoscience-and-technology/jhome.php","Annex Publishers",2022-08-11
