"journal","url","publisher","date"
"Austin Journal of Allergy","https://austinpublishinggroup.comallergy/index.php","Austin Publishing Group",2022-08-11
"Austin Journal of Analytical and Pharmaceutical Chemistry","https://austinpublishinggroup.comanalytical-pharmaceutical-chemistry/","Austin Publishing Group",2022-08-11
"Austin Journal of Anatomy","https://austinpublishinggroup.comanatomy/","Austin Publishing Group",2022-08-11
"Austin Aging Research","https://austinpublishinggroup.comaging-research/","Austin Publishing Group",2022-08-11
"Annals of Agricultural & Crop Sciences","https://austinpublishinggroup.comagriculture-crop-sciences/","Austin Publishing Group",2022-08-11
"Austin Journal of Anesthesia and Analgesia","https://austinpublishinggroup.comanesthesia-analgesia/","Austin Publishing Group",2022-08-11
"Austin Journal of Accounting, Audit and Finance Management","https://austinpublishinggroup.comaccounting-audit-finance-management/","Austin Publishing Group",2022-08-11
"Austin Journal of Aquaculture and Marine Biology","https://austinpublishinggroup.comaquaculture-marine-biology/","Austin Publishing Group",2022-08-11
"Austin Journal of Autism & Related Disabilities","https://austinpublishinggroup.comautism/","Austin Publishing Group",2022-08-11
"Austin Alzheimer's and Parkinson's Disease","https://austinpublishinggroup.comaapd/","Austin Publishing Group",2022-08-11
"Austin Anesthesiology","https://austinpublishinggroup.comaustin-anesthesiology/","Austin Publishing Group",2022-08-11
"Austin Addiction Sciences","https://austinpublishinggroup.comaddiction-sciences/","Austin Publishing Group",2022-08-11
"Austin Arthritis","https://austinpublishinggroup.comarthritis/","Austin Publishing Group",2022-08-11
"Austin Andrology","https://austinpublishinggroup.comandrology/","Austin Publishing Group",2022-08-11
"Austin Anaplastology","https://austinpublishinggroup.comanaplastology/","Austin Publishing Group",2022-08-11
"Austin Journal of Asthma: Open Access","https://austinpublishinggroup.comasthma/","Austin Publishing Group",2022-08-11
"Austin Anthropology","https://austinpublishinggroup.comaustin-anthropology/","Austin Publishing Group",2022-08-11
"Austin Journal of Biomedical Engineering","https://austinpublishinggroup.combiomedical-engineering/","Austin Publishing Group",2022-08-11
"Austin Journal of Bioorganic & Organic Chemistry","https://austinpublishinggroup.combioorganic-organic-chemistry/","Austin Publishing Group",2022-08-11
"Austin Journal of Biosensors & Bioelectronics","https://austinpublishinggroup.combiosensors-bioelectronics/","Austin Publishing Group",2022-08-11
"Austin Journal of Biotechnology & Bioengineering","https://austinpublishinggroup.combiotechnology-bioengineering/","Austin Publishing Group",2022-08-11
"American Journal of Bioterrorism, Biosecurity and Biodefense","https://austinpublishinggroup.combioterrorism-biosecurity-biodefense/","Austin Publishing Group",2022-08-11
"Journal of Bacteriology and Mycology","https://austinpublishinggroup.combacteriology/","Austin Publishing Group",2022-08-11
"Austin Biomarkers & Diagnosis","https://austinpublishinggroup.combiomarkers/","Austin Publishing Group",2022-08-11
"Austin Biometrics and Biostatistics","https://austinpublishinggroup.combiometrics/","Austin Publishing Group",2022-08-11
"Journal of Blood Disorders","https://austinpublishinggroup.comblood-disorders/","Austin Publishing Group",2022-08-11
"Austin Biochemistry","https://austinpublishinggroup.combiochemistry/","Austin Publishing Group",2022-08-11
"Austin Biology","https://austinpublishinggroup.combiology/","Austin Publishing Group",2022-08-11
"Austin Biomolecules: Open Access","https://austinpublishinggroup.combiomolecules/","Austin Publishing Group",2022-08-11
"Austin Journal of Business Administration and Management","https://austinpublishinggroup.combusiness-administration-and-management/","Austin Publishing Group",2022-08-11
"Austin Journal of Cancer and Clinical Research","https://austinpublishinggroup.comcancer-clinical-research/","Austin Publishing Group",2022-08-11
"Austin Journal of Cardiovascular Disease and Atherosclerosis","https://austinpublishinggroup.comcardiovascular-diseases/","Austin Publishing Group",2022-08-11
"Austin Journal of Cerebrovascular Disease & Stroke","https://austinpublishinggroup.comcerebrovascular-disease-stroke/","Austin Publishing Group",2022-08-11
"Austin Chemical Engineering","https://austinpublishinggroup.comchemical-engineering/","Austin Publishing Group",2022-08-11
"Austin Journal of Clinical Cardiology","https://austinpublishinggroup.comclinical-cardiology/","Austin Publishing Group",2022-08-11
"Austin Journal of Clinical Case Reports","https://austinpublishinggroup.comclinical-case-reports/","Austin Publishing Group",2022-08-11
"Austin Journal of Clinical Immunology","https://austinpublishinggroup.comclinical-immunology/","Austin Publishing Group",2022-08-11
"Austin Journal of Clinical Medicine","https://austinpublishinggroup.comclinical-medicine/","Austin Publishing Group",2022-08-11
"Austin Journal of Clinical Neurology","https://austinpublishinggroup.comclinical-neurology/","Austin Publishing Group",2022-08-11
"Austin Clinical Microbiology","https://austinpublishinggroup.comclinical-microbiology/","Austin Publishing Group",2022-08-11
"Austin Journal of Clinical Ophthalmology","https://austinpublishinggroup.comclinical-ophthalmology/","Austin Publishing Group",2022-08-11
"Austin Journal of Clinical Pathology","https://austinpublishinggroup.comclinical-pathology/","Austin Publishing Group",2022-08-11
"Austin Journal of Clinical Trials: Open Access","https://austinpublishinggroup.comclinical-trials/","Austin Publishing Group",2022-08-11
"Austin Journal of Clinical & Diagnostic Research","https://austinpublishinggroup.comclinical-diagnostic-research/","Austin Publishing Group",2022-08-11
"Austin Journal of Computational Biology and Bioinformatics","https://austinpublishinggroup.comcomputational-biology-bioinformatics/","Austin Publishing Group",2022-08-11
"Austin Chromatography","https://austinpublishinggroup.comchromatography/","Austin Publishing Group",2022-08-11
"Journal of Cardiovascular Disorders","https://austinpublishinggroup.comcardiovascular-disorders/","Austin Publishing Group",2022-08-11
"Chronic Diseases - International","https://austinpublishinggroup.comchronic-diseases/","Austin Publishing Group",2022-08-11
"Austin - Critical Care Journal","https://austinpublishinggroup.comcriticalcare/","Austin Publishing Group",2022-08-11
"Austin Critical Care Case Reports","https://austinpublishinggroup.comcritical-care-case-reports/","Austin Publishing Group",2022-08-11
"Austin Cardio & Cardiovascular Case Reports","https://austinpublishinggroup.comcardiovascular-case-reports/","Austin Publishing Group",2022-08-11
"Austin Cell Biology","https://austinpublishinggroup.comcell-biology/","Austin Publishing Group",2022-08-11
"Annals of Carcinogenesis","https://austinpublishinggroup.comcarcinogenesis/","Austin Publishing Group",2022-08-11
"Austin Child & Adolescent Psychiatry","https://austinpublishinggroup.comchild-adolescent-psychiatry/","Austin Publishing Group",2022-08-11
"Journal of Community Medicine & Health care","https://austinpublishinggroup.comcommunity-medicine/","Austin Publishing Group",2022-08-11
"Austin Cardiology","https://austinpublishinggroup.comaustin-cardiology/","Austin Publishing Group",2022-08-11
"Clinics in Oncology Research","https://austinpublishinggroup.comclinics-in-oncology-research/","Austin Publishing Group",2022-08-11
"Austin Journal of Dentistry","https://austinpublishinggroup.comdentistry/","Austin Publishing Group",2022-08-11
"Austin Journal of Dermatology","https://austinpublishinggroup.comdermatology/","Austin Publishing Group",2022-08-11
"Journal of Dental Applications","https://austinpublishinggroup.comdental-applications/","Austin Publishing Group",2022-08-11
"Austin Journal of Drug Abuse and Addiction","https://austinpublishinggroup.comdrug-abuse-addiction/","Austin Publishing Group",2022-08-11
"Annals of Depression and Anxiety","https://austinpublishinggroup.comdepression-anxiety/","Austin Publishing Group",2022-08-11
"Journal of Disease Markers","https://austinpublishinggroup.comdisease-markers/","Austin Publishing Group",2022-08-11
"Journal of Drug Discovery, Development and Delivery","https://austinpublishinggroup.comdrug-development/","Austin Publishing Group",2022-08-11
"Journal of Dentistry & Oral Disorders","https://austinpublishinggroup.comdental-disorders/","Austin Publishing Group",2022-08-11
"Austin Dental Sciences","https://austinpublishinggroup.comaustin-dental-sciences/","Austin Publishing Group",2022-08-11
"Austin Diabetes Research","https://austinpublishinggroup.comdiabetes-research/","Austin Publishing Group",2022-08-11
"Austin Digestive System","https://austinpublishinggroup.comdigestive-system/","Austin Publishing Group",2022-08-11
"Austin Journal of Earth Science","https://austinpublishinggroup.comearth-science/","Austin Publishing Group",2022-08-11
"Austin Journal of Emergency and Critical Care Medicine","https://austinpublishinggroup.comemergency-critical-care-medicine/","Austin Publishing Group",2022-08-11
