"journal","url","publisher","date"
"Adolescent Psychiatry","https://benthamscience.com/journals","Bentham",2022-08-11
"Anti-Cancer Agents in Medicinal Chemistry","https://benthamscience.com/journals","Bentham",2022-08-11
"Anti-Infective Agents","https://benthamscience.com/journals","Bentham",2022-08-11
"Anti-Infective Agents in Medicinal Chemistry","https://benthamscience.com/journals","Bentham",2022-08-11
"Anti-Inflammatory & Anti-Allergy Agents in Medicinal Chemistry","https://benthamscience.com/journals","Bentham",2022-08-11
"Applied Clinical Research, Clinical Trials and Regulatory Affairs","https://benthamscience.com/journals","Bentham",2022-08-11
"Applied Drug Research, Clinical Trials and Regulatory Affairs","https://benthamscience.com/journals","Bentham",2022-08-11
"The Chinese Journal of Artificial Intelligence","https://benthamscience.com/journals","Bentham",2022-08-11
"Cardiovascular & Hematological Agents in Medicinal Chemistry","https://benthamscience.com/journals","Bentham",2022-08-11
"Cardiovascular & Hematological Disorders-Drug Targets","https://benthamscience.com/journals","Bentham",2022-08-11
"Central Nervous System Agents in Medicinal Chemistry","https://benthamscience.com/journals","Bentham",2022-08-11
"Clinical Anti-Inflammatory & Anti-Allergy Drugs (Discontinued)","https://benthamscience.com/journals","Bentham",2022-08-11
"Clinical Cancer Drugs (Discontinued)","https://benthamscience.com/journals","Bentham",2022-08-11
"CNS & Neurological Disorders - Drug Targets","https://benthamscience.com/journals","Bentham",2022-08-11
"Combinatorial Chemistry & High Throughput Screening","https://benthamscience.com/journals","Bentham",2022-08-11
"Coronaviruses","https://benthamscience.com/journals","Bentham",2022-08-11
"Current Angiogenesis (Discontinued)","https://benthamscience.com/journals","Bentham",2022-08-11
"Current Alternative Energy","https://benthamscience.com/journals","Bentham",2022-08-11
"Current Applied Materials","https://benthamscience.com/journals","Bentham",2022-08-11
"Current Aging Science","https://benthamscience.com/journals","Bentham",2022-08-11
"Current Advances in Stroke Research","https://benthamscience.com/journals","Bentham",2022-08-11
"Current Alzheimer Research","https://benthamscience.com/journals","Bentham",2022-08-11
"Current Analytical Chemistry","https://benthamscience.com/journals","Bentham",2022-08-11
"Current Applied Polymer Science","https://benthamscience.com/journals","Bentham",2022-08-11
"Current Bioactive Compounds","https://benthamscience.com/journals","Bentham",2022-08-11
"Current Biomarkers in Clinical Research","https://benthamscience.com/journals","Bentham",2022-08-11
"Current Biochemical Engineering (Discontinued)","https://benthamscience.com/journals","Bentham",2022-08-11
"Current Biomarkers (Discontinued)","https://benthamscience.com/journals","Bentham",2022-08-11
"Current Bionanotechnology (Discontinued)","https://benthamscience.com/journals","Bentham",2022-08-11
"Current Biotechnology","https://benthamscience.com/journals","Bentham",2022-08-11
"Current Bioinformatics","https://benthamscience.com/journals","Bentham",2022-08-11
"Current Cancer Drug Targets","https://benthamscience.com/journals","Bentham",2022-08-11
"Current Cancer Therapy Reviews","https://benthamscience.com/journals","Bentham",2022-08-11
"Current Cardiology Reviews","https://benthamscience.com/journals","Bentham",2022-08-11
"Current Catalysis","https://benthamscience.com/journals","Bentham",2022-08-11
"Current Chemical Biology","https://benthamscience.com/journals","Bentham",2022-08-11
"Current Chinese Chemistry","https://benthamscience.com/journals","Bentham",2022-08-11
"Current Chinese Computer Science","https://benthamscience.com/journals","Bentham",2022-08-11
"Current Chinese Science","https://benthamscience.com/journals","Bentham",2022-08-11
"Current Chinese Engineering Science","https://benthamscience.com/journals","Bentham",2022-08-11
"Current Chromatography","https://benthamscience.com/journals","Bentham",2022-08-11
"Current Clinical Pharmacology","https://benthamscience.com/journals","Bentham",2022-08-11
"Current Computer-Aided Drug Design","https://benthamscience.com/journals","Bentham",2022-08-11
"Current Cosmetic Science","https://benthamscience.com/journals","Bentham",2022-08-11
"Current Dentistry","https://benthamscience.com/journals","Bentham",2022-08-11
"Current Diabetes Reviews","https://benthamscience.com/journals","Bentham",2022-08-11
"Current Drug Abuse Reviews","https://benthamscience.com/journals","Bentham",2022-08-11
"Current Drug Delivery","https://benthamscience.com/journals","Bentham",2022-08-11
"Current Drug Discovery Technologies","https://benthamscience.com/journals","Bentham",2022-08-11
"Current Drug Metabolism","https://benthamscience.com/journals","Bentham",2022-08-11
"Current Drug Research Reviews","https://benthamscience.com/journals","Bentham",2022-08-11
"Current Drug Safety","https://benthamscience.com/journals","Bentham",2022-08-11
"Current Drug Targets","https://benthamscience.com/journals","Bentham",2022-08-11
"Current Drug Targets - Cardiovascular & Hematological Disorders","https://benthamscience.com/journals","Bentham",2022-08-11
"Current Drug Targets - Immune, Endocrine & Metabolic Disorders","https://benthamscience.com/journals","Bentham",2022-08-11
"Current Drug Targets - Infectious Disorders","https://benthamscience.com/journals","Bentham",2022-08-11
"Current Drug Targets - Inflammation & Allergy","https://benthamscience.com/journals","Bentham",2022-08-11
"Current Drug Targets - CNS & Neurological Disorders","https://benthamscience.com/journals","Bentham",2022-08-11
"Current Drug Therapy","https://benthamscience.com/journals","Bentham",2022-08-11
"Current Enzyme Inhibition","https://benthamscience.com/journals","Bentham",2022-08-11
"Current Engineering Letters","https://benthamscience.com/journals","Bentham",2022-08-11
"Current Environmental Engineering","https://benthamscience.com/journals","Bentham",2022-08-11
"Current Environmental Management (Discontinued)","https://benthamscience.com/journals","Bentham",2022-08-11
"Current Functional Foods","https://benthamscience.com/journals","Bentham",2022-08-11
"Current Forensic Science","https://benthamscience.com/journals","Bentham",2022-08-11
"Current Graphene Science (Discontinued)","https://benthamscience.com/journals","Bentham",2022-08-11
"Current Gene Therapy","https://benthamscience.com/journals","Bentham",2022-08-11
"Current Genomics","https://benthamscience.com/journals","Bentham",2022-08-11
"Current Green Chemistry","https://benthamscience.com/journals","Bentham",2022-08-11
"Current HIV Research","https://benthamscience.com/journals","Bentham",2022-08-11
"Current Hypertension Reviews","https://benthamscience.com/journals","Bentham",2022-08-11
"Clinical Immunology, Endocrine & Metabolic Drugs (Discontinued)","https://benthamscience.com/journals","Bentham",2022-08-11
"Current Immunology Reviews (Discontinued)","https://benthamscience.com/journals","Bentham",2022-08-11
"Current Inorganic Chemistry (Discontinued)","https://benthamscience.com/journals","Bentham",2022-08-11
"Current Indian Sciences","https://benthamscience.com/journals","Bentham",2022-08-11
"Current Mechanics and Advanced Materials","https://benthamscience.com/journals","Bentham",2022-08-11
"Current Medical Imaging","https://benthamscience.com/journals","Bentham",2022-08-11
"Current Medicinal Chemistry","https://benthamscience.com/journals","Bentham",2022-08-11
"Current Medicinal Chemistry - Anti-Cancer Agents","https://benthamscience.com/journals","Bentham",2022-08-11
"Current Medicinal Chemistry - Anti-Infective Agents","https://benthamscience.com/journals","Bentham",2022-08-11
"Current Medicinal Chemistry - Anti-Inflammatory and Anti-Allergy Agents","https://benthamscience.com/journals","Bentham",2022-08-11
"Current Medicinal Chemistry - Cardiovascular & Hematological Agents","https://benthamscience.com/journals","Bentham",2022-08-11
"Current Medicinal Chemistry - Central Nervous System Agents","https://benthamscience.com/journals","Bentham",2022-08-11
"Current Medicinal Chemistry - Immunology, Endocrine and Metabolic Agents","https://benthamscience.com/journals","Bentham",2022-08-11
"Current Metabolomics (Discontinued)","https://benthamscience.com/journals","Bentham",2022-08-11
"Current Metabolomics and Systems Biology (Discontinued)","https://benthamscience.com/journals","Bentham",2022-08-11
"Current Microwave Chemistry","https://benthamscience.com/journals","Bentham",2022-08-11
"Current Molecular Imaging (Discontinued)","https://benthamscience.com/journals","Bentham",2022-08-11
"Current Molecular Medicine","https://benthamscience.com/journals","Bentham",2022-08-11
"Current Molecular Pharmacology","https://benthamscience.com/journals","Bentham",2022-08-11
"Current Materials Science","https://benthamscience.com/journals","Bentham",2022-08-11
"Current Nanoscience","https://benthamscience.com/journals","Bentham",2022-08-11
"Current Nanomedicine","https://benthamscience.com/journals","Bentham",2022-08-11
