"journal","url","publisher","date"
"Advances in Communication and Swallowing","https://www.iospress.com/catalog/journals/advances-in-communication-and-swallowing","IOS Press",2022-08-11
"AI Communications","https://www.iospress.com/catalog/journals/ai-communications","IOS Press",2022-08-11
"Algorithmic Finance","https://www.iospress.com/catalog/journals/algorithmic-finance","IOS Press",2022-08-11
"Applied Ontology","https://www.iospress.com/catalog/journals/applied-ontology","IOS Press",2022-08-11
"Argument & Computation","https://www.iospress.com/catalog/journals/argument-computation","IOS Press",2022-08-11
"Asian Journal of Water, Environment and Pollution","https://www.iospress.com/catalog/journals/asian-journal-of-water-environment-and-pollution","IOS Press",2022-08-11
"Asymptotic Analysis","https://www.iospress.com/catalog/journals/asymptotic-analysis","IOS Press",2022-08-11
"Bio-Medical Materials and Engineering","https://www.iospress.com/catalog/journals/bio-medical-materials-and-engineering","IOS Press",2022-08-11
"Biomedical Spectroscopy and Imaging","https://www.iospress.com/catalog/journals/biomedical-spectroscopy-and-imaging","IOS Press",2022-08-11
"Biorheology","https://www.iospress.com/catalog/journals/biorheology","IOS Press",2022-08-11
"Bladder Cancer","https://www.iospress.com/catalog/journals/bladder-cancer","IOS Press",2022-08-11
"Brain Plasticity","https://www.iospress.com/catalog/journals/brain-plasticity","IOS Press",2022-08-11
"Breast Disease","https://www.iospress.com/catalog/journals/breast-disease","IOS Press",2022-08-11
"Bridge Structures","https://www.iospress.com/catalog/journals/bridge-structures","IOS Press",2022-08-11
"Cancer Biomarkers","https://www.iospress.com/catalog/journals/cancer-biomarkers","IOS Press",2022-08-11
"Clinical Hemorheology and Microcirculation","https://www.iospress.com/catalog/journals/clinical-hemorheology-and-microcirculation","IOS Press",2022-08-11
"Computability","https://www.iospress.com/catalog/journals/computability","IOS Press",2022-08-11
"Data Science","https://www.iospress.com/catalog/journals/data-science","IOS Press",2022-08-11
"Education for Information","https://www.iospress.com/catalog/journals/education-for-information","IOS Press",2022-08-11
"Environmental Policy and Law","https://www.iospress.com/catalog/journals/environmental-policy-and-law","IOS Press",2022-08-11
"Fundamenta Informaticae","https://www.iospress.com/catalog/journals/fundamenta-informaticae","IOS Press",2022-08-11
"Human Antibodies","https://www.iospress.com/catalog/journals/human-antibodies","IOS Press",2022-08-11
"Human Systems Management","https://www.iospress.com/catalog/journals/human-systems-management","IOS Press",2022-08-11
"ICGA Journal","https://www.iospress.com/catalog/journals/icga-journal","IOS Press",2022-08-11
"In Silico Biology","https://www.iospress.com/catalog/journals/in-silico-biology","IOS Press",2022-08-11
"Informatica","https://www.iospress.com/catalog/journals/informatica","IOS Press",2022-08-11
"Information Polity","https://www.iospress.com/catalog/journals/information-polity","IOS Press",2022-08-11
