journal,url,issn,publisher,date
Acute and Chronic Disease Reports,https://www.longdom.org/acute-chronic-disease-reports.html,NA,Longdom,2022-08-15
Advancements in Genetic Engineering,https://www.longdom.org/advancements-in-genetic-engineering.html,NA,Longdom,2022-08-15
Advances in Automobile Engineering,https://www.longdom.org/advances-in-automobile-engineering.html,NA,Longdom,2022-08-15
Advances in dairy Research,https://www.longdom.org/advances-dairy-research.html,NA,Longdom,2022-08-15
Advances in Rare Diseases,https://www.longdom.org/advances-rare-diseases.html,NA,Longdom,2022-08-15
Journal of Aeronautics & Aerospace Engineering,https://www.longdom.org/aeronautics-aerospace-engineering.html,NA,Longdom,2022-08-15
Journal of Agricultural Science and Food Research,https://www.longdom.org/agricultural-science-food-research.html,NA,Longdom,2022-08-15
Journal of Alcoholism & Drug Dependence,https://www.longdom.org/alcoholism-and-drug-dependence.html,NA,Longdom,2022-08-15
Anatomy & Physiology: Current Research,https://www.longdom.org/anatomy-physiology.html,NA,Longdom,2022-08-15
Andrology-Open Access,https://www.longdom.org/andrology-open-access.html,NA,Longdom,2022-08-15
Angiology: Open Access,https://www.longdom.org/angiology.html,NA,Longdom,2022-08-15
Annals and Essences of Dentistry,https://www.longdom.org/annals-essences-dentistry.html,NA,Longdom,2022-08-15
Journal of Antivirals & Antiretrovirals,https://www.longdom.org/antivirals-antiretrovirals.html,NA,Longdom,2022-08-15
Journal of Applied Pharmacy,https://www.longdom.org/applied-pharmacy.html,NA,Longdom,2022-08-15
Biochemistry & Pharmacology: Open Access,https://www.longdom.org/biochemistry-pharmacology-open-access.html,NA,Longdom,2022-08-15
Biologia Moderna,https://www.longdom.org/biologia-moderna.html,NA,Longdom,2022-08-15
Journal of Biomedical Engineering and Medical Devices,https://www.longdom.org/biomedical-engineering-medical-devices.html,NA,Longdom,2022-08-15
Bipolar Disorder: Open Access,https://www.longdom.org/bipolar-disorder.html,NA,Longdom,2022-08-15
Journal of Bone Research,https://www.longdom.org/bone-marrow-research.html,NA,Longdom,2022-08-15
Journal of Cancer Research and Immuno-Oncology,https://www.longdom.org/cancer-research-immuno-oncology.html,NA,Longdom,2022-08-15
Journal of Cancer Science and Research,https://www.longdom.org/journal-cancer-science-and-research.html,NA,Longdom,2022-08-15
Cell & Developmental Biology,https://www.longdom.org/cell-developmental-biology.html,NA,Longdom,2022-08-15
Journal of Cell Science & Therapy,https://www.longdom.org/cell-science-therapy.html,NA,Longdom,2022-08-15
Journal of Cell Signaling,https://www.longdom.org/cell-signaling.html,NA,Longdom,2022-08-15
Journal of Chemical Engineering & Process Technology,https://www.longdom.org/chemical-engineering-process-technology.html,NA,Longdom,2022-08-15
Chemotherapy: Open Access,https://www.longdom.org/chemotherapy-open-access.html,NA,Longdom,2022-08-15
Journal of Clinical & Experimental Dermatology Research,https://www.longdom.org/clinical-experimental-dermatology-research.html,NA,Longdom,2022-08-15
Journal of Clinical Microbiology and Antimicrobials,https://www.longdom.org/journal-clinical-microbiology-antimicrobials.html,NA,Longdom,2022-08-15
Clinical Pediatrics: Open Access,https://www.longdom.org/clinical-pediatrics.html,NA,Longdom,2022-08-15
Cloning & Transgenesis,https://www.longdom.org/cloning-transgenesis.html,NA,Longdom,2022-08-15
"Journal of Communication Disorders, Deaf Studies & Hearing Aids",https://www.longdom.org/deaf-studies-hearing-aids.html,NA,Longdom,2022-08-15
Current Synthetic and Systems Biology,https://www.longdom.org/current-synthetic-and-systems-biology.html,NA,Longdom,2022-08-15
Journal of Defense Management,https://www.longdom.org/defense-management.html,NA,Longdom,2022-08-15
Journal of Depression and Anxiety,https://www.longdom.org/depression-and-anxiety.html,NA,Longdom,2022-08-15
Journal of Developing Drugs,https://www.longdom.org/developing-drugs.html,NA,Longdom,2022-08-15
Journal of Down Syndrome & Chromosome Abnormalities,https://www.longdom.org/down-syndrome.html,NA,Longdom,2022-08-15
Drug Designing: Open Access,https://www.longdom.org/drug-designing.html,NA,Longdom,2022-08-15
Journal of Drug Metabolism & Toxicology,https://www.longdom.org/drug-metabolism-toxicology.html,NA,Longdom,2022-08-15
Endocrinology & Metabolic Syndrome,https://www.longdom.org/endocrinology-metabolic-syndrome.html,NA,Longdom,2022-08-15
"Entomology, Ornithology & Herpetology: Current Research",https://www.longdom.org/entomology-ornithology-herpetology.html,NA,Longdom,2022-08-15
Enzyme Engineering,https://www.longdom.org/enzyme-engineering.html,NA,Longdom,2022-08-15
Epigenetics Research: Open Access,https://www.longdom.org/epigenetics-research-open-access.html,NA,Longdom,2022-08-15
Journal of Ergonomics,https://www.longdom.org/ergonomics.html,NA,Longdom,2022-08-15
Family Medicine & Medical Science Research,https://www.longdom.org/family-medicine-medical-science-research.html,NA,Longdom,2022-08-15
"Journal of Fertilization: In Vitro - IVF-Worldwide, Reproductive Medicine, Genetics & Stem Cell Biol",https://www.longdom.org/fertilization-in-vitro.html,NA,Longdom,2022-08-15
"Journal of Food: Microbiology, Safety & Hygiene",https://www.longdom.org/foodmicrobiology-safety-hygiene.html,NA,Longdom,2022-08-15
Forest Research: Open Access,https://www.longdom.org/forest-research-open-access.html,NA,Longdom,2022-08-15
Fungal Genomics & Biology,https://www.longdom.org/fungal-genomics-biology.html,NA,Longdom,2022-08-15
Journal of Genetic Syndromes & Gene Therapy,https://www.longdom.org/genetic-syndromes-gene-therapy.html,NA,Longdom,2022-08-15
Journal of Geography & Natural Disasters,https://www.longdom.org/geography-natural-disasters.html,NA,Longdom,2022-08-15
Journal of Geology & Geophysics,https://www.longdom.org/geology-geosciences.html,NA,Longdom,2022-08-15
Global Journal of Commerce & Management Perspective,https://www.longdom.org/global-journal-commerce-management-perspective.html,NA,Longdom,2022-08-15
"Global Journal of Engineering, Design & Technology",https://www.longdom.org/global-journal-engineering-design-technology.html,NA,Longdom,2022-08-15
Global Journal of Life Sciences and Biological Research,https://www.longdom.org/global-journal-life-sciences-biological-research.html,NA,Longdom,2022-08-15
Global Research Journal of Science and Nature,https://www.longdom.org/global-research-journal-science-nature.html,NA,Longdom,2022-08-15
Journal of Glycobiology,https://www.longdom.org/glycobiology.html,NA,Longdom,2022-08-15
Journal of Glycomics & Lipidomics,https://www.longdom.org/glycomics-lipidomics.html,NA,Longdom,2022-08-15
Healthy Aging Research,https://www.longdom.org/healthy-aging-research.html,NA,Longdom,2022-08-15
Journal of Hematology & Thromboembolic Diseases,https://www.longdom.org/haematology-thromboembolic-diseases.html,NA,Longdom,2022-08-15
Journal of Hepatology and Gastrointestinal disorders,https://www.longdom.org/hepatology-gastrointestinal-disorders.html,NA,Longdom,2022-08-15
HIV: Current Research,https://www.longdom.org/hiv-current-research.html,NA,Longdom,2022-08-15
Journal of Horticulture,https://www.longdom.org/horticulture.html,NA,Longdom,2022-08-15
