journal,url,issn,publisher,date
Aeronautics and Aerospace Open Access Journal (AAOAJ),https://medcraveonline.com/AAOAJ,2576-4500,Medcrave,2022-08-12
Advances in Cytology & Pathology (ACP),https://medcraveonline.com/ACP,2573-2862,Medcrave,2022-08-12
Arts & Humanities Open Access Journal (AHOAJ),https://medcraveonline.com/AHOAJ,2577-8250,Medcrave,2022-08-12
Advances in Ophthalmology & Visual System (AOVS),https://medcraveonline.com/AOVS,2377-4290,Medcrave,2022-08-12
"Advances in Obesity, Weight Management & Control (AOWMC)",https://medcraveonline.com/AOWMC,2378-3168,Medcrave,2022-08-12
Advances in Plants & Agriculture Research (APAR),https://medcraveonline.com/APAR,2373-6402,Medcrave,2022-08-12
Advances in Tissue Engineering & Regenerative Medicine: Open Access (ATROA),https://medcraveonline.com/ATROA,2572-8490,Medcrave,2022-08-12
Biometrics & Biostatistics International Journal (BBIJ),https://medcraveonline.com/BBIJ,2378-315X,Medcrave,2022-08-12
Biodiversity International Journal (BIJ),https://medcraveonline.com/BIJ,2575-906X,Medcrave,2022-08-12
Electrical & Electronic Technology Open Access Journal (EETOAJ),https://medcraveonline.com/EETOAJ,2641-936X,Medcrave,2022-08-12
Endocrinology & Metabolism International Journal (EMIJ),https://medcraveonline.com/EMIJ,2473-0815,Medcrave,2022-08-12
Fluid Mechanics Research International Journal (FMRIJ),https://medcraveonline.com/FMRIJ,2577-8242,Medcrave,2022-08-12
Forensic Research & Criminology International Journal (FRCIJ),https://medcraveonline.com/FRCIJ,2469-2794,Medcrave,2022-08-12
Forestry Research and Engineering: International Journal (FREIJ),https://medcraveonline.com/FREIJ,2577-8307,Medcrave,2022-08-12
Gastroenterology & Hepatology: Open Access (GHOA),https://medcraveonline.com/GHOA,2373-6372,Medcrave,2022-08-12
Horticulture International Journal (HIJ),https://medcraveonline.com/HIJ,2576-4462,Medcrave,2022-08-12
Hospice & Palliative Medicine International Journal (HPMIJ),https://medcraveonline.com/HPMIJ,2576-4497,Medcrave,2022-08-12
Hematology & Transfusion International Journal (HTIJ),https://medcraveonline.com/HTIJ,2469-2778,Medcrave,2022-08-12
International Clinical Pathology Journal (ICPJL),https://medcraveonline.com/ICPJL,2471-0016,Medcrave,2022-08-12
International Journal of Avian & Wildlife Biology (IJAWB),https://medcraveonline.com/IJAWB,2574-9862,Medcrave,2022-08-12
International Journal of Biosensors & Bioelectronics (IJBSBE),https://medcraveonline.com/IJBSBE,2573-2838,Medcrave,2022-08-12
International Journal of Complementary & Alternative Medicine (IJCAM),https://medcraveonline.com/IJCAM,2381-1803,Medcrave,2022-08-12
International Journal of Family & Community Medicine (IJFCM),https://medcraveonline.com/IJFCM,2577-8269,Medcrave,2022-08-12
International Journal of Hydrology (IJH),https://medcraveonline.com/IJH,2576-4454,Medcrave,2022-08-12
International Journal of Molecular Biology: Open Access (IJMBOA),https://medcraveonline.com/IJMBOA,2573-2889,Medcrave,2022-08-12
International Journal of Radiology & Radiation Therapy (IJRRT),https://medcraveonline.com/IJRRT,2574-8084,Medcrave,2022-08-12
International Journal of Vaccines & Vaccination (IJVV),https://medcraveonline.com/IJVV,2470-9980,Medcrave,2022-08-12
International Journal of Pregnancy & Child Birth (IPCB),https://medcraveonline.com/IPCB,2574-9889,Medcrave,2022-08-12
International Journal of Petrochemical Science & Engineering (IPCSE),https://medcraveonline.com/IPCSE,2475-5559,Medcrave,2022-08-12
International Physical Medicine & Rehabilitation Journal (IPMRJ),https://medcraveonline.com/IPMRJ,2574-9838,Medcrave,2022-08-12
International Robotics & Automation Journal (IRATJ),https://medcraveonline.com/IRATJ,2574-8092,Medcrave,2022-08-12
Journal of Applied Biotechnology & Bioengineering (JABB),https://medcraveonline.com/JABB,2572-8466,Medcrave,2022-08-12
Journal of Anesthesia & Critical Care: Open Access (JACCOA),https://medcraveonline.com/JACCOA,2373-6437,Medcrave,2022-08-12
Journal of Aquaculture & Marine Biology (JAMB),https://medcraveonline.com/JAMB,2378-3184,Medcrave,2022-08-12
Journal of Analytical & Pharmaceutical Research (JAPLR),https://medcraveonline.com/JAPLR,2473-0831,Medcrave,2022-08-12
