"journal","url","publisher","date"
"Journal of Ecology & Natural Resources","https://medwinpublishers.comJENR","Medwin Publishers LLC",2022-08-11
"Diabetes & Obesity International Journal","https://medwinpublishers.comDOIJ","Medwin Publishers LLC",2022-08-11
"Psychology & Psychological Research International Journal","https://medwinpublishers.comPPRIJ","Medwin Publishers LLC",2022-08-11
"Open Access Journal of Dental Sciences","https://medwinpublishers.comOAJDS","Medwin Publishers LLC",2022-08-11
"Advances in Pharmacology & Clinical Trials","https://medwinpublishers.comAPCT","Medwin Publishers LLC",2022-08-11
"Open Access Journal of Veterinary Science & Research","https://medwinpublishers.comOAJVSR","Medwin Publishers LLC",2022-08-11
"Clinical Dermatology Open Access Journal","https://medwinpublishers.comCDOAJ","Medwin Publishers LLC",2022-08-11
"Open Access Journal of Urology & Nephrology","https://medwinpublishers.comOAJUN","Medwin Publishers LLC",2022-08-11
"Open Access Journal of Gynecology","https://medwinpublishers.comOAJG","Medwin Publishers LLC",2022-08-11
"Virology & Immunology Journal","https://medwinpublishers.comVIJ","Medwin Publishers LLC",2022-08-11
"International Journal of Pharmacognosy & Chinese Medicine","https://medwinpublishers.comIPCM","Medwin Publishers LLC",2022-08-11
"Ergonomics International Journal","https://medwinpublishers.comEOIJ","Medwin Publishers LLC",2022-08-11
"Open Access Journal of Ophthalmology","https://medwinpublishers.comOAJO","Medwin Publishers LLC",2022-08-11
"Advances in Clinical Toxicology","https://medwinpublishers.comACT","Medwin Publishers LLC",2022-08-11
"Petroleum & Petrochemical Engineering Journal","https://medwinpublishers.comPPEJ","Medwin Publishers LLC",2022-08-11
"Otolaryngology Open Access Journal","https://medwinpublishers.comOOAJ","Medwin Publishers LLC",2022-08-11
"Nursing & Healthcare International Journal","https://medwinpublishers.comNHIJ","Medwin Publishers LLC",2022-08-11
"Journal of Natural & Ayurvedic Medicine","https://medwinpublishers.comJONAM","Medwin Publishers LLC",2022-08-11
"Food Science & Nutrition Technology","https://medwinpublishers.comFSNT","Medwin Publishers LLC",2022-08-11
"Journal of Orthopedics & Bone Disorders","https://medwinpublishers.comJOBD","Medwin Publishers LLC",2022-08-11
"International Journal of Zoology and Animal Biology","https://medwinpublishers.comIZAB","Medwin Publishers LLC",2022-08-11
"International Journal of Forensic Sciences","https://medwinpublishers.comIJFSC","Medwin Publishers LLC",2022-08-11
"Open Access Journal of Microbiology & Biotechnology","https://medwinpublishers.comOAJMB","Medwin Publishers LLC",2022-08-11
"Nanomedicine & Nanotechnology Open Access","https://medwinpublishers.comNNOA","Medwin Publishers LLC",2022-08-11
"Medical Journal of Clinical Trials & Case Studies","https://medwinpublishers.comMJCCS","Medwin Publishers LLC",2022-08-11
"Journal of Quality in Health Care & Economics","https://medwinpublishers.comJQHE","Medwin Publishers LLC",2022-08-11
"Open Access Journal of Pharmaceutical Research","https://medwinpublishers.comOAJPR","Medwin Publishers LLC",2022-08-11
"International Journal of Oceanography & Aquaculture","https://medwinpublishers.comIJOAC","Medwin Publishers LLC",2022-08-11
"Annals of Physiotherapy & Occupational Therapy","https://medwinpublishers.comAPhOT","Medwin Publishers LLC",2022-08-11
"Clinical Radiology & Imaging Journal","https://medwinpublishers.comCRIJ","Medwin Publishers LLC",2022-08-11
"International Journal of Surgery & Surgical Techniques","https://medwinpublishers.comIJSST","Medwin Publishers LLC",2022-08-11
"Annals of Advanced Biomedical Sciences","https://medwinpublishers.comAABSc","Medwin Publishers LLC",2022-08-11
"Philosophy International Journal","https://medwinpublishers.comPhIJ","Medwin Publishers LLC",2022-08-11
"Addiction & Drug Abuse Open Access Journal","https://medwinpublishers.comADOAJ","Medwin Publishers LLC",2022-08-11
"Alzheimer's Research & Therapy Open Access","https://medwinpublishers.comARTOA","Medwin Publishers LLC",2022-08-11
"Anaesthesia & Critical Care Medicine Journal","https://medwinpublishers.comACCMJ","Medwin Publishers LLC",2022-08-11
