"journal","url","publisher","date"
"Advanced Materials Science Research","NAhttps://www.openaccessjournals.com/journals/advanced-materials-science-research.html","Open Access Journals",2022-08-11
"African Journal of Diabetes medicine","NAhttps://www.openaccessjournals.com/journals/african-journal-of-diabetes-medicine.html","Open Access Journals",2022-08-11
"African Journal of Respiratory Medicine","NAhttps://www.openaccessjournals.com/journals/african-journal-of-respiratory-medicine.html","Open Access Journals",2022-08-11
"American Journal of Physiology, Biochemistry and Pharmacology","NAhttps://www.ajpbp.com/","Open Access Journals",2022-08-11
"American Journal of Preventive Medicine and Public Health","NAhttps://www.ajpmph.com/","Open Access Journals",2022-08-11
"Annals of Clinical Trials and Vaccines Research","NAhttps://www.openaccessjournals.com/journals/annals-clinical-trials-vaccines-research.html","Open Access Journals",2022-08-11
"Annals of Experimental Biology","NAhttps://www.scholarsresearchlibrary.com/journals/annals-of-experimental-biology/","Open Access Journals",2022-08-11
"Archives of Applied Science Research","NAhttps://www.scholarsresearchlibrary.com/journals/archives-of-applied-science-research/","Open Access Journals",2022-08-11
"Archives of Clinical and Experimental Surgery","NAhttps://www.ejmaces.com/","Open Access Journals",2022-08-11
"Archives of Nursing and Care","NAhttps://www.openaccessjournals.com/journals/archives-nursing-care.html","Open Access Journals",2022-08-11
"Biomedical Research","NAhttps://www.biomedres.info/","Open Access Journals",2022-08-11
"Central European Journal of Experimental Biology","NAhttps://www.scholarsresearchlibrary.com/journals/central-european-journal-of-experimental-biology/","Open Access Journals",2022-08-11
"Clinical Investigation","NAhttps://www.openaccessjournals.com/journals/clinical-investigation.html","Open Access Journals",2022-08-11
"Clinical Practice","NAhttps://www.openaccessjournals.com/journals/clinical-practice.html","Open Access Journals",2022-08-11
"Clinical Schizophrenia & Related Psychoses","NAhttps://www.clinicalschizophrenia.net/","Open Access Journals",2022-08-11
"Current Pediatric Research","NAhttps://www.alliedacademies.org/current-pediatrics/","Open Access Journals",2022-08-11
"Der Pharmacia Lettre","NAhttps://www.scholarsresearchlibrary.com/journals/der-pharmacia-lettre/","Open Access Journals",2022-08-11
"Diabetes Management","NAhttps://www.openaccessjournals.com/journals/diabetes-management.html","Open Access Journals",2022-08-11
"Educational Research","NAhttps://www.interesjournals.org/educational-research.html","Open Access Journals",2022-08-11
"European Journal of Applied Engineering and Scientific Research","NAhttps://www.scholarsresearchlibrary.com/journals/european-journal-of-applied-engineering-and-scientific-research/","Open Access Journals",2022-08-11
"European Journal of Sports & Exercise Science","NAhttps://www.scholarsresearchlibrary.com/journals/european-journal-of-sports-exercise-science/","Open Access Journals",2022-08-11
"European Journal of Zoological Research","NAhttps://www.scholarsresearchlibrary.com/journals/european-journal-of-zoological-research/","Open Access Journals",2022-08-11
"Health Science Journal","NAhttps://www.hsj.gr/","Open Access Journals",2022-08-11
"Imaging in Medicine","NAhttps://www.openaccessjournals.com/journals/imaging-in-medicine.html","Open Access Journals",2022-08-11
"International Journal of Clinical & Medical Images","NAhttps://www.imagejournals.org/","Open Access Journals",2022-08-11
"International Journal of Clinical Rheumatology","NAhttps://www.openaccessjournals.com/journals/clinical-rheumatology.html","Open Access Journals",2022-08-11
"International Journal of Medical Research & Health Sciences","NAhttps://www.ijmrhs.com/","Open Access Journals",2022-08-11
"International Journal of Pharmacy","NAhttps://www.pharmascholars.com/","Open Access Journals",2022-08-11
"International Research Journal of Agricultural Science and Soil Science","NAhttps://www.interesjournals.org/agricultural-science-soil-science.html","Open Access Journals",2022-08-11
"International Research Journal of Arts and Social Sciences","NAhttps://www.interesjournals.org/arts-social-sciences.html","Open Access Journals",2022-08-11
"International Research Journal of Basic and Clinical Studies","NAhttps://www.interesjournals.org/basic-clinical-studies.html","Open Access Journals",2022-08-11
"International Research Journal of Biochemistry and Bioinformatics","NAhttps://www.interesjournals.org/biochemistry-bioinformatics.html","Open Access Journals",2022-08-11
"International Research Journal of Biotechnology","NAhttps://www.interesjournals.org/biotechnology.html","Open Access Journals",2022-08-11
"International Research Journal of Engineering Science, Technology and Innovation","NAhttps://www.interesjournals.org/engineering-science-technology-innovation.html","Open Access Journals",2022-08-11
"International Research Journal of Geology and Mining","NAhttps://www.interesjournals.org/geology-mining.html","Open Access Journals",2022-08-11
"International Research Journal of Microbiology","NAhttps://www.interesjournals.org/microbiology.html","Open Access Journals",2022-08-11
"International Research Journal of Pharmacy and Pharmacology","NAhttps://www.interesjournals.org/pharmacy-pharmacology.html","Open Access Journals",2022-08-11
"International Research Journal of Plant Sciences","NAhttps://www.interesjournals.org/plant-science.html","Open Access Journals",2022-08-11
"Interventional Cardiology","NAhttps://www.openaccessjournals.com/journals/interventional-cardiology.html","Open Access Journals",2022-08-11
"Interventional Pediatrics & Research","NAhttps://www.openaccessjournals.com/journals/interventional-pediatrics-research.html","Open Access Journals",2022-08-11
"JBR Journal of Interdisciplinary Medicine and Dental Sciences","NAhttps://www.openaccessjournals.com/journals/jbr-interdisciplinary-medicine-dental-sciences.html","Open Access Journals",2022-08-11
"Journal of Agriculture","NAhttps://www.openaccessjournals.com/journals/agriculture.html","Open Access Journals",2022-08-11
"Journal of Apitherapy","NAhttps://www.japitherapy.com/","Open Access Journals",2022-08-11
"Journal of Basic and Clinical Pharmacy","NAhttps://www.jbclinpharm.org/","Open Access Journals",2022-08-11
"Journal of Biochemistry Research","NAhttps://www.openaccessjournals.com/journals/biochemistry-research.html","Open Access Journals",2022-08-11
"Journal of Biomedical Sciences","NAhttps://www.jbiomeds.com/","Open Access Journals",2022-08-11
"Journal of Chemical and Pharmaceutical Research","NAhttps://www.jocpr.com/","Open Access Journals",2022-08-11
"Journal of Computational Methods in Molecular Design","NAhttps://www.scholarsresearchlibrary.com/journals/journal-of-computational-methods-in-molecular-design/","Open Access Journals",2022-08-11
"Journal of Contemporary Mediacal Education","NAhttps://www.jcmedu.org/","Open Access Journals",2022-08-11
"Journal of Cosmetic Science and Technology","NAhttps://www.openaccessjournals.com/journals/journal-of-cosmetic-science-and-technology.html","Open Access Journals",2022-08-11
"Journal of Dentistry, Medicine and Medical Sciences","NAhttps://www.interesjournals.org/dentistry-medicine-medical-sciences.html","Open Access Journals",2022-08-11
"Journal of Diabetes Medication & Care","NAhttps://www.openaccessjournals.com/journals/diabetes-medication-care.html","Open Access Journals",2022-08-11
"Journal of Drug and Alcohol Research","NAhttps://www.ashdin.com/drug-alcohol-research.html","Open Access Journals",2022-08-11
"Journal of Environmental and Occupational Health","NAhttps://www.jenvoh.com/","Open Access Journals",2022-08-11
"Journal of Evolutionary Medicine","NAhttps://www.ashdin.com/evolutionary-medicine.html","Open Access Journals",2022-08-11
"Journal of Experimental Stroke & Translational Medicine","NAhttps://www.openaccessjournals.com/journals/journal-of-experimental-stroke-translational-medicine.html","Open Access Journals",2022-08-11
"Journal of FisheriesSciences.com","NAhttps://www.fisheriessciences.com/","Open Access Journals",2022-08-11
"Journal of Interdisciplinary Histopathology","NAhttps://www.ejmjih.com/","Open Access Journals",2022-08-11
"Journal of Interventional Nephrology","NAhttps://www.openaccessjournals.com/journals/interventional-nephrology.html","Open Access Journals",2022-08-11
"Journal of Labor and Childbirth","NAhttps://www.openaccessjournals.com/journals/labor-childbirth.html","Open Access Journals",2022-08-11
"Journal of Leukaemia & Lymphoma Research","NAhttps://www.openaccessjournals.com/journals/journal-of-leukaemia-lymphoma-research.html","Open Access Journals",2022-08-11
