journal,url,issn,publisher,date
3D Printing and Applications,https://openaccesspub.org/journal/j3dpa,2831-8846,Open Access Pub,2022-08-12
Addiction Disorder and Rehabilitation,https://openaccesspub.org/journal/jadr,NA,Open Access Pub,2022-08-12
ADHD And Care,https://openaccesspub.org/journal/jac,NA,Open Access Pub,2022-08-12
Advanced Cytology,https://openaccesspub.org/journal/jcy,NA,Open Access Pub,2022-08-12
Advanced Forensic Sciences,https://openaccesspub.org/journal/jafs,2692-5915,Open Access Pub,2022-08-12
Advanced Pharmaceutical Science And Technology,https://openaccesspub.org/journal/japst,2328-0182,Open Access Pub,2022-08-12
Advanced Research in Botany,https://openaccesspub.org/journal/jarb,NA,Open Access Pub,2022-08-12
Advanced Rheumatology Science,https://openaccesspub.org/journal/jars,NA,Open Access Pub,2022-08-12
Advanced Therapeutic Science,https://openaccesspub.org/journal/jats,NA,Open Access Pub,2022-08-12
Advances in Leukemia ,https://openaccesspub.org/journal/jal,NA,Open Access Pub,2022-08-12
Advances in Nanotechnology ,https://openaccesspub.org/journal/jan,2689-2855,Open Access Pub,2022-08-12
Advances in Plant Biology ,https://openaccesspub.org/journal/japb,2638-4469,Open Access Pub,2022-08-12
Aging Research And Healthcare,https://openaccesspub.org/journal/jarh,2474-7785,Open Access Pub,2022-08-12
Agronomy Research,https://openaccesspub.org/journal/jar,2639-3166,Open Access Pub,2022-08-12
Air and Water Borne Diseases,https://openaccesspub.org/journal/jawd,NA,Open Access Pub,2022-08-12
Alcohol ,https://openaccesspub.org/journal/ja,NA,Open Access Pub,2022-08-12
Alternative Medicine and Mind Body Practices,https://openaccesspub.org/journal/jammbp,NA,Open Access Pub,2022-08-12
Alzheimer's Research and Therapy,https://openaccesspub.org/journal/jalr,NA,Open Access Pub,2022-08-12
Antioxidant Activity,https://openaccesspub.org/journal/jaa,2471-2140,Open Access Pub,2022-08-12
Arthritis Research and Therapy,https://openaccesspub.org/journal/jart,NA,Open Access Pub,2022-08-12
Behavior Therapy And Mental Health,https://openaccesspub.org/journal/jbtm,2474-9273,Open Access Pub,2022-08-12
Big Data Research,https://openaccesspub.org/journal/jbr,2768-0207,Open Access Pub,2022-08-12
Bioinformatics And Diabetes,https://openaccesspub.org/journal/jbd,2374-9431,Open Access Pub,2022-08-12
Biomaterials ,https://openaccesspub.org/journal/jbi,NA,Open Access Pub,2022-08-12
Biosemiotic Research,https://openaccesspub.org/journal/jbsr,NA,Open Access Pub,2022-08-12
Biotechnology and Biomedical Science,https://openaccesspub.org/journal/jbbs,2576-6694,Open Access Pub,2022-08-12
Blood Pressure,https://openaccesspub.org/journal/jbp,NA,Open Access Pub,2022-08-12
Body Fluids,https://openaccesspub.org/journal/jbf,NA,Open Access Pub,2022-08-12
Bone Marrow Biology,https://openaccesspub.org/journal/jbmb,NA,Open Access Pub,2022-08-12
Brain And Spinal Cancer,https://openaccesspub.org/journal/jbsc,2576-182X,Open Access Pub,2022-08-12
Breast Cancer Survival,https://openaccesspub.org/journal/jbcs,NA,Open Access Pub,2022-08-12
Breastfeeding Biology,https://openaccesspub.org/journal/jbfb,2644-0105,Open Access Pub,2022-08-12
Cancer Genetics And Biomarkers,https://openaccesspub.org/journal/jcgb,2572-3030,Open Access Pub,2022-08-12
Carbohydrates,https://openaccesspub.org/journal/jch,NA,Open Access Pub,2022-08-12
Cervical Cancer,https://openaccesspub.org/journal/jcc,NA,Open Access Pub,2022-08-12
Child and Adolescent Psychiatry,https://openaccesspub.org/journal/jcap,2643-6655,Open Access Pub,2022-08-12
Chromosomes,https://openaccesspub.org/journal/jc,NA,Open Access Pub,2022-08-12
Clinical and Diagnostic Pathology,https://openaccesspub.org/journal/jcdp,2689-5773,Open Access Pub,2022-08-12
Clinical and Practical Nursing,https://openaccesspub.org/journal/jcpn,NA,Open Access Pub,2022-08-12
Clinical Case reports and Images,https://openaccesspub.org/journal/jcci,2641-5518,Open Access Pub,2022-08-12
Clinical Research In HIV AIDS And Prevention,https://openaccesspub.org/journal/jcrhap,2324-7339,Open Access Pub,2022-08-12
Cognitive Behavioral Therapy,https://openaccesspub.org/journal/jcbt,NA,Open Access Pub,2022-08-12
Colon And Rectal Cancer,https://openaccesspub.org/journal/jcrc,2471-7061,Open Access Pub,2022-08-12
Current Chronic Diseases ,https://openaccesspub.org/journal/jcd,NA,Open Access Pub,2022-08-12
Current Scientific Research,https://openaccesspub.org/journal/jcsr,2766-8681,Open Access Pub,2022-08-12
Current Viruses and Treatment Methodologies,https://openaccesspub.org/journal/jvat,2691-8862,Open Access Pub,2022-08-12
Death,https://openaccesspub.org/journal/jod,NA,Open Access Pub,2022-08-12
Dentistry And Oral Implants,https://openaccesspub.org/journal/jdoi,2473-1005,Open Access Pub,2022-08-12
Depression And Therapy,https://openaccesspub.org/journal/jdt,2476-1710,Open Access Pub,2022-08-12
Dermatologic Research And Therapy,https://openaccesspub.org/journal/jdrt,2471-2175,Open Access Pub,2022-08-12
Developments in Mass Spectrometry,https://openaccesspub.org/journal/jdms,NA,Open Access Pub,2022-08-12
Digestive Disorders And Diagnosis,https://openaccesspub.org/journal/jddd,2574-4526,Open Access Pub,2022-08-12
Diseases,https://openaccesspub.org/journal/jd,NA,Open Access Pub,2022-08-12
DNA And RNA Research,https://openaccesspub.org/journal/jdrr,2575-7881,Open Access Pub,2022-08-12
Drug Resistant Pathogen Research,https://openaccesspub.org/journal/jdrpr,NA,Open Access Pub,2022-08-12
Embryology,https://openaccesspub.org/journal/je,NA,Open Access Pub,2022-08-12
Endocrinology And Hormones,https://openaccesspub.org/journal/jeh,NA,Open Access Pub,2022-08-12
Energy Conservation,https://openaccesspub.org/journal/jec,2642-3146,Open Access Pub,2022-08-12
Enzymes,https://openaccesspub.org/journal/jen,2690-4829,Open Access Pub,2022-08-12
Etiological Diagnosis,https://openaccesspub.org/journal/jed,NA,Open Access Pub,2022-08-12
Evolutionary Science,https://openaccesspub.org/journal/jes,2689-4602,Open Access Pub,2022-08-12
Evolving Stem Cell Research,https://openaccesspub.org/journal/jesr,2574-4372,Open Access Pub,2022-08-12
Experimental and Clinical Toxicology,https://openaccesspub.org/journal/ject,2641-7669,Open Access Pub,2022-08-12
Family Medicine,https://openaccesspub.org/journal/jfm,2640-690X,Open Access Pub,2022-08-12
Farming,https://openaccesspub.org/journal/jf,NA,Open Access Pub,2022-08-12
Fertility Biomarkers,https://openaccesspub.org/journal/jfb,2576-2818,Open Access Pub,2022-08-12
Fetal Surgery,https://openaccesspub.org/journal/jfs,NA,Open Access Pub,2022-08-12
Food Science and Hygiene,https://openaccesspub.org/journal/jfsh,NA,Open Access Pub,2022-08-12
Fungal Diversity,https://openaccesspub.org/journal/jfd,2766-869X,Open Access Pub,2022-08-12
Genetic Engineering,https://openaccesspub.org/journal/jge,2694-1198,Open Access Pub,2022-08-12
Glycomics And Metabolism,https://openaccesspub.org/journal/jgm,2572-5424,Open Access Pub,2022-08-12
Hematology and Oncology Research,https://openaccesspub.org/journal/jhor,2372-6601,Open Access Pub,2022-08-12
Hereditary Diseases,https://openaccesspub.org/journal/jhd,NA,Open Access Pub,2022-08-12
Human and Animal Intestines ,https://openaccesspub.org/journal/jhai,NA,Open Access Pub,2022-08-12
