journal,url,publisher,date
Advanced Material Science,https://oatext.com/Advanced-Material-Science-AMS.php,Open Access Text,2022-08-12
Anaesthesia and Anaesthetics,https://oatext.com/Anaesthesia-and-Anaesthetics-JAA.php,Open Access Text,2022-08-12
"Animal Husbandry, Dairy and Veterinary Science ",https://oatext.com/Animal-Husbandry-Dairy-and-Veterinary-Science-AHDVS.php,Open Access Text,2022-08-12
Archives of Epidemiology and Public Health ,https://oatext.com/Archives-of-Epidemiology-and-Public-Health-AEPH.php,Open Access Text,2022-08-12
"Biology, Engineering and Medicine ",https://oatext.com/Biology-Engineering-and-Medicine-BEM.php,Open Access Text,2022-08-12
Biomedical Genetics and Genomics,https://oatext.com/Biomedical-Genetics-and-Genomics-BGG.php,Open Access Text,2022-08-12
Biomedical Research and Clinical Practice,https://oatext.com/Biomedical-Research-and-Clinical-Practice-BRCP.php,Open Access Text,2022-08-12
Biomedical Research and Reviews,https://oatext.com/Biomedical-Research-and-Reviews-BRR.php,Open Access Text,2022-08-12
"Blood, Heart and Circulation",https://oatext.com/Blood-Heart-and-Circulation-BHC.php,Open Access Text,2022-08-12
Brain and Nerves,https://oatext.com/Brain-and-Nerves-JBN.php,Open Access Text,2022-08-12
Cancer Archives,https://oatext.com/Cancer-Archives-JCA.php,Open Access Text,2022-08-12
Cancer Reports and Reviews,https://oatext.com/Cancer-Reports-and-Reviews-CRR.php,Open Access Text,2022-08-12
Cardiovascular Disorders and Medicine,https://oatext.com/Cardiovascular-Disorders-and-Medicine-CDM.php,Open Access Text,2022-08-12
Case Reports and Images in Surgery,https://oatext.com/Case-Reports-and-Images-in-Surgery-CRIS.php,Open Access Text,2022-08-12
Clinical and Diagnostic Pathology,https://oatext.com/Clinical-and-Diagnostic-Pathology-CDP.php,Open Access Text,2022-08-12
Clinical and Medical Investigations,https://oatext.com/Clinical-and-Medical-Investigations-CMI.php,Open Access Text,2022-08-12
Clinical and Medical Reports,https://oatext.com/Clinical-and-medical-reports-CMR.php,Open Access Text,2022-08-12
Clinical Case Reports and Reviews,https://oatext.com/clinical-case-reports-and-reviews-ccrr.php,Open Access Text,2022-08-12
Clinical Case Studies and Reports,https://oatext.com/Clinical-Case-Studies-and-Reports-CCSR.php,Open Access Text,2022-08-12
Clinical Microbiology and Infectious Diseases,https://oatext.com/Clinical-Microbiology-and-Infectious-Diseases-CMID.php,Open Access Text,2022-08-12
"Clinical Obstetrics, Gynecology and Reproductive Medicine",https://oatext.com/Clinical-Obstetrics-Gynecology-and-Reproductive-Medicine-cogrm.php,Open Access Text,2022-08-12
Clinical Research and Trials,https://oatext.com/Clinical-Research-and-Trials-CRT.php,Open Access Text,2022-08-12
Clinical Sciences Research and Reports,https://oatext.com/Clinical-Sciences-Research-and-Reports-CSRR.php,Open Access Text,2022-08-12
"Dental, Oral and Maxillofacial Research",https://oatext.com/Dental-Oral-and-Maxillofacial-Research-DOMR.php,Open Access Text,2022-08-12
Diabetes Updates,https://oatext.com/Diabetes-Updates-DU.php,Open Access Text,2022-08-12
"Frontiers in Drug, Chemistry and Clinical Research",https://oatext.com/Frontiers-in-Drug-Chemistry-and-Clinical-Research-FDCCR.php,Open Access Text,2022-08-12
Frontiers in Women’s Health,https://oatext.com/Frontiers-in-Womens-Health-FWH.php,Open Access Text,2022-08-12
Frontiers in Nanoscience and Nanotechnology,https://oatext.com/Frontiers-of-Nanoscience-and-Nanotechnology-FNN.php,Open Access Text,2022-08-12
"Gastroenterology, Hepatology and Endoscopy",https://oatext.com/Gastroenterology-Hepatology-and-Endoscopy-GHE.php,Open Access Text,2022-08-12
General Internal Medicine and Clinical Innovations,https://oatext.com/General-Internal-Medicine-and-Clinical-Innovations-GIMCI.php,Open Access Text,2022-08-12
General Medicine-Open,https://oatext.com/General-Medicine-Open-GMO.php,Open Access Text,2022-08-12
Global Dermatology,https://oatext.com/Global-Dermatology-GOD.php,Open Access Text,2022-08-12
Global Drugs and Therapeutics,https://oatext.com/Global-Drugs-and-Therapeutics-GDT.php,Open Access Text,2022-08-12
Global Imaging Insights,https://oatext.com/Global-Imaging-Insights-GII.php,Open Access Text,2022-08-12
Global Medicine and Therapeutics,https://oatext.com/Global-Medicine-and-Therapeutics-GMT.php,Open Access Text,2022-08-12
Global Pharmaceutical Research,https://oatext.com/global-pharmaceutical-research-GPR.php,Open Access Text,2022-08-12
Global Surgery,https://oatext.com/Global-Surgery-gos.php,Open Access Text,2022-08-12
Health and Primary Care,https://oatext.com/Health-and-Primary-Care-HPC.php,Open Access Text,2022-08-12
Health Education and Care,https://oatext.com/Health-Education-and-Care-HEC.php,Open Access Text,2022-08-12
Hematology and Medical Oncology,https://oatext.com/Hematology-Medical-Oncology-HMO.php,Open Access Text,2022-08-12
Integrative Cancer Science and Therapeutics,https://oatext.com/Integrative-Cancer-Science-and-Therapeutics-ICST.php,Open Access Text,2022-08-12
Integrative Clinical Medicine,https://oatext.com/Integrative-Clinical-Medicine-ICM.php,Open Access Text,2022-08-12
"Integrative Food, Nutrition and Metabolism",https://oatext.com/Integrative-Food-Nutrition-and-Metabolism-IFNM.php,Open Access Text,2022-08-12
Integrative Molecular Medicine,https://oatext.com/IntegrativeMolecularMedicine.php,Open Access Text,2022-08-12
Interdisciplinary Journal of Chemistry,https://oatext.com/Interdisciplinary-Journal-of-Chemistry-IJC.php,Open Access Text,2022-08-12
Internal Medicine and Care,https://oatext.com/Internal-Medicine-and-Care-IMC.php,Open Access Text,2022-08-12
