"journal","url","publisher","date"
"International Journal of Agricultural Education and Extension","https://premierpublishers.orgijaee","Premier Publishers",2022-08-11
"International Journal of Agricultural Marketing                    (h-index 4)","https://premierpublishers.orgijam","Premier Publishers",2022-08-11
"International Journal of Food and Nutrition Sciences","https://premierpublishers.orgijfns","Premier Publishers",2022-08-11
"International Journal of Forestry and Wood Science","https://premierpublishers.orgijfws","Premier Publishers",2022-08-11
"International Journal of Horticultural Science and Ornamental Plants","https://premierpublishers.orgijhsop","Premier Publishers",2022-08-11
"International Journal of Plant Breeding and Crop Science","https://premierpublishers.orgijpbcs","Premier Publishers",2022-08-11
"International Journal of Veterinary Science and Animal Husbandry","https://premierpublishers.orgijvsah","Premier Publishers",2022-08-11
"Journal of Agricultural Economics and Rural Development","https://premierpublishers.orgajaerd","Premier Publishers",2022-08-11
"Journal of Fisheries and Aquaculture Research","https://premierpublishers.orgjfar","Premier Publishers",2022-08-11
"World Research Journal of Agricultural Sciences","https://premierpublishers.orgwrjas","Premier Publishers",2022-08-11
"International Journal of Ecology and Development Research","https://premierpublishers.orgijedr","Premier Publishers",2022-08-11
"International Journal of Entomology and Nematology","https://premierpublishers.orgijen","Premier Publishers",2022-08-11
"International Research Journal of Biochemistry and Biotechnology","https://premierpublishers.orgirjbb","Premier Publishers",2022-08-11
"International Research Journal of Virology","https://premierpublishers.orgirjv","Premier Publishers",2022-08-11
"Journal of Plant and Animal Sciences","https://premierpublishers.orgjpas","Premier Publishers",2022-08-11
"World Journal of Cell Biology and Genetics","https://premierpublishers.orgwjcb","Premier Publishers",2022-08-11
"World Journal of Microbiology","https://premierpublishers.orgwjm","Premier Publishers",2022-08-11
"World Research Journal of Biology and Biological Sciences","https://premierpublishers.orgwrjbbs","Premier Publishers",2022-08-11
"International Journal of Biological Education","https://premierpublishers.orgijbe","Premier Publishers",2022-08-11
"International Journal of Chemistry Education","https://premierpublishers.orgijce","Premier Publishers",2022-08-11
"International Journal of Journalism and Mass Communication","https://premierpublishers.orgijjmc","Premier Publishers",2022-08-11
"International Journal of Literature, Language and Linguistics","https://premierpublishers.orgijlll","Premier Publishers",2022-08-11
"International Journal of Physical Health Education","https://premierpublishers.orgijphe","Premier Publishers",2022-08-11
"International Research Journal of Curriculum and Pedagogy","https://premierpublishers.orgirjcp","Premier Publishers",2022-08-11
"International Research Journal of Music Education","https://premierpublishers.orgirjme","Premier Publishers",2022-08-11
"International Research Journal of Teacher Education","https://premierpublishers.orgirjte","Premier Publishers",2022-08-11
"Journal of Humanities, Art and Design","https://premierpublishers.orgjhad","Premier Publishers",2022-08-11
"World Journal of Educational Research and Reviews","https://premierpublishers.orgwjer","Premier Publishers",2022-08-11
"World Journal of History and Culture","https://premierpublishers.orgwjhc","Premier Publishers",2022-08-11
"World Journal of Library and Information Science","https://premierpublishers.orgwjlis","Premier Publishers",2022-08-11
"International Journal of Safety and Industrial Ergonomics","https://premierpublishers.orgijsie","Premier Publishers",2022-08-11
"International Research Journal of Architecture and Planning","https://premierpublishers.orgirjap","Premier Publishers",2022-08-11
"International Research Journal of Electrical and Electronics Engineering","https://premierpublishers.orgirjeee","Premier Publishers",2022-08-11
"International Research Journal of Materials Science and Engineering","https://premierpublishers.orgirjmse","Premier Publishers",2022-08-11
"International Research Journal of Power and Energy Engineering","https://premierpublishers.orgirjpee","Premier Publishers",2022-08-11
"Journal of Agricultural and Biological Engineering","https://premierpublishers.orgjabe","Premier Publishers",2022-08-11
"Journal of Oil, Gas and Coal Engineering","https://premierpublishers.orgjogce","Premier Publishers",2022-08-11
"Research Journal of Chemical Engineering and Processing","https://premierpublishers.orgrjcep","Premier Publishers",2022-08-11
"World Journal of Civil Engineering and Construction Technology","https://premierpublishers.orgwjcect","Premier Publishers",2022-08-11
"World Journal of Mechanical Engineering","https://premierpublishers.orgijme","Premier Publishers",2022-08-11
"Journal of Environment and Waste Management","https://premierpublishers.orgjewm","Premier Publishers",2022-08-11
"Global Journal of Nuclear Medicine and Biology","https://premierpublishers.orggjnmb","Premier Publishers",2022-08-11
"International Journal of Cardiology and Cardiovascular Research","https://premierpublishers.orgijccr","Premier Publishers",2022-08-11
"International Journal of Gynaecology and Obstetrics Research","https://premierpublishers.orgijgor","Premier Publishers",2022-08-11
"International Journal of Public Health and Epidemiology Research","https://premierpublishers.orgijpher","Premier Publishers",2022-08-11
"International Journal of Toxicology and Environmental Health","https://premierpublishers.orgijteh","Premier Publishers",2022-08-11
"International Research Journal of Dentistry","https://premierpublishers.orgirjd","Premier Publishers",2022-08-11
"International Research Journal of Emergency Medicine","https://premierpublishers.orgirjem","Premier Publishers",2022-08-11
"International Research Journal of Psychiatric and Mental Health","https://premierpublishers.orgirjpmh","Premier Publishers",2022-08-11
"International Research Journal of Surgery","https://premierpublishers.orgirjs","Premier Publishers",2022-08-11
"Journal of Cancer and Clinical Oncology","https://premierpublishers.orgjcco","Premier Publishers",2022-08-11
"Journal of Dermatology, Venereology and Leprology","https://premierpublishers.orgjdvl","Premier Publishers",2022-08-11
"Journal of Diseases and Disorders","https://premierpublishers.orgjdd","Premier Publishers",2022-08-11
"Journal of Nursing and Midwifery","https://premierpublishers.orgjnm","Premier Publishers",2022-08-11
"Journal of Pathology and Laboratory Medicine","https://premierpublishers.orgjplm","Premier Publishers",2022-08-11
"Journal of Urology and Nephrology Research","https://premierpublishers.orgjunr","Premier Publishers",2022-08-11
"Medicine and Medical Sciences","https://premierpublishers.orgmms","Premier Publishers",2022-08-11
"World Journal of Internal Medicine","https://premierpublishers.orgwjim","Premier Publishers",2022-08-11
"Frontiers in Medicinal Chemistry and Drug Discovery","https://premierpublishers.orgfmcd","Premier Publishers",2022-08-11
"International Journal of Ethnopharmacology","https://premierpublishers.orgije","Premier Publishers",2022-08-11
"International Journal of Herbs, Spices and Medicinal Plants","https://premierpublishers.orgijhsmp","Premier Publishers",2022-08-11
"International Journal of Pharmacognosy and Phytotherapy Research","https://premierpublishers.orgijppr","Premier Publishers",2022-08-11
"World Journal of Pharmacy and Pharmacology","https://premierpublishers.orgwjpp","Premier Publishers",2022-08-11
"International Journal of Geology and Mining","https://premierpublishers.orgijgm","Premier Publishers",2022-08-11
"International Journal of Statistics and Mathematics IF 2015: 4.232","https://premierpublishers.orgijsm","Premier Publishers",2022-08-11
"International Research Journal of Chemistry and Chemical Sciences","https://premierpublishers.orgirjc","Premier Publishers",2022-08-11
"International Research Journal of Nanoscience and Nanotechnology","https://premierpublishers.orgirjnn","Premier Publishers",2022-08-11
"International Research Journal of Telecommunications and Information Technology","https://premierpublishers.orgirjtit","Premier Publishers",2022-08-11
"Journal of Computer Science and Security","https://premierpublishers.orgjcss","Premier Publishers",2022-08-11
"Journal of Physics and Astronomy Research","https://premierpublishers.orgjpar","Premier Publishers",2022-08-11
"Global Journal of Management and Business","https://premierpublishers.orggjmb","Premier Publishers",2022-08-11
"International Journal of Banking and Financial Law","https://premierpublishers.orgijbfl","Premier Publishers",2022-08-11
"International Journal of Geography and Regional Planning","https://premierpublishers.orgijgrp","Premier Publishers",2022-08-11
"International Journal of Public Administration and Policy Research","https://premierpublishers.orgijpapr","Premier Publishers",2022-08-11
"Journal of Accounting, Auditing and Taxation","https://premierpublishers.orgjaat","Premier Publishers",2022-08-11
"Journal of Political Science, Public and International Affairs","https://premierpublishers.orgjpspia","Premier Publishers",2022-08-11
"World Journal of Economics and Finance","https://premierpublishers.orgwjef","Premier Publishers",2022-08-11
"World Journal of Sociology and Anthropology","https://premierpublishers.orgwjsa","Premier Publishers",2022-08-11
