"journal","url","publisher","date"
"Journal of Addiction and Clinical Research","NAhttps://www.pulsus.com/journal-addiction-clinical-research.html","Pulsus Group",2022-08-11
"Journal of Aquaculture and Fisheries Management","NAhttps://www.pulsus.com/journal-aquaculture-fisheries-management.html","Pulsus Group",2022-08-11
"Journal of Animal Genetics Research","NAhttps://www.pulsus.com/journal-animal-genetics-research.html","Pulsus Group",2022-08-11
"Journal of Agriculture","NAhttps://www.pulsus.com/journal-agriculture.html","Pulsus Group",2022-08-11
"Applied Food Science Journal","NAhttps://www.pulsus.com/applied-food-science-journal.html","Pulsus Group",2022-08-11
"Anesthesiology Case Reports","NAhttps://www.pulsus.com/anesthesiology-case-reports.html","Pulsus Group",2022-08-11
"Journal of Blood Disorders and Treatment","NAhttps://www.pulsus.com/journal-blood-disorders-treatment.html","Pulsus Group",2022-08-11
"Journal of Behavioral Neuroscience","NAhttps://www.pulsus.com/journal-behavioral-neuroscience.html","Pulsus Group",2022-08-11
"Journal of Biomolecules and Biochemistry","NAhttps://www.pulsus.com/journal-biomolecules-biochemistry.html","Pulsus Group",2022-08-11
"Biomedical Engineering: Current Research","NAhttps://www.pulsus.com/biomedical-engineering.html","Pulsus Group",2022-08-11
"Current Research: Cardiology","NAhttps://www.pulsus.com/current-research-cardiology.html","Pulsus Group",2022-08-11
"Current Research: Integrative Medicine","NAhttps://www.pulsus.com/current-research-integrative-medicine.html","Pulsus Group",2022-08-11
"Journal of Cancer & Metastasis Research","NAhttps://www.pulsus.com/journal-cancer-metastasis-research.html","Pulsus Group",2022-08-11
"Journal of Clinical Biochemistry","NAhttps://www.pulsus.com/journal-clinical-biochemistry.html","Pulsus Group",2022-08-11
"Clinical Nephrology and Research","NAhttps://www.pulsus.com/clinical-nephrology-research.html","Pulsus Group",2022-08-11
"Clinical Cardiology Journal","NAhttps://www.pulsus.com/clinical-cardiology-journal.html","Pulsus Group",2022-08-11
"Journal of Child Psychology","NAhttps://www.pulsus.com/journal-child-psychology.html","Pulsus Group",2022-08-11
"Journal of Clinical Psychiatry and Neuroscience","NAhttps://www.pulsus.com/journal-clinical-psychiatry-neuroscience.html","Pulsus Group",2022-08-11
"Journal of Clinical Psychology and Cognitive Science","NAhttps://www.pulsus.com/journal-clinical-psychology-cognitive-science.html","Pulsus Group",2022-08-11
"Clinical Pharmacology and Toxicology Research","NAhttps://www.pulsus.com/clinical-pharmacology-toxicology-research.html","Pulsus Group",2022-08-11
"Journal of Child and Adolescent Psychiatry","NAhttps://www.pulsus.com/journal-child-adolescent-psychiatry.html","Pulsus Group",2022-08-11
"Journal of Clinical Microbiology and Infectious Diseases","NAhttps://www.pulsus.com/journal-clinical-microbiology-infectious-diseases.html","Pulsus Group",2022-08-11
"Journal of Clinical Diagnosis and Treatment","NAhttps://www.pulsus.com/journal-clinical-diagnosis-and-treatment.html","Pulsus Group",2022-08-11
"Chest and Lung Research","NAhttps://www.pulsus.com/chest-lung-research.html","Pulsus Group",2022-08-11
"Journal of Clinical Genetics and Genomics","NAhttps://www.pulsus.com/journal-clinical-genetics-genomics.html","Pulsus Group",2022-08-11
"Dentistry: Case Report","NAhttps://www.pulsus.com/dentistry-case-report.html","Pulsus Group",2022-08-11
"Journal of Drugs and Ecotoxicology","NAhttps://www.pulsus.com/journal-drugs-ecotoxicology.html","Pulsus Group",2022-08-11
"Journal of Environmental Chemistry and Toxicology","NAhttps://www.pulsus.com/journal-environmental-chemistry-toxicology.html","Pulsus Group",2022-08-11
"Journal of Environmental Geology","NAhttps://www.pulsus.com/journal-environmental-geology.html","Pulsus Group",2022-08-11
"Journal of Endocrine Disorders & Surgery","NAhttps://www.pulsus.com/journal-endocrine-disorders-surgery.html","Pulsus Group",2022-08-11
"Journal of Environmental Microbiology","NAhttps://www.pulsus.com/journal-environmental-microbiology.html","Pulsus Group",2022-08-11
"Journal of Emerging Diseases and Preventive Medicine","NAhttps://www.pulsus.com/journal-emerging-diseases-preventive-medicine.html","Pulsus Group",2022-08-11
"Journal of Experimental and Clinical Microbiology","NAhttps://www.pulsus.com/journal-experimental-clinical-microbiology.html","Pulsus Group",2022-08-11
"Journal of Food and Clinical Nutrition","NAhttps://www.pulsus.com/journal-food-clinical-nutrition.html","Pulsus Group",2022-08-11
"Journal of Food and Drug Research","NAhttps://www.pulsus.com/journal-food-drug-research.html","Pulsus Group",2022-08-11
"General Surgery: Open Access","NAhttps://www.pulsus.com/general-surgery.html","Pulsus Group",2022-08-11
