"journal","url","publisher","date"
"Advances in Aerospace Science and Technology","NAhttps://www.scirp.org/journal/aast","SCIRP",2022-08-11
"Advances in Aging Research","NAhttps://www.scirp.org/journal/aar","SCIRP",2022-08-11
"Advances in Alzheimer's Disease","NAhttps://www.scirp.org/journal/aad","SCIRP",2022-08-11
"Advances in Anthropology","NAhttps://www.scirp.org/journal/aa","SCIRP",2022-08-11
"Advances in Applied Sociology","NAhttps://www.scirp.org/journal/aasoci","SCIRP",2022-08-11
"Advances in Biological Chemistry","NAhttps://www.scirp.org/journal/abc","SCIRP",2022-08-11
"Advances in Bioscience and Biotechnology","NAhttps://www.scirp.org/journal/abb","SCIRP",2022-08-11
"Advances in Breast Cancer Research","NAhttps://www.scirp.org/journal/abcr","SCIRP",2022-08-11
"Advances in Chemical Engineering and Science","NAhttps://www.scirp.org/journal/aces","SCIRP",2022-08-11
"Advances in Computed Tomography","NAhttps://www.scirp.org/journal/act","SCIRP",2022-08-11
"Advances in Entomology","NAhttps://www.scirp.org/journal/ae","SCIRP",2022-08-11
"Advances in Enzyme Research","NAhttps://www.scirp.org/journal/aer","SCIRP",2022-08-11
"Advances in Historical Studies","NAhttps://www.scirp.org/journal/ahs","SCIRP",2022-08-11
"Advances in Infectious Diseases","NAhttps://www.scirp.org/journal/aid","SCIRP",2022-08-11
"Advances in Internet of Things","NAhttps://www.scirp.org/journal/ait","SCIRP",2022-08-11
"Advances in Journalism and Communication","NAhttps://www.scirp.org/journal/ajc","SCIRP",2022-08-11
"Advances in Linear Algebra & Matrix Theory","NAhttps://www.scirp.org/journal/alamt","SCIRP",2022-08-11
"Advances in Literary Study","NAhttps://www.scirp.org/journal/als","SCIRP",2022-08-11
"Advances in Lung Cancer","NAhttps://www.scirp.org/journal/alc","SCIRP",2022-08-11
"Advances in Materials Physics and Chemistry","NAhttps://www.scirp.org/journal/ampc","SCIRP",2022-08-11
"Advances in Microbiology","NAhttps://www.scirp.org/journal/aim","SCIRP",2022-08-11
