"journal","url","publisher","date"
"SAJ Case Reports (SAJCR)","NAhttp://www.scholarena.com/journals/saj-case-reports/jhome.php","Scholarena",2022-08-11
"SAJ Biotechnology (SAJB)","NAhttp://www.scholarena.com/journals/saj-biotechnology/jhome.php","Scholarena",2022-08-11
"SAJ Cancer Science (SAJCS)","NAhttp://www.scholarena.com/journals/saj-cancer-science/jhome.php","Scholarena",2022-08-11
"SAJ Pharmacy and Pharmacology (SAJPP)","NAhttp://www.scholarena.com/journals/saj-pharmacy-and-pharmacology/jhome.php","Scholarena",2022-08-11
"Journal of Nutrition and Obesity (JNO)","NAhttp://www.scholarena.com/journals/journal-of-nutrition-and-obesity/jhome.php","Scholarena",2022-08-11
"Journal of Forensic and Crime Studies (JFCS)","NAhttp://www.scholarena.com/journals/journal-of-forensic-and-crime-studies/jhome.php","Scholarena",2022-08-11
"Journal of Human Genetics and Genomic Medicine (JHGGM)","NAhttp://www.scholarena.com/journals/journal-of-human-genetics-and-genomic-medicine/jhome.php","Scholarena",2022-08-11
"Journal of Cardiac Disorders and Therapy (JCDT)","NAhttp://www.scholarena.com/journals/journal-of-cardiac-disorders-and-therapy/jhome.php","Scholarena",2022-08-11
"Journal of Neuroscience and Neuropsychology (JNN)","NAhttp://www.scholarena.com/journals/journal-of-neuroscience-and-neuropsychology/jhome.php","Scholarena",2022-08-11
"Journal of Nanoscience and Nanotechnology Applications (JNNA)","NAhttp://www.scholarena.com/journals/journal-of-nanoscience-and-nanotechnology-applications/jhome.php","Scholarena",2022-08-11
"Journal of Infectious Diseases and Pathogenesis (JIDP)","NAhttp://www.scholarena.com/journals/journal-of-infectious-diseases-and-pathogenesis/jhome.php","Scholarena",2022-08-11
"Journal of Pediatric Disorders and Neonatal Care (JPDNC)","NAhttp://www.scholarena.com/journals/journal-of-pediatric-disorders-and-neonatal-care/jhome.php","Scholarena",2022-08-11
"Journal of Gastroenterology and Metabolism (JGM)","NAhttp://www.scholarena.com/journals/journal-of-gastroenterology-and-metabolism/jhome.php","Scholarena",2022-08-11
"Journal of Oral Health and Dental Science (JOHDS)","NAhttp://www.scholarena.com/journals/journal-of-oral-health-and-dental-science/jhome.php","Scholarena",2022-08-11
"Journal of Hormonal Disorders and Endocrine Research (JHDER)","NAhttp://www.scholarena.com/journals/journal-of-hormonal-disorders-and-endocrine-research/jhome.php","Scholarena",2022-08-11
"Journal of Biomedical Studies (JBS)","NAhttp://www.scholarena.com/journals/journal-of-biomedical-studies/jhome.php","Scholarena",2022-08-11
"Journal of Pancreas and Advanced Research (JPAR)","NAhttp://www.scholarena.com/journals/journal-of-pancreas-and-advanced-research/jhome.php","Scholarena",2022-08-11
"Journal of Ophthalmology and Eye Infections (JOEI)","NAhttp://www.scholarena.com/journals/journal-of-ophthalmology-and-eye-infections/jhome.php","Scholarena",2022-08-11
