"journal","url","publisher","date"
"Journal of Addictive Behaviors,Therapy & Rehabilitation","NAhttps://www.scitechnol.com/addictive-behaviors-therapy-rehabilitation.php","SciTechnol",2022-08-11
"Advanced Biomedical Research and Innovation","NAhttps://www.scitechnol.com/advanced-biomedical-research-innovation.php","SciTechnol",2022-08-11
"Journal of Aging and Geriatric Medicine","NAhttps://www.scitechnol.com/aging-geriatric-medicine.php","SciTechnol",2022-08-11
"Analgesia & Resuscitation : Current Research","NAhttps://www.scitechnol.com/analgesia-resuscitation-current-research.php","SciTechnol",2022-08-11
"Andrology & Gynecology: Current Research","NAhttps://www.scitechnol.com/andrology-gynecology-current-research.php","SciTechnol",2022-08-11
"Journal of Applied Bioinformatics & Computational Biology","NAhttps://www.scitechnol.com/applied-bioinformatics-computational-biology.php","SciTechnol",2022-08-11
"Archives of Clinical Pathology","NAhttps://www.scitechnol.com/archives-clinical-pathology.php","SciTechnol",2022-08-11
"Archives of Medical Biotechnology","NAhttps://www.scitechnol.com/medical-biotechnology.php","SciTechnol",2022-08-11
"Archives of Transplantation","NAhttps://www.scitechnol.com/archives-transplantation.php","SciTechnol",2022-08-11
"Journal of Athletic Enhancement","NAhttps://www.scitechnol.com/athletic-enhancement.php","SciTechnol",2022-08-11
"Journal of Biochemical Engineering & Bioprocess Technology","NAhttps://www.scitechnol.com/biochemical-bioprocess-engineering-journal.php","SciTechnol",2022-08-11
"Journal of Biochemistry and Physiology","NAhttps://www.scitechnol.com/journal-biochemistry-physiology.php","SciTechnol",2022-08-11
"Journal of Biodiversity Management & Forestry","NAhttps://www.scitechnol.com/biodiversity-management-forestry.php","SciTechnol",2022-08-11
"Biomaterials and Medical Applications","NAbiomaterials-medical-applications.php","SciTechnol",2022-08-11
"Journal of Blood Research & Hematologic Diseases","NAhttps://www.scitechnol.com/journal-of-blood-research-and-hematologic-diseases.php","SciTechnol",2022-08-11
"Journal of Business and Hotel Management","NAhttps://www.scitechnol.com/business-hotel-management.php","SciTechnol",2022-08-11
"Cell Biology: Research & Therapy","NAhttps://www.scitechnol.com/cell-biology-research-therapy.php","SciTechnol",2022-08-11
"Journal of Chemistry and Applied Chemical Engineering","NAhttps://www.scitechnol.com/journal-chemistry-applied-chemical-engineering.php","SciTechnol",2022-08-11
"Journal of Clinical & Experimental Oncology","NAhttps://www.scitechnol.com/clinical-experimental-oncology.php","SciTechnol",2022-08-11
"Journal of Clinical & Experimental Radiology","NAhttps://www.scitechnol.com/clinical-experimental-radiology.php","SciTechnol",2022-08-11
"Clinical Dermatology Research Journal","NAhttps://www.scitechnol.com/clinical-dermatology-research-journal.php","SciTechnol",2022-08-11
"Journal of Clinical Images and Case Reports","NAclinical-images-case-reports.php","SciTechnol",2022-08-11
"Journal of Clinical Nutrition and Metabolism","NAjournal-clinical-nutrition-metabolism.php","SciTechnol",2022-08-11
