"journal","url","publisher","date"
"Advances in Applied Physiology","https://www.sciencepublishinggroup.com/journal/index?journalid=387","Science Publishing Group",2022-08-11
"Advances in Applied Sciences","https://www.sciencepublishinggroup.com/journal/index?journalid=109","Science Publishing Group",2022-08-11
"Advances in Biochemistry","https://www.sciencepublishinggroup.com/journal/index?journalid=110","Science Publishing Group",2022-08-11
"Advances in Bioscience and Bioengineering","https://www.sciencepublishinggroup.com/journal/index?journalid=216","Science Publishing Group",2022-08-11
"Advances in Materials","https://www.sciencepublishinggroup.com/journal/index?journalid=129","Science Publishing Group",2022-08-11
"Advances in Networks","https://www.sciencepublishinggroup.com/journal/index?journalid=131","Science Publishing Group",2022-08-11
"Advances in Sciences and Humanities","https://www.sciencepublishinggroup.com/journal/index?journalid=323","Science Publishing Group",2022-08-11
"Advances in Surgical Sciences","https://www.sciencepublishinggroup.com/journal/index?journalid=256","Science Publishing Group",2022-08-11
"Advances in Wireless Communications and Networks","https://www.sciencepublishinggroup.com/journal/index?journalid=317","Science Publishing Group",2022-08-11
"Agriculture, Forestry and Fisheries","https://www.sciencepublishinggroup.com/journal/index?journalid=119","Science Publishing Group",2022-08-11
"American Journal of Aerospace Engineering","https://www.sciencepublishinggroup.com/journal/index?journalid=309","Science Publishing Group",2022-08-11
"American Journal of Agriculture and Forestry","https://www.sciencepublishinggroup.com/journal/index?journalid=218","Science Publishing Group",2022-08-11
"American Journal of Applied Chemistry","https://www.sciencepublishinggroup.com/journal/index?journalid=227","Science Publishing Group",2022-08-11
"American Journal of Applied Mathematics","https://www.sciencepublishinggroup.com/journal/index?journalid=148","Science Publishing Group",2022-08-11
"American Journal of Applied Psychology","https://www.sciencepublishinggroup.com/journal/index?journalid=203","Science Publishing Group",2022-08-11
"American Journal of Applied Scientific Research","https://www.sciencepublishinggroup.com/journal/index?journalid=395","Science Publishing Group",2022-08-11
"American Journal of Art and Design","https://www.sciencepublishinggroup.com/journal/index?journalid=106","Science Publishing Group",2022-08-11
"American Journal of Artificial Intelligence","https://www.sciencepublishinggroup.com/journal/index?journalid=542","Science Publishing Group",2022-08-11
"American Journal of Astronomy and Astrophysics","https://www.sciencepublishinggroup.com/journal/index?journalid=301","Science Publishing Group",2022-08-11
"American Journal of Biological and Environmental Statistics","https://www.sciencepublishinggroup.com/journal/index?journalid=375","Science Publishing Group",2022-08-11
"American Journal of Biomedical and Life Sciences","https://www.sciencepublishinggroup.com/journal/index?journalid=655","Science Publishing Group",2022-08-11
"American Journal of BioScience","https://www.sciencepublishinggroup.com/journal/index?journalid=219","Science Publishing Group",2022-08-11
"American Journal of Bioscience and Bioengineering","https://www.sciencepublishinggroup.com/journal/index?journalid=217","Science Publishing Group",2022-08-11
"American Journal of Chemical and Biochemical Engineering","https://www.sciencepublishinggroup.com/journal/index?journalid=365","Science Publishing Group",2022-08-11
"American Journal of Chemical Engineering","https://www.sciencepublishinggroup.com/journal/index?journalid=224","Science Publishing Group",2022-08-11
"American Journal of Civil Engineering","https://www.sciencepublishinggroup.com/journal/index?journalid=229","Science Publishing Group",2022-08-11
"American Journal of Clinical and Experimental Medicine","https://www.sciencepublishinggroup.com/journal/index?journalid=254","Science Publishing Group",2022-08-11
"American Journal of Computer Science and Technology","https://www.sciencepublishinggroup.com/journal/index?journalid=303","Science Publishing Group",2022-08-11
"American Journal of Construction and Building Materials","https://www.sciencepublishinggroup.com/journal/index?journalid=618","Science Publishing Group",2022-08-11
