"journal","url","publisher","date"
"American Journal of Educational Research","NAhttp://www.sciepub.com/journal/EDUCATION","Science and Education Publishing",2022-08-11
"American Journal of Nursing Research","NAhttp://www.sciepub.com/journal/AJNR","Science and Education Publishing",2022-08-11
"American Journal of Medical Case Reports","NAhttp://www.sciepub.com/journal/AJMCR","Science and Education Publishing",2022-08-11
"Journal of Food and Nutrition Research","NAhttp://www.sciepub.com/journal/JFNR","Science and Education Publishing",2022-08-11
"American Journal of Applied Mathematics and Statistics","NAhttp://www.sciepub.com/journal/AJAMS","Science and Education Publishing",2022-08-11
"American Journal of Public Health Research","NAhttp://www.sciepub.com/journal/AJPHR","Science and Education Publishing",2022-08-11
"Applied Ecology and Environmental Sciences","NAhttp://www.sciepub.com/journal/AEES","Science and Education Publishing",2022-08-11
"American Journal of Food Science and Technology","NAhttp://www.sciepub.com/journal/AJFST","Science and Education Publishing",2022-08-11
"World Journal of Agricultural Research","NAhttp://www.sciepub.com/journal/WJAR","Science and Education Publishing",2022-08-11
"Journal of Physical Activity Research","NAhttp://www.sciepub.com/journal/JPAR","Science and Education Publishing",2022-08-11
"American Journal of Sports Science and Medicine","NAhttp://www.sciepub.com/journal/AJSSM","Science and Education Publishing",2022-08-11
"American Journal of Civil Engineering and Architecture","NAhttp://www.sciepub.com/journal/AJCEA","Science and Education Publishing",2022-08-11
"American Journal of Mechanical Engineering","NAhttp://www.sciepub.com/journal/AJME","Science and Education Publishing",2022-08-11
"Turkish Journal of Analysis and Number Theory","NAhttp://www.sciepub.com/journal/TJANT","Science and Education Publishing",2022-08-11
"International Journal of Dental Sciences and Research","NAhttp://www.sciepub.com/journal/IJDSR","Science and Education Publishing",2022-08-11
"International Journal of Econometrics and Financial Management","NAhttp://www.sciepub.com/journal/IJEFM","Science and Education Publishing",2022-08-11
"Journal of Finance and Economics","NAhttp://www.sciepub.com/journal/JFE","Science and Education Publishing",2022-08-11
"International Journal of Celiac Disease","NAhttp://www.sciepub.com/journal/IJCD","Science and Education Publishing",2022-08-11
"American Journal of Rural Development","NAhttp://www.sciepub.com/journal/AJRD","Science and Education Publishing",2022-08-11
"American Journal of Microbiological Research","NAhttp://www.sciepub.com/journal/AJMR","Science and Education Publishing",2022-08-11
"Journal of Applied & Environmental Microbiology","NAhttp://www.sciepub.com/journal/JAEM","Science and Education Publishing",2022-08-11
"Journal of Food Security","NAhttp://www.sciepub.com/journal/JFS","Science and Education Publishing",2022-08-11
"American Journal of Food and Nutrition","NAhttp://www.sciepub.com/journal/AJFN","Science and Education Publishing",2022-08-11
"Applied Mathematics and Physics","NAhttp://www.sciepub.com/journal/AMP","Science and Education Publishing",2022-08-11
