journal,url,publisher,date,issn
African Annals of Thoracic and Cardiovascular Surgery,https://academicjournals.org/journal/AATCVS,Academic Journals,2022-08-11,NA
African Journal of Agricultural Research,https://academicjournals.org/journal/AJAR,Academic Journals,2022-08-11,NA
African Journal of Bacteriology Research,https://academicjournals.org/journal/JBR,Academic Journals,2022-08-11,NA
African Journal of Biochemistry Research,https://academicjournals.org/journal/AJBR,Academic Journals,2022-08-11,NA
African Journal of Biotechnology,https://academicjournals.org/journal/AJB,Academic Journals,2022-08-11,NA
African Journal of Business Management,https://academicjournals.org/journal/AJBM,Academic Journals,2022-08-11,NA
African Journal of Cellular Pathology,https://academicjournals.org/journal/AJCPath,Academic Journals,2022-08-11,NA
"African Journal of Educational Management, Teaching and Entrepreneurship Studies",https://academicjournals.org/journal/AJEMATES,Academic Journals,2022-08-11,NA
African Journal of Environmental Science and Technology,https://academicjournals.org/journal/AJEST,Academic Journals,2022-08-11,NA
African Journal of Food Science,https://academicjournals.org/journal/AJFS,Academic Journals,2022-08-11,NA
African Journal of Health Sciences and Technology,https://academicjournals.org/journal/AJHST,Academic Journals,2022-08-11,NA
African Journal of History and Culture,https://academicjournals.org/journal/AJHC,Academic Journals,2022-08-11,NA
African Journal of Marketing Management,https://academicjournals.org/journal/AJMM,Academic Journals,2022-08-11,NA
African Journal of Mathematics and Computer Science Research,https://academicjournals.org/journal/AJMCSR,Academic Journals,2022-08-11,NA
African Journal of Medical and Health Sciences,https://academicjournals.org/journal/AJMHS,Academic Journals,2022-08-11,NA
African Journal of Microbiology Research,https://academicjournals.org/journal/AJMR,Academic Journals,2022-08-11,NA
African Journal of Oral Health Sciences,https://academicjournals.org/journal/AJOHS,Academic Journals,2022-08-11,NA
African Journal of Pharmacy and Pharmacology,https://academicjournals.org/journal/AJPP,Academic Journals,2022-08-11,NA
African Journal of Plant Science,https://academicjournals.org/journal/AJPS,Academic Journals,2022-08-11,NA
African Journal of Political Science and International Relations,https://academicjournals.org/journal/AJPSIR,Academic Journals,2022-08-11,NA
African Journal of Pure and Applied Chemistry,https://academicjournals.org/journal/AJPAC,Academic Journals,2022-08-11,NA
Al-Mahram International Journal,https://academicjournals.org/journal/AIJ,Academic Journals,2022-08-11,NA
Biotechnology and Molecular Biology Reviews,https://academicjournals.org/journal/BMBR,Academic Journals,2022-08-11,NA
Botswana Journal of Economics,https://academicjournals.org/journal/BOJE,Academic Journals,2022-08-11,NA
Clinical Reviews and Opinions,https://academicjournals.org/journal/CRO,Academic Journals,2022-08-11,NA
Educational Research and Reviews,https://academicjournals.org/journal/ERR,Academic Journals,2022-08-11,NA
International Journal of Biodiversity and Conservation,https://academicjournals.org/journal/IJBC,Academic Journals,2022-08-11,NA
International Journal of Biotechnology and Molecular Biology Research,https://academicjournals.org/journal/IJBMBR,Academic Journals,2022-08-11,NA
International Journal of Computer Engineering Research,https://academicjournals.org/journal/IJCER,Academic Journals,2022-08-11,NA
International Journal of Educational Administration and Policy Studies,https://academicjournals.org/journal/IJEAPS,Academic Journals,2022-08-11,NA
International Journal of English and Literature,https://academicjournals.org/journal/IJEL,Academic Journals,2022-08-11,NA
International Journal of Fisheries and Aquaculture,https://academicjournals.org/journal/IJFA,Academic Journals,2022-08-11,NA
International Journal of Genetics and Molecular Biology,https://academicjournals.org/journal/IJGMB,Academic Journals,2022-08-11,NA
International Journal of Library and Information Science,https://academicjournals.org/journal/IJLIS,Academic Journals,2022-08-11,NA
International Journal of Livestock Production,https://academicjournals.org/journal/IJLP,Academic Journals,2022-08-11,NA
International Journal of Medicine and Medical Sciences,https://academicjournals.org/journal/IJMMS,Academic Journals,2022-08-11,NA
International Journal of Nursing and Midwifery,https://academicjournals.org/journal/IJNM,Academic Journals,2022-08-11,NA
International Journal of Nutrition and Metabolism,https://academicjournals.org/journal/IJNAM,Academic Journals,2022-08-11,NA
International Journal of Peace and Development Studies,https://academicjournals.org/journal/IJPDS,Academic Journals,2022-08-11,NA
International Journal of Physical Sciences,https://academicjournals.org/journal/IJPS,Academic Journals,2022-08-11,NA
International Journal of Plant Physiology and Biochemistry,https://academicjournals.org/journal/IJPPB,Academic Journals,2022-08-11,NA
International Journal of Psychology and Counselling,https://academicjournals.org/journal/IJPC,Academic Journals,2022-08-11,NA
International Journal of Science and Technology Education Research,https://academicjournals.org/journal/IJSTER,Academic Journals,2022-08-11,NA
International Journal of Sociology and Anthropology,https://academicjournals.org/journal/IJSA,Academic Journals,2022-08-11,NA
International Journal of Vocational and Technical Education,https://academicjournals.org/journal/IJVTE,Academic Journals,2022-08-11,NA
International Journal of Water Resources and Environmental Engineering,https://academicjournals.org/journal/IJWREE,Academic Journals,2022-08-11,NA
International NGO Journal,https://academicjournals.org/journal/INGOJ,Academic Journals,2022-08-11,NA
ISABB Journal of Biotechnology and Bioinformatics,https://academicjournals.org/journal/ISABB-JBB,Academic Journals,2022-08-11,NA
ISABB Journal of Food and Agricultural Sciences,https://academicjournals.org/journal/ISABB-JFAS,Academic Journals,2022-08-11,NA
ISABB Journal of Health and Environmental Sciences,https://academicjournals.org/journal/ISABB-JHE,Academic Journals,2022-08-11,NA
Journal of Accounting and Taxation,https://academicjournals.org/journal/JAT,Academic Journals,2022-08-11,NA
Journal of African Studies and Development,https://academicjournals.org/journal/JASD,Academic Journals,2022-08-11,NA
Journal of Agricultural Biotechnology and Sustainable Development,https://academicjournals.org/journal/JABSD,Academic Journals,2022-08-11,NA
Journal of Agricultural Extension and Rural Development,https://academicjournals.org/journal/JAERD,Academic Journals,2022-08-11,NA
Journal of AIDS and HIV Research,https://academicjournals.org/journal/JAHR,Academic Journals,2022-08-11,NA
Journal of Bioinformatics and Sequence Analysis,https://academicjournals.org/journal/JBSA,Academic Journals,2022-08-11,NA
Journal of Biophysics and Structural Biology,https://academicjournals.org/journal/JBSB,Academic Journals,2022-08-11,NA
Journal of Brewing and Distilling,https://academicjournals.org/journal/JBD,Academic Journals,2022-08-11,NA
Journal of Cancer Research and Experimental Oncology,https://academicjournals.org/journal/JCREO,Academic Journals,2022-08-11,NA
Journal of Cell and Animal Biology,https://academicjournals.org/journal/JCAB,Academic Journals,2022-08-11,NA
Journal of Cell Biology and Genetics,https://academicjournals.org/journal/JCBG,Academic Journals,2022-08-11,NA
Journal of Cereals and Oilseeds,https://academicjournals.org/journal/JCO,Academic Journals,2022-08-11,NA
Journal of Chemical Engineering and Materials Science,https://academicjournals.org/journal/JCEMS,Academic Journals,2022-08-11,NA
Journal of Civil Engineering and Construction Technology,https://academicjournals.org/journal/JCECT,Academic Journals,2022-08-11,NA
Journal of Clinical Immunology and Immunopathology Research,https://academicjournals.org/journal/JCIIR,Academic Journals,2022-08-11,NA
Journal of Clinical Medicine and Research,https://academicjournals.org/journal/JCMR,Academic Journals,2022-08-11,NA
Journal of Clinical Pathology and Forensic Medicine,https://academicjournals.org/journal/JCPFM,Academic Journals,2022-08-11,NA
Journal of Computational Biology and Bioinformatics Research,https://academicjournals.org/journal/JCBBR,Academic Journals,2022-08-11,NA
Journal of Dentistry and Oral Hygiene,https://academicjournals.org/journal/JDOH,Academic Journals,2022-08-11,NA
Journal of Development and Agricultural Economics,https://academicjournals.org/journal/JDAE,Academic Journals,2022-08-11,NA
Journal of Developmental Biology and Tissue Engineering,https://academicjournals.org/journal/JDBTE,Academic Journals,2022-08-11,NA
Journal of Diabetes and Endocrinology,https://academicjournals.org/journal/JDE,Academic Journals,2022-08-11,NA
Journal of Dryland Agriculture,https://academicjournals.org/journal/JODA,Academic Journals,2022-08-11,NA
Journal of Ecology and The Natural Environment,https://academicjournals.org/journal/JENE,Academic Journals,2022-08-11,NA
Journal of Economics and International Finance,https://academicjournals.org/journal/JEIF,Academic Journals,2022-08-11,NA
Journal of Electrical and Electronics Engineering Research,https://academicjournals.org/journal/JEEER,Academic Journals,2022-08-11,NA
Journal of Engineering and Computer Innovations,https://academicjournals.org/journal/JECI,Academic Journals,2022-08-11,NA
Journal of Engineering and Technology Research,https://academicjournals.org/journal/JETR,Academic Journals,2022-08-11,NA
Journal of Entomology and Nematology,https://academicjournals.org/journal/JEN,Academic Journals,2022-08-11,NA
Journal of Environmental Chemistry and Ecotoxicology,https://academicjournals.org/journal/JECE,Academic Journals,2022-08-11,NA
Journal of Evolutionary Biology Research,https://academicjournals.org/journal/JEBR,Academic Journals,2022-08-11,NA
Journal of Fine and Studio Art,https://academicjournals.org/journal/JFSA,Academic Journals,2022-08-11,NA
Journal of General and Molecular Virology,https://academicjournals.org/journal/JGMV,Academic Journals,2022-08-11,NA
