"publisher","journals","reviews"
"Springer Nature",3350,"2449784"
"Elsevier",2795,"1622389"
"Taylor & Francis",2570,"953198"
"Wiley",1885,"2369446"
"Routledge",1295,"258998"
"SAGE Publishing",1159,"761751"
"De Gruyter",904,"24354"
"Institute of Electrical and Electronics Engineers Inc. (IEEE)",898,"1141319"
"Springer",659,"74953"
"Wolters Kluwer Health",468,"263060"
"Emerald Group Publishing",427,"188197"
"De Gruyter Open",422,"1347"
"MDPI",410,"2007565"
"Oxford University Press",372,"239137"
"Inderscience Publishers",320,"12385"
"Cambridge University Press",315,"71822"
"OMICS Publishing Group",311,"8905"
"Hilaris",310,"8793"
"SciELO",296,"145946"
"Hindawi",296,"64731"
"Bentham Science Publishers",272,"27836"
"Egyptian Knowledge Bank",259,"23544"
"Wolters Kluwer Health | Lippincott",251,"196859"
"Scientific Research Publishing (SCIRP)",246,"7201"
"IGI Global",212,"8606"
"Thieme Publishing Group",171,"66549"
"Gavin Publishers",154,"538"
"Karger Publishers",147,"12112"
"Informa Healthcare",140,"8451"
"Brill Publishers",138,"3732"
"MedCrave Group",132,"3675"
"Science Publishing Group",126,"742"
"Nature Publishing Group",123,"103074"
"Science Press",123,"23768"
"Medknow Publications",121,"16932"
"SCIENCEDOMAIN international",120,"71717"
"Dove Medical Press Ltd.",120,"34480"
"W.B. Saunders Ltd",119,"13497"
"Mary Ann Liebert Inc.",118,"27598"
"Academic Journals",117,"15707"
"IOP Publishing",114,"268519"
"Association for Computing Machinery (ACM)",112,"36983"
"World Scientific Publishing",109,"22648"
"iMedPub",106,"1279"
"Maik Nauka-Interperiodica Publishing",106,"709"
"Allied Academies",104,"7923"
"American Psychological Association",98,"77671"
"IOS Press",88,"10462"
"Sciendo",85,"5684"
"Pulsus Group",83,"1146"
"Academic Press",80,"1776"
"American Chemical Society",79,"115881"
"JSciMed Central",74,"463"
"Herald Open Access",72,"466"
"Scientific and Academic Publishing",71,"746"
"CHINA SCIENCE PUBLISHING & MEDIA (CSPM) LTD",70,"22946"
"Islamic Azad University",69,"1761"
"AIRCC Publishing Corporation",67,"675"
"BMJ Publishing Group",65,"77183"
"Crimson Publishers",65,"606"
"University of Malaya",65,"411"
"AME Publishing Company",63,"13615"
"Premier Publishers",63,"1211"
"International Medical Publisher",63,"868"
"Medwin Publishers LLC",63,"565"
"SciTechnol. International Publisher of Science, Technology and Medicine",62,"840"
"Johns Hopkins University Press",61,"791"
"Science Committee of the Ministry of Education and Science of the Republic of Kazakhstan",59,"29"
"Pensoft Publishers",58,"12746"
"Juniper Publishers",58,"175"
"Royal Society of Chemistry",57,"396812"
"John Benjamins Publishing Company",57,"838"
"Austin Publishing Group",57,"222"
"American Society of Mechanical Engineers(ASME)",52,"7643"
"Ferdowsi University of Mashhad Press (FUM Press)",52,"445"
"IP Innovative Publication",50,"2298"
"Conscientia Beam",50,"64"
"University of Chicago Press",49,"5005"
"Scholarena",49,"429"
"Copernicus Publications",48,"6757"
"Annex Publishers",48,"771"
"AOSIS",44,"1313"
"University of Tehran",44,"965"
"Universitas Airlangga",44,"109"
"Akadémiai Kiadó",42,"824"
"Jacob Publishers",42,"85"
"Ediciones Doyma, S.L.",41,"1187"
"IEEE Computer Society",41,"930"
"Lupine Publishers LLC",41,"113"
"ECronicon",40,"2445"
"Science and Education Publishing",39,"513"
"Annual Reviews Inc.",39,"11"
"AVES",38,"9738"
"Scitech Central",38,"424"
"Future Science Group",37,"16630"
"University of California Press",37,"674"
"ClinMed International Library",37,"620"
"Natural Sciences Publishing Corporation",37,"295"
"ICE Publishing",36,"4474"
"EDP Sciences",36,"3772"
"MIT Press Journals",36,"2271"
"Symbiosis Online Publishing",36,"330"
"American Society of Civil Engineers (ASCE)",35,"16679"
"Hogrefe Publishing Group",35,"2515"
"Human Kinetics Publishers",33,"6713"
"Edizioni Minerva Medica",33,"3295"
"Palgrave Macmillan",33,"1667"
"Cell Press",32,"10301"
"i-manager Publications",32,"852"
"SciELO Peru",32,"360"
"Common Ground Research Networks",32,"316"
"Universidad Politecnica de Valencia",32,"282"
"Duke University Press",32,"150"
"Begell House",31,"1565"
"Bentham Open",31,"1245"
"Equinox Publishing Ltd",31,"154"
"University of Toronto Press",30,"926"
"BioMed Central",30,"562"
"University of Alberta Libraries",30,"472"
"Asian Network for Scientific Information",30,"412"
"Mosby Inc.",29,"13492"
"Termedia Publishing House",29,"11657"
"Berghahn Journals",29,"96"
"MedDocs Publishers",29,"66"
"Higher Education Press",28,"4249"
"RCAAP",28,"378"
"MA Healthcare Ltd",27,"11720"
"Open Access Journals",27,"1043"
"OAE Publishing",27,"835"
"ELYNS Publishing Group",27,"133"
"International Islamic University Malaysia",27,"112"
"Canadian Science Publishing",26,"22388"
"CSIRO Publishing",26,"22369"
"Churchill Livingstone",26,"9181"
"Briefland",26,"8927"
"IEEE Communications Society",26,"1385"
"PAGEPress",26,"386"
"Universidad Complutense de Madrid",26,"358"
"Allerton Press Inc.",26,"110"
"Baishideng Publishing Group",25,"11221"
"Urban und Fischer Verlag Jena",25,"3989"
"European Geosciences Union",25,"3046"
"Science Publications",25,"2032"
"University of Hawaii Press",25,"236"
"Now Publishers Inc",25,"38"
"American Institute of Physics (AIP)",24,"24052"
"JMIR Publications",24,"10069"
"Springer Publishing Company",24,"1528"
"Horizon Research Publishing",24,"484"
"CSIC Consejo Superior de Investigaciones Cientificas",24,"438"
"Exeley",24,"332"
"Universitas Andalas",24,"65"
"AIMS Press",23,"3161"
"SPIE",22,"10079"
"International Knowledge Press",22,"3590"
"KARE Publisher",22,"1232"
"Universidad Nacional de Colombia",22,"863"
"Media Sphera Publishers",22,"386"
"African Journals OnLine",22,"291"
"Universiti Utara Malaysia Press",22,"152"
"American Anthropological Association",21,"1428"
"JAI Press",21,"332"
"Czech Medical Association J.E. Purkyne",21,"9"
"WSEAS",20,"7507"
"SAE International",20,"3565"
"David Publishing Company",20,"288"
"Peertechz Publications",20,"190"
"Wolters Kluwer Deutschland",20,"125"
"Openventio Publishers",20,"112"
"Open Access Text (OAT)",20,"51"
"Zibeline International Publishing",20,"10"
"American Society for Microbiology",19,"44704"
"Open Science Publishers LLP",19,"3873"
"Vilnius Gediminas Technical University",19,"1891"
"Turkiye Klinikleri",19,"1768"
"Libertas Academica",19,"637"
"University Of Anbar",19,"356"
"Peeters Publishers",19,"102"
"Edinburgh University Press",19,"22"
"American Physical Society",18,"41837"
"American Geophysical Union",18,"12547"
"Canadian Center of Science and Education",18,"2559"
"Society for Industrial and Applied Mathematics Publications",18,"2137"
"American Scientific Publishers",18,"1173"
"National Research Council of Canada",18,"1077"
"University of Zagreb",18,"640"
"John Libbey Eurotext",18,"454"
"Via Medica",18,"174"
"KeAi Publishing Ltd",18,"166"
"American Association for the Advancement of Science",17,"5326"
"Sami Publishing Company (SPC)",17,"4131"
"Polish Academy of Sciences",17,"3300"
"Tsinghua University Press",17,"1676"
"Acta Scientific",17,"786"
"Editorial Ciencias Medicas",17,"349"
"Penerbit UTM Press",17,"283"
"Maximum Academic Press",17,"178"
"Intellect Ltd.",17,"169"
"Universitas Muhammadiyah Palangkaraya",17,"59"
"Herbert Publications",17,"26"
"Ural Federal University",17,"25"
"Internet Scientific Publications, LLC",17,"13"
"Presses Universitaires de France",17,"7"
"IWA Publishing",16,"8539"
"Tarbiat Modares University",16,"1003"
"Universiti Malaysia Pahang Press",16,"577"
"Ubiquity Press",16,"336"
"Scientific Scholar",16,"285"
"Universitetsforlaget AS",16,"149"
"University of Illinois Press",16,"46"
"WIT Press",16,"42"
"Boeck Universite",16,"17"
"Cogent OA",15,"11947"
"American Mathematical Society",15,"3630"
"Galenos Yayincilik",15,"812"
"Atlantis Press",15,"804"
"Martinus Nijhoff Publishers",15,"95"
"De Gruyter Oldenbourg",15,"90"
