"Publishers","Journals"
"Springer",2631
"Elsevier",2411
"Routledge",1481
"Wiley",1462
"Peter Lang",1394
"SAGE Publications",1194
"Taylor and Francis",806
"De Gruyter",663
"Hindawi",503
"Emerald",488
"Oxford University Press",482
"MDPI",407
"Cambridge University Press",402
"Inderscience",387
"Brill Academic Publishers",381
"Lippincott, Williams & Wilkins",355
"Medknow Publications",341
"BMC",303
"Scientific Research Publishing",248
"Wiley Open Access",242
"Institute of Electrical and Electronics Engineers",235
"SpringerOpen",193
"Pleiades Publishing",176
"IGI Global",161
"World Scientific Publishing",158
"Frontiers Media",147
"Dove Press",136
"Karger Publishers",134
"Information Resources Management Association",133
"Bentham Science Publishers",132
"Thieme Gruppe",130
"Taylor & Francis Open Access",129
"Hans Publishers",125
"Hilaris",122
"Fabrizio Serra editore",115
"Philosophy Documentation Center",112
"Intellect",111
"IOS Press",108
"IOP Publishing",102
"Mary Ann Liebert",101
"American Psychological Association",96
"Peertechz Publications Private Limited",95
"Academic Press",95
"Wiley Periodicals",94
"The University of Chicago Press",94
"Nova Science Publishers",94
"Royal Society of Chemistry",90
"Johns Hopkins University Press",90
"Common Ground Research Networks",89
"Austin Publishing Group",88
"Nature Research",87
"Bentham Open",85
"American Chemical Society",85
"Insight Medical Publishing",81
"John Benjamins Publishing",77
"Wiley-VCH Verlag",76
"Società Editrice il Mulino",76
"Science and Education Publishing",76
"Nomos Verlagsgesellschaft",75
"Akadémiai Kiadó",75
"Academic Journals",75
"JSciMed Central",73
"BMJ Publishing Group",71
"Copernicus Publications",70
"Scandinavian University Press",66
"Association for Computing Machinery (ACM)",65
"Ubiquity Press",62
"Pensoft Publishers",62
"Springer Nature [academic journals on nature.com]",60
"Edinburgh University Press",60
"University of Alberta Library",59
"University of Alberta",59
"Wiley-Liss",58
"Duke University Press",58
"Sciendo",56
"EDP Sciences",55
"Universidad Nacional de Córdoba",54
"University of Lodz",53
"Termedia Publishing",52
"Universitas Negeri Semarang",51
"Universitas Diponegoro",51
"Thieme Open",51
"Equinox Publishing",51
"De Gruyter Open",51
"Universidad Nacional de Colombia",50
"Tehran University of Medical Sciences",50
"PAGEpress",50
"Nicolaus Copernicus University in Torun",50
"Firenze University Press",50
"Università di Bologna",49
"Universitat Autònoma de Barcelona",49
"North-Holland",49
"Urban and Fischer",48
"Palgrave Macmillan",48
"IP Innovative Publication",48
"Hogrefe",47
"Annual Reviews",47
"Universidad de Murcia",46
"Heighten Science Publications Inc",46
"AOSIS",46
"Begell House",45
"Institution of Engineering and Technology (IET)",44
"Universidade Federal de Santa Catarina",43
"Canadian Center of Science and Education (CCSE)",43
"The British Psychological Society",42
"ICE Publishing",42
"Baishideng Publishing Group",42
"University Library System, University of Pittsburgh",41
"Bohn Stafleu van Loghum",41
"MIT Press",40
"MA Healthcare",40
"Hemeroteca Científica Catalana",40
"Berghahn Journals",40
"University of California Press",39
"Allerton Press",39
"University of Toronto Press",38
"Universitas Ahmad Dahlan",38
"SCIENCEDOMAIN International",38
"Macrothink Institute",38
"Future Science Group",38
"Cell Press",38
"Jagiellonian University Press",37
"Asian Network for Scientific Information (ANSINET)",37
"Lavoisier",36
"Edizioni Minerva Medica",36
"Edizioni Ca’ Foscari",36
"Consejo Superior de Investigaciones Científicas",36
"Birkhäuser Verlag",36
"Michigan Publishing",35
"American Society of Civil Engineers",35
"Cherkas Global University Press",34
"Universidad de Costa Rica",33
"Lattice Science Publication",33
"Universidade do Porto",32
"Liverpool University Press",32
"EDP Open",32
"American Anthropological Association",32
"University of Illinois Press",31
"Universidade de Brasília",31
"Sweet and Maxwell",31
"Science Publications",31
"Global Science Books",31
"GERFLINT",31
"Future Medicine",31
"European Geosciences Union",31
"Elsevier Masson",31
"Canadian Science Publishing",31
"Faculdade de Letras",30
"American Society of Mechanical Engineers",30
"American Institute of Physics",30
"Universidade Estadual de Maringá",29
"Indiana University Press",29
"CSIRO Publishing",29
"Avens Publishing Group",29
"Al-Kindi Center for Research and Development",29
"Scientific Scholar",27
"Sciedu Press",27
"Mosby",27
"JMIR Publications",27
"Human Kinetics",27
"Amsterdam University Press",27
"Presses Universitaires de France",26
"Pontificia Universidad Javeriana, Bogota",26
"Global Science Research Journals",26
"American Physical Society",26
"American Geophysical Union",26
"Imprensa da Universidade de Coimbra",25
"Columbia University",25
"Carl Hanser Verlag",25
"Ediciones Universidad de Salamanca",24
"Open Library of Humanities",23
"Edinburgh University Library",23
"Columbia University Libraries",23
"Universidad Politécnica de Valencia",22
"UNISA Press",22
"Tech Science Press",22
"National Inquiry Services Centre (NISC)",22
"EMS Press",22
"AIMS Press",22
"Universidade Católica Portuguesa",21
"Universidad Nacional de Costa Rica",21
"Schweizerbart Science Publishers",21
"Now Publishers",21
"Georg Thieme Verlag",21
"Erich Schmidt Verlag",21
"Duncker & Humblot",21
"Advanced Research Publications",21
"Universitätsverlag der TU Berlin",20
"University of Zagreb",20
"Universita del Salento",20
"Thomson Reuters (Professional)",20
"Springer Publishing Company",20
"Penn State University Press",20
"Open Access Pub",20
"American Institute of Mathematical Sciences (AIMS)",20
"World Scientific and Engineering Academy and Society (WSEAS)",19
"University of Victoria",19
"University of Hawaii Press",19
"Universidad do Vale de Rio dos Sinos (UNISINOS)",19
"UCL Press",19
"Trans Tech Publications",19
"Russian Academy of Sciences",19
"Kluwer Law International",19
"IWA Publishing",19
"F1000Research",19
"Bristol University Press",19
"American Mathematical Society",19
"Verlag der Österreichischen Akademie der Wissenschaften",18
"University of Ljubljana",18
"Universidade de Coimbra",18
"Universidade Federal do Espírito Santo",18
"Universidad del Pais Vasco",18
"Universidad Externado de Colombia",18
"Society for Industrial and Applied Mathematics",18
"Smart Science and Technology",18
"Science Publishing Corporation",18
"Optica",18
"New Prairie Press",18
"Karolinum Press",18
"Hamad bin Khalifa University Press",18
"Fundacao Getulio Varagas (FGV)",18
"American Society for Microbiology",18
"American Association for the Advancement of Science",18
"Szczecin University Press",17
"Società Italiana di Fisica",17
"Old City Publishing",17
"International Press",17
"Institute of Materials, Minerals and Mining (UK)",17
"INFORMS",17
"Hikari",17
"Facultad de Humanidades y Ciencias de la Educación",17
"Bern Open Publishing",17
"Academic and Business Research Institute",17
"Università degli Studi di Milano",16
"University of Belgrade",16
"Universitat de Valencia",16
"Universidad Nacional Mayor de San Marcos",16
"The Geological Society",16
"Science China Press",16
"National University of Kyiv-Mohyla Academy",16
"Infonomics Society",16
"Computer Society",16
"Business Perspectives",16
"American Physiological Society",16
"American Medical Association",16
"Adam Mickiewicz University",16
