"Publisher","DOAJ_Journals","Publons_Journals","Romeo_Journals","Scopus_Journals","maxjournals"
"Springer",256,4156,3032,3431,4156
"Taylor & Francis",180,4005,2416,2998,4005
"Elsevier",629,3115,2661,3941,3941
"Wiley",214,1924,1990,1971,1990
"De Gruyter",257,1411,770,462,1411
"Peter Lang",0,0,1394,0,1394
"SAGE",182,1178,1194,973,1194
"IEEE",23,965,235,389,965
"Wolters Kluwer",21,488,355,566,566
"Hindawi",216,296,503,249,503
"Emerald",52,448,488,480,488
"Oxford University Press",85,372,482,387,482
"Brill",0,138,381,459,459
"MDPI",309,410,407,145,410
"Cambridge University Press",34,315,402,397,402
"InderScience",0,320,387,246,387
"Medknow",225,121,341,0,341
"SciELO",0,328,0,0,328
"BioMedCentral",311,30,303,0,311
"OMICS",0,311,0,15,311
"Hilaris",0,310,122,0,310
"Bentham",0,303,217,232,303
"Karger",30,147,134,268,268
"Egyptian Knowledge Bank",0,259,0,0,259
"Lippincott, Williams & Wilkins",0,251,0,0,251
"SCIRP",0,246,248,0,248
"IGI Global",0,212,161,77,212
"Thieme",0,171,202,175,202
"China Science Publishing & Media",0,193,0,112,193
"Pleiades",0,0,176,166,176
"World Scientific",0,109,158,134,158
"Gavin Publishers",0,154,0,0,154
"Frontiers",114,0,147,55,147
"Mary Ann Liebert",0,118,101,143,143
"Dovepress",78,0,136,73,136
"Information Resources Management Association",0,0,133,0,133
"Medcrave",0,132,0,0,132
"Science Publishing Group",0,126,0,0,126
"Hans Publishers",0,0,125,0,125
"Dove Medical Press",0,120,0,0,120
"Science Domain International",0,120,38,0,120
"University of Alberta Press",0,30,118,0,118
"Academic Journals",0,117,75,21,117
"Fabrizio Serra",0,0,115,0,115
"IOP Publishing",22,114,102,94,114
"ACM",0,112,65,67,112
"Philosophy Documentation Center",0,0,112,18,112
"Intellect",0,17,111,62,111
"IOS Press",0,88,108,105,108
"Nauka",0,106,0,71,106
"iMedPub",0,106,81,0,106
"Allied Academies",0,104,0,0,104
"APA",0,98,96,86,98
"Royal Society of Chemistry",0,57,90,98,98
"KeAi",97,0,0,0,97
"Peertechz Publications",0,20,95,0,95
"Nova Science",0,0,94,0,94
"University of Chicago Press",0,49,94,88,94
"Johns Hopkins University Press",0,61,90,79,90
"Common Ground Research Networks",0,32,89,52,89
"Austin Publishing Group",0,57,88,0,88
"EDPSciences",33,36,87,52,87
"Akademiai Kiado",0,42,75,86,86
"ACS",0,79,85,80,85
"John Benjamins",0,57,77,84,84
"Edinburgh University Press",0,19,83,42,83
"Pulsus Group",0,83,0,0,83
"Polish Academy of Sciences",0,17,0,81,81
"Universitas Negeri Semarang",80,0,51,0,80
"BMJ",24,65,71,76,76
"Science and Education Publishing",0,39,76,0,76
"Societa Editrice il Mulino",0,0,76,0,76
"Nomos Verlagsgesellschaft",0,0,75,0,75
"JSciMedCentral",0,74,73,0,74
"Herald Open Access",0,72,0,0,72
"Scientific and Academic Publishing",0,71,0,0,71
"Copernicus",44,48,70,41,70
"Islamic Azad University",0,69,0,0,69
"AIRCC Publishing Corporation",0,67,0,0,67
"ASCE",0,35,35,66,66
"Universitetsforlaget",0,0,66,0,66
"Crimson Publishers",0,65,0,0,65
"University of Malaya",0,65,0,0,65
"AME Publishing Company",0,63,0,16,63
"International Medical Publisher",0,63,0,0,63
"Medwin Publishers LLC",0,63,0,0,63
"Premier Publishers",0,63,0,0,63
"Pensoft Publishers",42,58,62,23,62
"SciTechnol",0,62,0,0,62
"Ubiquity Press",42,16,62,23,62
"Annual Reviews",0,39,47,60,60
"Science Committee of the Ministry of Education and Science of the Republic of Kazakhstan",0,59,0,0,59
"Duke University Press",0,32,58,50,58
"Juniper Publishers",0,58,0,0,58
"Entomological Society of Canada",0,0,0,57,57
"Universidad Nacional de Cordoba",19,0,54,0,54
"Lodz University Press",39,0,53,0,53
"ASME",0,52,30,35,52
"Ferdowsi University of Mashhad",22,52,0,0,52
"Minerva Medica",0,33,36,52,52
"Termedia",27,29,52,24,52
"Equinox Publishing",0,31,51,28,51
"Universitas Diponegoro",0,0,51,0,51
"Conscientia Beam",0,50,0,0,50
"Firenze University Press",32,0,50,17,50
"IP Innovative Publication",0,50,48,0,50
"Nicolaus Copernicus University in Torun",0,0,50,0,50
"PAGEPress",31,26,50,34,50
"Tehran University of Medical Sciences",40,0,50,20,50
"Universidad Nacional de Colombia",38,22,50,26,50
"Scholarena",0,49,0,0,49
"Universidade de Sao Paulo",49,0,0,26,49
"Universita di Bologna",0,0,49,0,49
"Universitat Autonoma de Barcelona",19,0,49,0,49
"University of California Press",0,37,39,49,49
"Annex Publishers",0,48,0,0,48
"Columbia University",0,0,48,0,48
"Palgrave",0,33,48,0,48
"Hogrefe",0,35,47,36,47
"AOSIS",44,44,46,25,46
"Heighten Science Publications Inc",0,0,46,0,46
"JAMA",0,0,16,46,46
"Universidad Complutense de Madrid",46,26,0,31,46
"Universidad de Murcia",24,0,46,0,46
"University of Toronto Press",0,30,38,46,46
"Begell House",0,31,45,40,45
"Institution of Engineering and Technology",0,0,44,32,44
"Universitas Airlangga",27,44,0,0,44
"University of Bologna Press",44,0,0,0,44
"University of Tehran",23,44,0,0,44
"Canadian Center of Science and Education",0,18,43,0,43
"Universidade Federal de Santa Catarina",31,0,43,0,43
"Baishideng",0,25,42,0,42
"ICE Publishing",0,36,42,27,42
"Jacob Publishers",0,42,0,0,42
"The British Psychological Society",0,0,42,0,42
"CSIRO",0,26,29,41,41
"Istanbul University Press",41,0,0,0,41
"Lupine Publishers LLC",0,41,0,0,41
"University of Pittsburgh",23,0,41,0,41
"Berghahn",19,29,40,27,40
"E-Cronicon",0,40,0,0,40
"Hemeroteca Cientifica Catalana",0,0,40,0,40
"MIT Press",0,36,40,31,40
"Mark Allen Group",0,27,40,0,40
"Universitas Gadjah Mada",40,0,0,0,40
"Allerton Press",0,26,39,0,39
"American Institute of Physics",0,24,30,39,39
"AVES",15,38,0,0,38
"Cell Press",0,32,38,0,38
"Czech Medical Association of J. E. Purkyne",0,21,0,38,38
"Future Science",0,37,38,0,38
"Macrothink",0,0,38,0,38
"Scitech Central",0,38,0,0,38
"Universidad de Chile",38,0,0,0,38
"Universitas Ahmad Dahlan",19,0,38,0,38
"ANSINET",0,30,37,29,37
"ClinMed International Library",0,37,0,0,37
"Consejo Superior de Investigaciones Cientificas",37,24,36,37,37
"Future Medicine",0,0,31,37,37
"Jagiellonian University Press",0,0,37,0,37
"Natural Sciences Publishing Corporation",0,37,0,0,37
