publisher;Freq;comment
Springer;3692;
Taylor & Francis;2909;
Elsevier;2467;
Wiley;1646;
SAGE;1310;
De Gruyter;1100;
OMICS;742;
Oxford University Press;483;
Inderscience;470;
Cambridge University Press;414;
Medknow;399;
Emerald;375;
Wolters Kluwer;351;
BioMedCentral;316;
MDPI;309;
Brill;250;
SCIRP;247;
Philosophy Documentation Center;238;
IGI Global Publishing;231;
Thieme;230;counted manually due to webscraping error
Hindawi;227;
IEEE;209;
Austin Publishing Group;202;
World Scientific;188;
iMedPub;165;
Nauka;162;
Springer Nature;156;
Fabrizio Serra;155;
JSciMedCentral;147;
Hans Publishers;136;
Intellect Books;125;
Science and Education Publishing;125;
Academic Journals;120;
Pleiades;119;
Science Domain International;111;
KeAi;110;
Universitas Gadjah Mada;109;counted manually due to webscraping error
Karger;107;
IOP;98;
Mary Ann Liebert;98;
PAGEPress;98;
John Hopkins University Press;97;
Frontiers;96;
IOS Press;94;
Medcrave;93;
APA;91;
Dovepress;91;
John Benjamins;89;
Ubiquity Press;89;
University of Chicago Press;85;
International Scholars Journals;81;
Penn State University Press;80;
Universidade de Bras<ed>lia;80;
Il Mulino;79;
Universitas Diponegoro;79;counted manually due to webscraping error
ACS;78;
University of Alberta Press;78;
EDPSciences;77;
Peeters;76;
Universidad Complutense Madrid;73;
Editorial Universidad Nacional de Colombia;69;
Universidad Nacional Autonoma de Mexico;69;counted manually due to webscraping error
Termedia;68;
BMJ;67;
Common Ground Research Networks;65;
Edizioni Ca Foscari;63;
ACM;60;
Universitetsforlaget;59;
Duke University Press;59;counted manually due to webscraping error
Universitas Negeri Semarang;57;
Tehran University of Medical Sciences;56;
Institut d'Estudis Catalans;55;counted manually due to webscraping error
Akademiai Kiado;54;
Palgrave;53;
Annual Reviews;52;
Asian Network for Scientific Information;51;
Edinburgh University Press;51;
Macrothink;51;
Universidad de Costa Rica;51;
Begell House;51;counted manually due to webscraping error
Boom juridisch;50;
Firenze University Press;50;
Academic Publishing House Researcher;49;
Alma Mater Studiorum Universit<e0> di Bologna;49;
Indiana University Press;48;
University of California Press;48;
University of Pittsburgh;47;
Baishideng;47;counted manually due to webscraping error
ICE Virtual Library;46;
Royal Society of Chemistry;46;
Universidad de Murcia;46;
Allerton Press;45;
AOSIS;45;
Hogrefe;45;
Universidade Federal de Santa Catarina;45;counted manually due to webscraping error
University of Illinois Press;45;counted manually due to webscraping error
Institution of Engineering and Technology;44;
Liverpool University Press;44;
Nakladatelske Stredisko Clsje Purkyne;44;
Pensoft Publishers;43;
Berghahn;42;
Canadian Center of Science and Education;42;
MIT Press;42;
Minerva Medica;41;
E-Cronicon;40;
Mark Allen Group;40;
ASCE;39;
Consejo Superior de Investigaciones Cient<ed>ficas;37;
Copernicus;37;counted manually due to webscraping error
Presses Universitaires de France;36;
Amsterdam University Press;35;
ASME;35;counted manually due to webscraping error
Science Publications;34;
Nova Science;32;
Universidad de Chile;32;
Universidade Estadual de Campinas;32;
Univeristas Ahmad Dahlan;31;counted manually due to webscraping error
Allied Academies;30;
Future Medicine;30;
American Institute of Physics;29;
Rila;29;counted manually due to webscraping error
CSIRO;27;
Gerflint;26;
Human Kinetics;26;
University of Toronto Press;25;
Canadian Science Publishing Journals;24;
John Libbey Eurotext;24;
Peter Lang;23;
European Geosciences Union;19;
Juta;19;
ABA;17;counted manually due to webscraping error
JAMA;14;
AME Publishing Company;13;
Carl Hanser Verlag;8;
Future Science;8;
Lavoisier;7;
Universitaetsverlag Potsdam;7;counted manually due to webscraping error
