"","journal","url","publisher","date"
"1","HiN - Alexander von Humboldt im Netz","https://shop.verlag.uni-potsdam.de/zeitschriften/hin-alexander-von-humboldt-im-netz/","Universitaetsverlag Potsdam",2021-12-02
"2","Jahresbericht / MenschenRechtsZentrum der Universit<e4>t Potsdam","https://shop.verlag.uni-potsdam.de/zeitschriften/jahresbericht-menschenrechtszentrum-der-universitaet-potsdam/","Universitaetsverlag Potsdam",2021-12-02
"3","Milit<e4>r und Gesellschaft in der Fr<fc>hen Neuzeit","https://shop.verlag.uni-potsdam.de/zeitschriften/militaer-und-gesellschaft-in-der-fruehen-neuzeit/","Universitaetsverlag Potsdam",2021-12-02
"4","MenschenRechtsMagazin","https://shop.verlag.uni-potsdam.de/zeitschriften/menschenrechtsmagazin/","Universitaetsverlag Potsdam",2021-12-02
"5","Pri ha-Pardes","https://shop.verlag.uni-potsdam.de/zeitschriften/pri-ha-pardes/","Universitaetsverlag Potsdam",2021-12-02
"6","PaRDeS","https://shop.verlag.uni-potsdam.de/zeitschriften/pardes/","Universitaetsverlag Potsdam",2021-12-02
"7","Spektrum Patholinguistik","https://shop.verlag.uni-potsdam.de/zeitschriften/spektrum-patholinguistik/","Universitaetsverlag Potsdam",2021-12-02
"8","Journal of Thoracic Disease","https://jtd.amegroups.com","AME Publishing Company",2021-12-02
"9","Translational Cancer Research","https://tcr.amegroups.com/","AME Publishing Company",2021-12-02
"10","Hepatobiliary Surgery and Nutrition","http://hbsn.amegroups.com/","AME Publishing Company",2021-12-02
"11","Quantitative Imaging in Medicine and Surgery","http://qims.amegroups.com/","AME Publishing Company",2021-12-02
"12","Annals of Translational Medicine","https://atm.amegroups.com/","AME Publishing Company",2021-12-02
"13","Annals of Cardiothoracic Surgery","http://www.annalscts.com/","AME Publishing Company",2021-12-02
"14","Translational Lung Cancer Research","https://tlcr.amegroups.com","AME Publishing Company",2021-12-02
"15","Translational Andrology and Urology","https://tau.amegroups.com/","AME Publishing Company",2021-12-02
