"journal","url","publisher","date"
"2D Materials","http://iopscience.iop.org/journal/2053-1583","IOP",2021-12-02
"Advances in Natural Sciences Nanoscience and Nanotechnology","http://iopscience.iop.org/journal/2043-6262","IOP",2021-12-02
"Applied Physics Express","http://iopscience.iop.org/journal/1882-0786","IOP",2021-12-02
"Biofabrication","http://iopscience.iop.org/journal/1758-5090","IOP",2021-12-02
"Bioinspiration & Biomimetics","http://iopscience.iop.org/journal/1748-3190","IOP",2021-12-02
"Biomedical Materials","http://iopscience.iop.org/journal/1748-605X","IOP",2021-12-02
"Biomedical Physics & Engineering Express","http://iopscience.iop.org/journal/2057-1976","IOP",2021-12-02
"Chinese Physics B","http://iopscience.iop.org/journal/1674-1056","IOP",2021-12-02
"Chinese Physics C","http://iopscience.iop.org/journal/1674-1137","IOP",2021-12-02
"Chinese Physics Letters","http://iopscience.iop.org/journal/0256-307X","IOP",2021-12-02
"Classical and Quantum Gravity","http://iopscience.iop.org/journal/0264-9381","IOP",2021-12-02
"Communications in Theoretical Physics","http://iopscience.iop.org/journal/0253-6102","IOP",2021-12-02
"ECS Journal of Solid State Science and Technology","https://iopscience.iop.org/journal/2162-8777","IOP",2021-12-02
"Electronic Structure","http://iopscience.iop.org/journal/2516-1075","IOP",2021-12-02
"Engineering Research Express","https://iopscience.iop.org/journal/2631-8695","IOP",2021-12-02
"Environmental Research Communications","http://iopscience.iop.org/journal/2515-7620","IOP",2021-12-02
"Environmental Research Letters","http://iopscience.iop.org/journal/1748-9326","IOP",2021-12-02
NA,"https://iopscience.iop.org/journal/2752-5295","IOP",2021-12-02
NA,"https://iopscience.iop.org/journal/2752-664X","IOP",2021-12-02
NA,"https://iopscience.iop.org/journal/2752-5309","IOP",2021-12-02
"Environmental Research Infrastructure and Sustainability","https://iopscience.iop.org/journal/2634-4505","IOP",2021-12-02
"EPL (Europhysics Letters)","http://iopscience.iop.org/journal/0295-5075","IOP",2021-12-02
"European Journal of Physics","http://iopscience.iop.org/journal/0143-0807","IOP",2021-12-02
"Flexible and Printed Electronics","http://iopscience.iop.org/journal/2058-8585","IOP",2021-12-02
"Fluid Dynamics Research","http://iopscience.iop.org/journal/1873-7005","IOP",2021-12-02
"Functional Composites and Structures","http://iopscience.iop.org/journal/2631-6331","IOP",2021-12-02
"International Journal of Extreme Manufacturing","https://iopscience.iop.org/journal/2631-7990","IOP",2021-12-02
"Inverse Problems","http://iopscience.iop.org/journal/0266-5611","IOP",2021-12-02
