"journal","url","publisher","date"
"Acta Medica International","https://www.actamedicainternational.com","Medknow",2021-12-03
"Advanced Arab Academy of Audio-Vestibulogy Journal","http://www.aaj.eg.net","Medknow",2021-12-03
"Advances in Human Biology","https://www.aihbonline.com","Medknow",2021-12-03
"Advances in Skeletal Muscle Function Assessment","https://www.asmfa.org","Medknow",2021-12-03
"African Journal for Infertility and Assisted Conception","https://www.afrijiac.org","Medknow",2021-12-03
"African Journal of Paediatric Surgery","https://www.afrjpaedsurg.org","Medknow",2021-12-03
"Ain-Shams Journal of Anaesthesiology","http://www.asja.eg.net","Medknow",2021-12-03
"Airway","https://www.arwy.org","Medknow",2021-12-03
"Al-Azhar Assiut Medical Journal","http://www.azmj.eg.net","Medknow",2021-12-03
"Al-Basar International Journal of Ophthalmology","https://www.bijojournal.org","Medknow",2021-12-03
"Amrita Journal of Medicine","https://ajmonline.org.in","Medknow",2021-12-03
"Ancient Science of Life","https://www.ancientscienceoflife.org","Medknow",2021-12-03
"Anesthesia: Essays and Researches","https://www.aeronline.org","Medknow",2021-12-03
"Annals of African Medicine","https://www.annalsafrmed.org","Medknow",2021-12-03
"Annals of Cardiac Anaesthesia","https://www.annals.in","Medknow",2021-12-03
"Annals of Clinical Cardiology","http://www.onlineacc.org","Medknow",2021-12-03
"Annals of Indian Academy of Neurology","https://www.annalsofian.org","Medknow",2021-12-03
"Annals of Indian Academy of Otorhinolaryngology Head and Neck Surgery","https://aiaohns.in","Medknow",2021-12-03
"Annals of Indian Psychiatry","https://anip.co.in","Medknow",2021-12-03
"Annals of Maxillofacial Surgery","https://www.amsjournal.com","Medknow",2021-12-03
"Annals of Movement Disorders","https://www.aomd.in","Medknow",2021-12-03
"Annals of Oncology Research and Therapy","http://www.aort.info","Medknow",2021-12-03
"Annals of Pediatric Cardiology","https://annalspc.com","Medknow",2021-12-03
"Annals of Thoracic Medicine","https://www.thoracicmedicine.org","Medknow",2021-12-03
"Annals of Tropical Pathology","https://www.atpjournal.org/","Medknow",2021-12-03
"APIK Journal of Internal Medicine","https://www.ajim.in","Medknow",2021-12-03
"Apollo Medicine","https://apollomedicine.org","Medknow",2021-12-03
"Archives of Medicine and Health Sciences","https://www.amhsjournal.org","Medknow",2021-12-03
"Archives of Mental Health","https://www.amhonline.org","Medknow",2021-12-03
"Archives of Trauma Research","https://www.archtrauma.com/","Medknow",2021-12-03
"Asia Pacific Journal of Clinical Trials: Nervous System Diseases","https://www.actnjournal.com","Medknow",2021-12-03
"Asian Journal of Andrology","https://www.ajandrology.com","Medknow",2021-12-03
"Asian Journal of Neurosurgery","https://www.asianjns.org","Medknow",2021-12-03
"Asian Journal of Pharmaceutical Research and Health Care","http://www.ajprhc.com","Medknow",2021-12-03
"Asian Journal of Pharmacoepidemiology and Pharmacoeconomics","https://www.ajpponline.org","Medknow",2021-12-03
"Asian Journal of Transfusion Science","https://www.ajts.org","Medknow",2021-12-03
"Asian Pacific Journal of Microbiology Research (AJMR)","http://www.asianpacificjmicrobiolres.org","Medknow",2021-12-03
"Asian Pacific Journal of Reproduction","http://www.apjr.net","Medknow",2021-12-03
"Asian Pacific Journal of Tropical Biomedicine","https://www.apjtb.org/","Medknow",2021-12-03
"Asian Pacific Journal of Tropical Medicine","https://www.apjtm.org/","Medknow",2021-12-03
"Assam Journal of Internal Medicine","http://www.ajimedicine.com","Medknow",2021-12-03
