"journal","url","publisher","date"
"AAPPS Bulletin","https://link.springer.com/journal/volumesAndIssues/43673","Springer",2021-12-03
"AAPS Open","https://link.springer.com/journal/volumesAndIssues/41120","Springer",2021-12-03
"AAPS PharmSciTech","https://link.springer.com/journal/volumesAndIssues/12249","Springer",2021-12-03
"ADHD Attention Deficit and Hyperactivity Disorders","https://link.springer.com/journal/volumesAndIssues/12402","Springer",2021-12-03
"AI & SOCIETY","https://link.springer.com/journal/volumesAndIssues/146","Springer",2021-12-03
"AI Perspectives","https://link.springer.com/journal/volumesAndIssues/42467","Springer",2021-12-03
"AI and Ethics","https://link.springer.com/journal/volumesAndIssues/43681","Springer",2021-12-03
"AIDS Research and Therapy","https://link.springer.com/journal/volumesAndIssues/12981","Springer",2021-12-03
"AIDS and Behavior","https://link.springer.com/journal/volumesAndIssues/10461","Springer",2021-12-03
"AMB Express","https://link.springer.com/journal/volumesAndIssues/13568","Springer",2021-12-03
"AMS Review","https://link.springer.com/journal/volumesAndIssues/13162","Springer",2021-12-03
"ANNALI DELL'UNIVERSITA' DI FERRARA","https://link.springer.com/journal/volumesAndIssues/11565","Springer",2021-12-03
"ARI - An International Journal for Physical and Engineering Sciences","https://link.springer.com/journal/volumesAndIssues/777","Springer",2021-12-03
"ASEAN Heart Journal","https://link.springer.com/journal/volumesAndIssues/40602","Springer",2021-12-03
"AStA Advances in Statistical Analysis","https://link.springer.com/journal/volumesAndIssues/10182","Springer",2021-12-03
"AStA Wirtschafts- und Sozialstatistisches Archiv","https://link.springer.com/journal/volumesAndIssues/11943","Springer",2021-12-03
"ATZ - Automobiltechnische Zeitschrift","https://link.springer.com/journal/volumesAndIssues/35148","Springer",2021-12-03
"ATZ worldwide","https://link.springer.com/journal/volumesAndIssues/38311","Springer",2021-12-03
"ATZagenda","https://link.springer.com/journal/volumesAndIssues/40357","Springer",2021-12-03
"ATZautotechnology","https://link.springer.com/journal/volumesAndIssues/35595","Springer",2021-12-03
"ATZelectronics worldwide","https://link.springer.com/journal/volumesAndIssues/38314","Springer",2021-12-03
"ATZelektronik","https://link.springer.com/journal/volumesAndIssues/35658","Springer",2021-12-03
"ATZextra","https://link.springer.com/journal/volumesAndIssues/35778","Springer",2021-12-03
"ATZextra worldwide","https://link.springer.com/journal/volumesAndIssues/40111","Springer",2021-12-03
"ATZheavy duty","https://link.springer.com/journal/volumesAndIssues/35746","Springer",2021-12-03
"ATZheavy duty worldwide","https://link.springer.com/journal/volumesAndIssues/41321","Springer",2021-12-03
"ATZproduction worldwide","https://link.springer.com/journal/volumesAndIssues/38312","Springer",2021-12-03
"ATZproduktion","https://link.springer.com/journal/volumesAndIssues/35726","Springer",2021-12-03
"Abdominal Radiology","https://link.springer.com/journal/volumesAndIssues/261","Springer",2021-12-03
"Abhandlungen aus dem Mathematischen Seminar der Universität Hamburg","https://link.springer.com/journal/volumesAndIssues/12188","Springer",2021-12-03
"Academic Psychiatry","https://link.springer.com/journal/volumesAndIssues/40596","Springer",2021-12-03
"Accreditation and Quality Assurance","https://link.springer.com/journal/volumesAndIssues/769","Springer",2021-12-03
"Acoustical Physics","https://link.springer.com/journal/volumesAndIssues/11441","Springer",2021-12-03
"Acoustics Australia","https://link.springer.com/journal/volumesAndIssues/40857","Springer",2021-12-03
"Acta Analytica","https://link.springer.com/journal/volumesAndIssues/12136","Springer",2021-12-03
"Acta Applicandae Mathematicae","https://link.springer.com/journal/volumesAndIssues/10440","Springer",2021-12-03
"Acta Biotheoretica","https://link.springer.com/journal/volumesAndIssues/10441","Springer",2021-12-03
"Acta Diabetologica","https://link.springer.com/journal/volumesAndIssues/592","Springer",2021-12-03
"Acta Endoscopica","https://link.springer.com/journal/volumesAndIssues/10190","Springer",2021-12-03
"Acta Epileptologica","https://link.springer.com/journal/volumesAndIssues/42494","Springer",2021-12-03
"Acta Geochimica","https://link.springer.com/journal/volumesAndIssues/11631","Springer",2021-12-03
"Acta Geodaetica et Geophysica","https://link.springer.com/journal/volumesAndIssues/40328","Springer",2021-12-03
"Acta Geophysica","https://link.springer.com/journal/volumesAndIssues/11600","Springer",2021-12-03
"Acta Geotechnica","https://link.springer.com/journal/volumesAndIssues/11440","Springer",2021-12-03
"Acta Informatica","https://link.springer.com/journal/volumesAndIssues/236","Springer",2021-12-03
"Acta Juridica Hungarica","https://link.springer.com/journal/volumesAndIssues/10467","Springer",2021-12-03
"Acta Linguistica Hungarica","https://link.springer.com/journal/volumesAndIssues/10445","Springer",2021-12-03
"Acta Mathematica","https://link.springer.com/journal/volumesAndIssues/11511","Springer",2021-12-03
"Acta Mathematica Hungarica","https://link.springer.com/journal/volumesAndIssues/10474","Springer",2021-12-03
