"journal","url","publisher","date"
"Abacus","https://onlinelibrary.wiley.com/journal/14676281","Wiley",2021-12-03
"About Campus","https://onlinelibrary.wiley.com/journal/15360687","Wiley",2021-12-03
"Academic Emergency Medicine","https://onlinelibrary.wiley.com/journal/15532712","Wiley",2021-12-03
"Accounting & Finance","https://onlinelibrary.wiley.com/journal/1467629x","Wiley",2021-12-03
"Accounting Perspectives","https://onlinelibrary.wiley.com/journal/19113838","Wiley",2021-12-03
"ACR Open Rheumatology","https://onlinelibrary.wiley.com/journal/25785745","Wiley",2021-12-03
"Acta Anaesthesiologica Scandinavica","https://onlinelibrary.wiley.com/journal/13996576","Wiley",2021-12-03
"Acta Archaeologica","https://onlinelibrary.wiley.com/journal/16000390","Wiley",2021-12-03
"Acta Biochimica et Biophysica Sinica","https://onlinelibrary.wiley.com/journal/17457270","Wiley",2021-12-03
"Acta Botanica Neerlandica","https://onlinelibrary.wiley.com/journal/14388677a","Wiley",2021-12-03
"Acta Crystallographica","https://onlinelibrary.wiley.com/journal/s0365110x","Wiley",2021-12-03
"Acta Crystallographica Section A","https://onlinelibrary.wiley.com/journal/s20532733","Wiley",2021-12-03
"Acta Crystallographica Section B","https://onlinelibrary.wiley.com/journal/s20525206","Wiley",2021-12-03
"Acta Crystallographica Section C","https://onlinelibrary.wiley.com/journal/s20532296","Wiley",2021-12-03
"Acta Crystallographica Section D","https://onlinelibrary.wiley.com/journal/s20597983","Wiley",2021-12-03
"Acta Crystallographica Section E","https://onlinelibrary.wiley.com/journal/s16005368","Wiley",2021-12-03
"Acta Crystallographica Section F","https://onlinelibrary.wiley.com/journal/s2053230x","Wiley",2021-12-03
"Acta Geologica Sinica - English Edition","https://onlinelibrary.wiley.com/journal/17556724","Wiley",2021-12-03
"Acta Medica Austriaca","https://onlinelibrary.wiley.com/journal/15632571","Wiley",2021-12-03
"Acta Neurologica Scandinavica","https://onlinelibrary.wiley.com/journal/16000404","Wiley",2021-12-03
"Acta Neuropsychiatrica","https://onlinelibrary.wiley.com/journal/16015215","Wiley",2021-12-03
"Acta Obstetricia et Gynecologica Scandinavica","https://obgyn.onlinelibrary.wiley.com/journal/16000412","Wiley",2021-12-03
"Acta Ophthalmologica","https://onlinelibrary.wiley.com/journal/17553768","Wiley",2021-12-03
